date,confirmed,recovered,deaths,active
2020-01-22,0,0,0,0
2020-01-23,0,0,0,0
2020-01-24,0,0,0,0
2020-01-25,0,0,0,0
2020-01-26,0,0,0,0
2020-01-27,0,0,0,0
2020-01-28,0,0,0,0
2020-01-29,0,0,0,0
2020-01-30,0,0,0,0
2020-01-31,0,0,0,0
2020-02-01,0,0,0,0
2020-02-02,0,0,0,0
2020-02-03,0,0,0,0
2020-02-04,0,0,0,0
2020-02-05,0,0,0,0
2020-02-06,0,0,0,0
2020-02-07,0,0,0,0
2020-02-08,0,0,0,0
2020-02-09,0,0,0,0
2020-02-10,0,0,0,0
2020-02-11,0,0,0,0
2020-02-12,0,0,0,0
2020-02-13,0,0,0,0
2020-02-14,0,0,0,0
2020-02-15,0,0,0,0
2020-02-16,0,0,0,0
2020-02-17,0,0,0,0
2020-02-18,0,0,0,0
2020-02-19,0,0,0,0
2020-02-20,0,0,0,0
2020-02-21,0,0,0,0
2020-02-22,0,0,0,0
2020-02-23,0,0,0,0
2020-02-24,0,0,0,0
2020-02-25,0,0,0,0
2020-02-26,0,0,0,0
2020-02-27,0,0,0,0
2020-02-28,0,0,0,0
2020-02-29,0,0,0,0
2020-03-01,0,0,0,0
2020-03-02,0,0,0,0
2020-03-03,0,0,0,0
2020-03-04,0,0,0,0
2020-03-05,0,0,0,0
2020-03-06,0,0,0,0
2020-03-07,0,0,0,0
2020-03-08,0,0,0,0
2020-03-09,2,2,0,2
2020-03-10,10,10,0,10
2020-03-11,12,11,1,11
2020-03-12,23,22,1,22
2020-03-13,33,32,1,32
2020-03-14,38,37,1,37
2020-03-15,42,41,1,41
2020-03-16,51,50,1,50
2020-03-17,55,54,1,54
2020-03-18,59,57,2,57
2020-03-19,64,62,2,62
2020-03-20,70,68,2,68
2020-03-21,76,74,2,72
2020-03-22,89,87,2,85
2020-03-23,104,100,4,98
2020-03-24,123,118,5,108
2020-03-25,146,141,5,124
2020-03-26,174,168,6,151
2020-03-27,186,178,8,147
2020-03-28,197,187,10,156
2020-03-29,212,202,10,169
2020-03-30,223,212,11,168
2020-03-31,243,228,15,176
2020-04-01,259,244,15,177
2020-04-02,277,261,16,185
2020-04-03,304,287,17,198
