date,confirmed,recovered,deaths,active
2020-01-22,0,0,0,0
2020-01-23,0,0,0,0
2020-01-24,0,0,0,0
2020-01-25,0,0,0,0
2020-01-26,0,0,0,0
2020-01-27,0,0,0,0
2020-01-28,0,0,0,0
2020-01-29,0,0,0,0
2020-01-30,0,0,0,0
2020-01-31,0,0,0,0
2020-02-01,0,0,0,0
2020-02-02,0,0,0,0
2020-02-03,0,0,0,0
2020-02-04,0,0,0,0
2020-02-05,0,0,0,0
2020-02-06,0,0,0,0
2020-02-07,0,0,0,0
2020-02-08,0,0,0,0
2020-02-09,0,0,0,0
2020-02-10,0,0,0,0
2020-02-11,0,0,0,0
2020-02-12,0,0,0,0
2020-02-13,0,0,0,0
2020-02-14,0,0,0,0
2020-02-15,0,0,0,0
2020-02-16,0,0,0,0
2020-02-17,0,0,0,0
2020-02-18,0,0,0,0
2020-02-19,0,0,0,0
2020-02-20,0,0,0,0
2020-02-21,0,0,0,0
2020-02-22,0,0,0,0
2020-02-23,0,0,0,0
2020-02-24,0,0,0,0
2020-02-25,0,0,0,0
2020-02-26,0,0,0,0
2020-02-27,0,0,0,0
2020-02-28,0,0,0,0
2020-02-29,0,0,0,0
2020-03-01,0,0,0,0
2020-03-02,0,0,0,0
2020-03-03,1,1,0,1
2020-03-04,1,1,0,1
2020-03-05,1,1,0,1
2020-03-06,2,2,0,2
2020-03-07,8,8,0,8
2020-03-08,12,11,1,11
2020-03-09,12,11,1,11
2020-03-10,17,16,1,16
2020-03-11,19,18,1,18
2020-03-12,19,18,1,18
2020-03-13,31,29,2,29
2020-03-14,34,32,2,31
2020-03-15,45,43,2,42
2020-03-16,56,54,2,53
2020-03-17,68,66,2,63
2020-03-18,79,77,2,74
2020-03-19,97,94,3,91
2020-03-20,128,125,3,122
2020-03-21,158,154,4,151
2020-03-22,266,262,4,259
2020-03-23,301,297,4,294
2020-03-24,387,381,6,329
2020-03-25,387,379,8,327
2020-03-26,502,493,9,430
2020-03-27,589,576,13,504
2020-03-28,690,672,18,600
2020-03-29,745,726,19,654
2020-03-30,820,797,23,569
2020-03-31,1054,1027,27,787
2020-04-01,1054,1026,28,778
2020-04-02,1133,1097,36,841
2020-04-03,1265,1226,39,960
