date,confirmed,recovered,deaths,active
2020-01-22,0,0,0,0
2020-01-23,0,0,0,0
2020-01-24,0,0,0,0
2020-01-25,0,0,0,0
2020-01-26,0,0,0,0
2020-01-27,0,0,0,0
2020-01-28,0,0,0,0
2020-01-29,0,0,0,0
2020-01-30,0,0,0,0
2020-01-31,0,0,0,0
2020-02-01,0,0,0,0
2020-02-02,0,0,0,0
2020-02-03,0,0,0,0
2020-02-04,0,0,0,0
2020-02-05,0,0,0,0
2020-02-06,0,0,0,0
2020-02-07,0,0,0,0
2020-02-08,0,0,0,0
2020-02-09,0,0,0,0
2020-02-10,0,0,0,0
2020-02-11,0,0,0,0
2020-02-12,0,0,0,0
2020-02-13,0,0,0,0
2020-02-14,0,0,0,0
2020-02-15,0,0,0,0
2020-02-16,0,0,0,0
2020-02-17,0,0,0,0
2020-02-18,0,0,0,0
2020-02-19,0,0,0,0
2020-02-20,0,0,0,0
2020-02-21,0,0,0,0
2020-02-22,0,0,0,0
2020-02-23,0,0,0,0
2020-02-24,0,0,0,0
2020-02-25,0,0,0,0
2020-02-26,0,0,0,0
2020-02-27,0,0,0,0
2020-02-28,0,0,0,0
2020-02-29,0,0,0,0
2020-03-01,1,1,0,1
2020-03-02,1,1,0,1
2020-03-03,1,1,0,1
2020-03-04,1,1,0,1
2020-03-05,1,1,0,1
2020-03-06,1,1,0,1
2020-03-07,1,1,0,1
2020-03-08,1,1,0,1
2020-03-09,1,1,0,1
2020-03-10,1,1,0,1
2020-03-11,1,1,0,1
2020-03-12,4,4,0,4
2020-03-13,8,8,0,8
2020-03-14,18,18,0,18
2020-03-15,26,26,0,26
2020-03-16,52,52,0,52
2020-03-17,78,78,0,77
2020-03-18,84,84,0,83
2020-03-19,115,115,0,114
2020-03-20,136,136,0,135
2020-03-21,160,160,0,159
2020-03-22,194,194,0,192
2020-03-23,235,235,0,233
2020-03-24,249,249,0,235
2020-03-25,265,265,0,249
2020-03-26,290,289,1,271
2020-03-27,329,328,1,300
2020-03-28,407,406,1,376
2020-03-29,424,421,3,391
2020-03-30,482,479,3,449
2020-03-31,532,529,3,499
2020-04-01,571,567,4,536
2020-04-02,663,656,7,623
2020-04-03,736,729,7,686
