date,confirmed,recovered,deaths,active
2020-01-22,0,0,0,0
2020-01-23,0,0,0,0
2020-01-24,0,0,0,0
2020-01-25,0,0,0,0
2020-01-26,4,4,0,4
2020-01-27,5,5,0,5
2020-01-28,5,5,0,5
2020-01-29,6,6,0,6
2020-01-30,9,9,0,7
2020-01-31,9,9,0,7
2020-02-01,12,12,0,10
2020-02-02,12,12,0,10
2020-02-03,12,12,0,10
2020-02-04,13,13,0,11
2020-02-05,13,13,0,11
2020-02-06,14,14,0,12
2020-02-07,15,15,0,13
2020-02-08,15,15,0,13
2020-02-09,15,15,0,13
2020-02-10,15,15,0,13
2020-02-11,15,15,0,13
2020-02-12,15,15,0,13
2020-02-13,15,15,0,7
2020-02-14,15,15,0,7
2020-02-15,15,15,0,7
2020-02-16,15,15,0,7
2020-02-17,15,15,0,5
2020-02-18,15,15,0,5
2020-02-19,15,15,0,5
2020-02-20,15,15,0,5
2020-02-21,15,15,0,4
2020-02-22,15,15,0,4
2020-02-23,15,15,0,4
2020-02-24,15,15,0,4
2020-02-25,15,15,0,4
2020-02-26,15,15,0,4
2020-02-27,15,15,0,4
2020-02-28,15,15,0,4
2020-02-29,25,25,0,14
2020-03-01,27,26,1,15
2020-03-02,30,29,1,18
2020-03-03,39,38,1,27
2020-03-04,52,50,2,39
2020-03-05,55,53,2,32
2020-03-06,60,58,2,37
2020-03-07,63,61,2,40
2020-03-08,76,73,3,52
2020-03-09,91,88,3,67
2020-03-10,107,104,3,83
2020-03-11,128,125,3,104
2020-03-12,128,125,3,104
2020-03-13,200,197,3,174
2020-03-14,250,247,3,224
2020-03-15,297,294,3,271
2020-03-16,377,374,3,351
2020-03-17,452,447,5,424
2020-03-18,568,562,6,539
2020-03-19,681,675,6,649
2020-03-20,791,784,7,758
2020-03-21,1071,1064,7,1038
2020-03-22,1549,1542,7,1454
2020-03-23,1682,1675,7,1587
2020-03-24,2044,2036,8,1921
2020-03-25,2364,2356,8,2237
2020-03-26,2810,2797,13,2625
2020-03-27,3143,3130,13,2936
2020-03-28,3640,3626,14,3382
2020-03-29,3984,3968,16,3724
2020-03-30,4361,4344,17,4087
2020-03-31,4559,4541,18,4183
2020-04-01,4862,4842,20,4420
