date,confirmed,recovered,deaths,active
2020-01-22,0,0,0,0
2020-01-23,0,0,0,0
2020-01-24,0,0,0,0
2020-01-25,0,0,0,0
2020-01-26,0,0,0,0
2020-01-27,0,0,0,0
2020-01-28,0,0,0,0
2020-01-29,0,0,0,0
2020-01-30,0,0,0,0
2020-01-31,0,0,0,0
2020-02-01,0,0,0,0
2020-02-02,0,0,0,0
2020-02-03,0,0,0,0
2020-02-04,0,0,0,0
2020-02-05,0,0,0,0
2020-02-06,0,0,0,0
2020-02-07,0,0,0,0
2020-02-08,0,0,0,0
2020-02-09,0,0,0,0
2020-02-10,0,0,0,0
2020-02-11,0,0,0,0
2020-02-12,0,0,0,0
2020-02-13,0,0,0,0
2020-02-14,0,0,0,0
2020-02-15,0,0,0,0
2020-02-16,0,0,0,0
2020-02-17,0,0,0,0
2020-02-18,0,0,0,0
2020-02-19,0,0,0,0
2020-02-20,0,0,0,0
2020-02-21,0,0,0,0
2020-02-22,0,0,0,0
2020-02-23,0,0,0,0
2020-02-24,0,0,0,0
2020-02-25,2,2,0,2
2020-02-26,1,1,0,1
2020-02-27,1,1,0,1
2020-02-28,1,1,0,1
2020-02-29,3,3,0,3
2020-03-01,7,7,0,7
2020-03-02,8,8,0,8
2020-03-03,12,12,0,12
2020-03-04,17,17,0,17
2020-03-05,23,23,0,23
2020-03-06,37,37,0,37
2020-03-07,46,46,0,46
2020-03-08,75,75,0,75
2020-03-09,98,98,0,96
2020-03-10,126,126,0,122
2020-03-11,148,148,0,144
2020-03-12,203,203,0,199
2020-03-13,312,312,0,306
2020-03-14,409,408,1,402
2020-03-15,591,590,1,584
2020-03-16,801,799,2,793
2020-03-17,999,996,3,995
2020-03-18,1225,1220,5,1211
2020-03-19,1571,1564,7,1555
2020-03-20,1943,1931,12,1922
2020-03-21,2398,2383,15,2374
2020-03-22,2909,2889,20,2880
2020-03-23,3455,3429,26,3420
2020-03-24,4073,4039,34,4030
2020-03-25,4760,4714,46,4705
2020-03-26,5483,5427,56,5315
2020-03-27,6237,6172,65,5947
2020-03-28,7293,7212,81,6987
2020-03-29,8100,7999,101,7520
2020-03-30,8717,8597,120,7961
2020-03-31,9264,9130,134,8035
