date,confirmed,recovered,deaths,active
2020-01-22,0,0,0,0
2020-01-23,0,0,0,0
2020-01-24,0,0,0,0
2020-01-25,0,0,0,0
2020-01-26,0,0,0,0
2020-01-27,0,0,0,0
2020-01-28,0,0,0,0
2020-01-29,0,0,0,0
2020-01-30,0,0,0,0
2020-01-31,0,0,0,0
2020-02-01,0,0,0,0
2020-02-02,0,0,0,0
2020-02-03,0,0,0,0
2020-02-04,0,0,0,0
2020-02-05,0,0,0,0
2020-02-06,0,0,0,0
2020-02-07,0,0,0,0
2020-02-08,0,0,0,0
2020-02-09,0,0,0,0
2020-02-10,0,0,0,0
2020-02-11,0,0,0,0
2020-02-12,0,0,0,0
2020-02-13,0,0,0,0
2020-02-14,0,0,0,0
2020-02-15,0,0,0,0
2020-02-16,0,0,0,0
2020-02-17,0,0,0,0
2020-02-18,0,0,0,0
2020-02-19,0,0,0,0
2020-02-20,0,0,0,0
2020-02-21,0,0,0,0
2020-02-22,0,0,0,0
2020-02-23,0,0,0,0
2020-02-24,0,0,0,0
2020-02-25,0,0,0,0
2020-02-26,0,0,0,0
2020-02-27,0,0,0,0
2020-02-28,0,0,0,0
2020-02-29,0,0,0,0
2020-03-01,3,3,0,3
2020-03-02,3,3,0,3
2020-03-03,3,3,0,3
2020-03-04,3,3,0,3
2020-03-05,6,6,0,6
2020-03-06,6,6,0,6
2020-03-07,9,9,0,9
2020-03-08,9,9,0,9
2020-03-09,9,9,0,9
2020-03-10,11,11,0,11
2020-03-11,11,11,0,8
2020-03-12,11,11,0,8
2020-03-13,15,14,1,11
2020-03-14,15,14,1,11
2020-03-15,23,22,1,16
2020-03-16,28,27,1,21
2020-03-17,28,27,1,21
2020-03-18,28,27,1,21
2020-03-19,44,43,1,37
2020-03-20,44,43,1,37
2020-03-21,53,52,1,41
2020-03-22,65,64,1,54
2020-03-23,72,71,1,61
2020-03-24,87,86,1,76
2020-03-25,93,91,2,81
2020-03-26,122,119,3,104
2020-03-27,165,162,3,147
2020-03-28,182,178,4,163
2020-03-29,209,205,4,190
2020-03-30,273,269,4,243
2020-03-31,298,293,5,267
2020-04-01,359,354,5,328
2020-04-02,400,395,5,369
2020-04-03,443,438,5,406
