date,confirmed,recovered,deaths,active
2020-01-22,0,0,0,0
2020-01-23,0,0,0,0
2020-01-24,0,0,0,0
2020-01-25,0,0,0,0
2020-01-26,0,0,0,0
2020-01-27,0,0,0,0
2020-01-28,0,0,0,0
2020-01-29,0,0,0,0
2020-01-30,0,0,0,0
2020-01-31,0,0,0,0
2020-02-01,0,0,0,0
2020-02-02,0,0,0,0
2020-02-03,0,0,0,0
2020-02-04,0,0,0,0
2020-02-05,0,0,0,0
2020-02-06,0,0,0,0
2020-02-07,0,0,0,0
2020-02-08,0,0,0,0
2020-02-09,0,0,0,0
2020-02-10,0,0,0,0
2020-02-11,0,0,0,0
2020-02-12,0,0,0,0
2020-02-13,0,0,0,0
2020-02-14,0,0,0,0
2020-02-15,0,0,0,0
2020-02-16,0,0,0,0
2020-02-17,0,0,0,0
2020-02-18,0,0,0,0
2020-02-19,0,0,0,0
2020-02-20,0,0,0,0
2020-02-21,0,0,0,0
2020-02-22,0,0,0,0
2020-02-23,0,0,0,0
2020-02-24,1,1,0,1
2020-02-25,23,23,0,23
2020-02-26,33,33,0,33
2020-02-27,33,33,0,33
2020-02-28,36,36,0,36
2020-02-29,41,41,0,41
2020-03-01,47,47,0,47
2020-03-02,49,49,0,49
2020-03-03,49,49,0,49
2020-03-04,52,52,0,52
2020-03-05,55,55,0,55
2020-03-06,60,60,0,56
2020-03-07,85,85,0,81
2020-03-08,85,85,0,81
2020-03-09,95,95,0,81
2020-03-10,110,110,0,88
2020-03-11,195,195,0,160
2020-03-12,195,195,0,160
2020-03-13,195,195,0,151
2020-03-14,210,210,0,166
2020-03-15,214,214,0,154
2020-03-16,214,213,1,136
2020-03-17,228,227,1,146
2020-03-18,256,255,1,167
2020-03-19,278,277,1,177
2020-03-20,285,284,1,184
2020-03-21,305,304,1,179
2020-03-22,334,332,2,183
2020-03-23,377,375,2,226
2020-03-24,392,389,3,212
2020-03-25,419,415,4,238
2020-03-26,458,454,4,250
2020-03-27,466,462,4,235
2020-03-28,476,472,4,207
2020-03-29,499,495,4,223
2020-03-30,515,511,4,232
2020-03-31,567,563,4,268
2020-04-01,569,565,4,228
2020-04-02,643,639,4,258
2020-04-03,672,668,4,286
