date,confirmed,recovered,deaths,active
2020-01-22,0,0,0,0
2020-01-23,0,0,0,0
2020-01-24,0,0,0,0
2020-01-25,0,0,0,0
2020-01-26,0,0,0,0
2020-01-27,0,0,0,0
2020-01-28,0,0,0,0
2020-01-29,0,0,0,0
2020-01-30,0,0,0,0
2020-01-31,0,0,0,0
2020-02-01,0,0,0,0
2020-02-02,0,0,0,0
2020-02-03,0,0,0,0
2020-02-04,0,0,0,0
2020-02-05,0,0,0,0
2020-02-06,0,0,0,0
2020-02-07,0,0,0,0
2020-02-08,0,0,0,0
2020-02-09,0,0,0,0
2020-02-10,0,0,0,0
2020-02-11,0,0,0,0
2020-02-12,0,0,0,0
2020-02-13,0,0,0,0
2020-02-14,0,0,0,0
2020-02-15,0,0,0,0
2020-02-16,0,0,0,0
2020-02-17,0,0,0,0
2020-02-18,0,0,0,0
2020-02-19,0,0,0,0
2020-02-20,0,0,0,0
2020-02-21,0,0,0,0
2020-02-22,0,0,0,0
2020-02-23,0,0,0,0
2020-02-24,0,0,0,0
2020-02-25,0,0,0,0
2020-02-26,0,0,0,0
2020-02-27,0,0,0,0
2020-02-28,0,0,0,0
2020-02-29,0,0,0,0
2020-03-01,0,0,0,0
2020-03-02,0,0,0,0
2020-03-03,0,0,0,0
2020-03-04,0,0,0,0
2020-03-05,0,0,0,0
2020-03-06,0,0,0,0
2020-03-07,0,0,0,0
2020-03-08,3,3,0,3
2020-03-09,3,3,0,3
2020-03-10,3,3,0,3
2020-03-11,3,3,0,3
2020-03-12,3,3,0,3
2020-03-13,3,3,0,3
2020-03-14,3,3,0,3
2020-03-15,5,5,0,5
2020-03-16,8,8,0,6
2020-03-17,10,10,0,7
2020-03-18,14,13,1,10
2020-03-19,17,16,1,13
2020-03-20,20,19,1,16
2020-03-21,25,23,2,20
2020-03-22,27,25,2,22
2020-03-23,33,30,3,27
2020-03-24,39,35,4,30
2020-03-25,39,34,5,27
2020-03-26,44,39,5,28
2020-03-27,48,43,5,32
2020-03-28,48,43,5,28
2020-03-29,48,43,5,28
2020-03-30,49,44,5,25
2020-03-31,51,46,5,21
2020-04-01,54,48,6,23
2020-04-02,56,50,6,25
2020-04-03,61,55,6,29
