date,confirmed,recovered,deaths,active
2020-01-22,0,0,0,0
2020-01-23,0,0,0,0
2020-01-24,0,0,0,0
2020-01-25,0,0,0,0
2020-01-26,0,0,0,0
2020-01-27,0,0,0,0
2020-01-28,0,0,0,0
2020-01-29,0,0,0,0
2020-01-30,0,0,0,0
2020-01-31,0,0,0,0
2020-02-01,0,0,0,0
2020-02-02,0,0,0,0
2020-02-03,0,0,0,0
2020-02-04,1,1,0,1
2020-02-05,1,1,0,1
2020-02-06,1,1,0,1
2020-02-07,1,1,0,1
2020-02-08,1,1,0,1
2020-02-09,1,1,0,1
2020-02-10,1,1,0,1
2020-02-11,1,1,0,1
2020-02-12,1,1,0,1
2020-02-13,1,1,0,1
2020-02-14,1,1,0,1
2020-02-15,1,1,0,1
2020-02-16,1,1,0,1
2020-02-17,1,1,0,0
2020-02-18,1,1,0,0
2020-02-19,1,1,0,0
2020-02-20,1,1,0,0
2020-02-21,1,1,0,0
2020-02-22,1,1,0,0
2020-02-23,1,1,0,0
2020-02-24,1,1,0,0
2020-02-25,1,1,0,0
2020-02-26,1,1,0,0
2020-02-27,1,1,0,0
2020-02-28,1,1,0,0
2020-02-29,1,1,0,0
2020-03-01,2,2,0,1
2020-03-02,8,8,0,7
2020-03-03,13,13,0,12
2020-03-04,23,23,0,22
2020-03-05,50,50,0,49
2020-03-06,109,109,0,108
2020-03-07,169,169,0,168
2020-03-08,200,200,0,199
2020-03-09,239,239,0,238
2020-03-10,267,267,0,266
2020-03-11,314,311,3,310
2020-03-12,314,311,3,310
2020-03-13,559,556,3,555
2020-03-14,689,685,4,684
2020-03-15,886,882,4,881
2020-03-16,1058,1053,5,1052
2020-03-17,1243,1233,10,1232
2020-03-18,1486,1472,14,1441
2020-03-19,1795,1774,21,1743
2020-03-20,2257,2220,37,2219
2020-03-21,2815,2748,67,2485
2020-03-22,3401,3326,75,3063
2020-03-23,3743,3655,88,3392
2020-03-24,4269,4147,122,3686
2020-03-25,4937,4759,178,4212
2020-03-26,6235,6015,220,5340
2020-03-27,7284,6995,289,6137
2020-03-28,9134,8781,353,7718
2020-03-29,10836,10405,431,9046
2020-03-30,11899,11386,513,9859
2020-03-31,12775,12070,705,10374
