date,confirmed,recovered,deaths,active
2020-01-22,0,0,0,0
2020-01-23,0,0,0,0
2020-01-24,0,0,0,0
2020-01-25,0,0,0,0
2020-01-26,0,0,0,0
2020-01-27,0,0,0,0
2020-01-28,0,0,0,0
2020-01-29,0,0,0,0
2020-01-30,0,0,0,0
2020-01-31,0,0,0,0
2020-02-01,0,0,0,0
2020-02-02,0,0,0,0
2020-02-03,0,0,0,0
2020-02-04,0,0,0,0
2020-02-05,0,0,0,0
2020-02-06,0,0,0,0
2020-02-07,0,0,0,0
2020-02-08,0,0,0,0
2020-02-09,0,0,0,0
2020-02-10,0,0,0,0
2020-02-11,0,0,0,0
2020-02-12,0,0,0,0
2020-02-13,0,0,0,0
2020-02-14,0,0,0,0
2020-02-15,0,0,0,0
2020-02-16,0,0,0,0
2020-02-17,0,0,0,0
2020-02-18,0,0,0,0
2020-02-19,0,0,0,0
2020-02-20,0,0,0,0
2020-02-21,0,0,0,0
2020-02-22,0,0,0,0
2020-02-23,0,0,0,0
2020-02-24,0,0,0,0
2020-02-25,0,0,0,0
2020-02-26,0,0,0,0
2020-02-27,0,0,0,0
2020-02-28,0,0,0,0
2020-02-29,0,0,0,0
2020-03-01,0,0,0,0
2020-03-02,0,0,0,0
2020-03-03,0,0,0,0
2020-03-04,0,0,0,0
2020-03-05,2,2,0,2
2020-03-06,2,2,0,2
2020-03-07,3,3,0,3
2020-03-08,3,3,0,3
2020-03-09,3,3,0,3
2020-03-10,5,5,0,5
2020-03-11,7,7,0,7
2020-03-12,11,11,0,11
2020-03-13,13,13,0,13
2020-03-14,18,18,0,18
2020-03-15,24,24,0,24
2020-03-16,25,25,0,25
2020-03-17,26,26,0,24
2020-03-18,38,38,0,36
2020-03-19,63,63,0,61
2020-03-20,89,89,0,87
2020-03-21,93,92,1,90
2020-03-22,126,125,1,123
2020-03-23,136,135,1,133
2020-03-24,166,163,3,161
2020-03-25,176,173,3,171
2020-03-26,191,188,3,186
2020-03-27,237,233,4,228
2020-03-28,258,253,5,248
2020-03-29,323,317,6,309
2020-03-30,368,358,10,341
2020-03-31,420,407,13,390
2020-04-01,459,446,13,427
2020-04-02,533,517,16,497
2020-04-03,579,562,17,535
