date,confirmed,recovered,deaths,active
2020-01-22,0,0,0,0
2020-01-23,0,0,0,0
2020-01-24,0,0,0,0
2020-01-25,0,0,0,0
2020-01-26,0,0,0,0
2020-01-27,0,0,0,0
2020-01-28,0,0,0,0
2020-01-29,0,0,0,0
2020-01-30,0,0,0,0
2020-01-31,0,0,0,0
2020-02-01,0,0,0,0
2020-02-02,0,0,0,0
2020-02-03,0,0,0,0
2020-02-04,0,0,0,0
2020-02-05,0,0,0,0
2020-02-06,0,0,0,0
2020-02-07,0,0,0,0
2020-02-08,0,0,0,0
2020-02-09,0,0,0,0
2020-02-10,0,0,0,0
2020-02-11,0,0,0,0
2020-02-12,0,0,0,0
2020-02-13,0,0,0,0
2020-02-14,0,0,0,0
2020-02-15,0,0,0,0
2020-02-16,0,0,0,0
2020-02-17,0,0,0,0
2020-02-18,0,0,0,0
2020-02-19,0,0,0,0
2020-02-20,0,0,0,0
2020-02-21,0,0,0,0
2020-02-22,0,0,0,0
2020-02-23,0,0,0,0
2020-02-24,0,0,0,0
2020-02-25,0,0,0,0
2020-02-26,1,1,0,1
2020-02-27,1,1,0,1
2020-02-28,1,1,0,1
2020-02-29,2,2,0,2
2020-03-01,2,2,0,2
2020-03-02,2,2,0,2
2020-03-03,2,2,0,2
2020-03-04,4,4,0,4
2020-03-05,4,4,0,4
2020-03-06,13,13,0,13
2020-03-07,13,13,0,13
2020-03-08,20,20,0,20
2020-03-09,25,25,0,25
2020-03-10,31,31,0,31
2020-03-11,38,38,0,38
2020-03-12,52,52,0,52
2020-03-13,151,151,0,151
2020-03-14,151,151,0,151
2020-03-15,162,162,0,162
2020-03-16,200,200,0,199
2020-03-17,321,320,1,318
2020-03-18,372,369,3,367
2020-03-19,621,615,6,613
2020-03-20,793,782,11,780
2020-03-21,1021,1006,15,1004
2020-03-22,1546,1521,25,1519
2020-03-23,1924,1890,34,1888
2020-03-24,2247,2201,46,2199
2020-03-25,2554,2495,59,2493
2020-03-26,2985,2908,77,2902
2020-03-27,3417,3325,92,3319
2020-03-28,3904,3793,111,3787
2020-03-29,4256,4120,136,4114
2020-03-30,4579,4420,159,4300
2020-03-31,5717,5516,201,5389
2020-04-01,6836,6596,240,6469
