date,confirmed,recovered,deaths,active
2020-01-22,0,0,0,0
2020-01-23,0,0,0,0
2020-01-24,0,0,0,0
2020-01-25,0,0,0,0
2020-01-26,0,0,0,0
2020-01-27,0,0,0,0
2020-01-28,0,0,0,0
2020-01-29,0,0,0,0
2020-01-30,0,0,0,0
2020-01-31,0,0,0,0
2020-02-01,0,0,0,0
2020-02-02,0,0,0,0
2020-02-03,0,0,0,0
2020-02-04,0,0,0,0
2020-02-05,0,0,0,0
2020-02-06,0,0,0,0
2020-02-07,0,0,0,0
2020-02-08,0,0,0,0
2020-02-09,0,0,0,0
2020-02-10,0,0,0,0
2020-02-11,0,0,0,0
2020-02-12,0,0,0,0
2020-02-13,0,0,0,0
2020-02-14,0,0,0,0
2020-02-15,0,0,0,0
2020-02-16,0,0,0,0
2020-02-17,0,0,0,0
2020-02-18,0,0,0,0
2020-02-19,0,0,0,0
2020-02-20,0,0,0,0
2020-02-21,0,0,0,0
2020-02-22,0,0,0,0
2020-02-23,0,0,0,0
2020-02-24,0,0,0,0
2020-02-25,0,0,0,0
2020-02-26,0,0,0,0
2020-02-27,0,0,0,0
2020-02-28,0,0,0,0
2020-02-29,0,0,0,0
2020-03-01,0,0,0,0
2020-03-02,0,0,0,0
2020-03-03,0,0,0,0
2020-03-04,0,0,0,0
2020-03-05,0,0,0,0
2020-03-06,0,0,0,0
2020-03-07,0,0,0,0
2020-03-08,0,0,0,0
2020-03-09,0,0,0,0
2020-03-10,1,1,0,1
2020-03-11,2,2,0,2
2020-03-12,2,2,0,2
2020-03-13,2,2,0,2
2020-03-14,2,2,0,2
2020-03-15,3,3,0,3
2020-03-16,15,15,0,15
2020-03-17,15,15,0,15
2020-03-18,20,19,1,19
2020-03-19,33,32,1,32
2020-03-20,40,39,1,39
2020-03-21,64,62,2,57
2020-03-22,75,71,4,66
2020-03-23,99,95,4,90
2020-03-24,114,110,4,103
2020-03-25,146,142,4,132
2020-03-26,152,145,7,135
2020-03-27,180,171,9,159
2020-03-28,207,196,11,175
2020-03-29,222,210,12,187
2020-03-30,246,234,12,203
2020-03-31,261,247,14,215
2020-04-01,282,266,16,220
2020-04-02,288,272,16,222
2020-04-03,302,286,16,236
