date,confirmed,recovered,deaths,active
2020-01-22,0,0,0,0
2020-01-23,0,0,0,0
2020-01-24,0,0,0,0
2020-01-25,0,0,0,0
2020-01-26,0,0,0,0
2020-01-27,1,1,0,1
2020-01-28,1,1,0,1
2020-01-29,1,1,0,1
2020-01-30,1,1,0,1
2020-01-31,1,1,0,1
2020-02-01,1,1,0,1
2020-02-02,1,1,0,1
2020-02-03,1,1,0,1
2020-02-04,1,1,0,1
2020-02-05,1,1,0,1
2020-02-06,1,1,0,1
2020-02-07,1,1,0,1
2020-02-08,1,1,0,1
2020-02-09,1,1,0,1
2020-02-10,1,1,0,1
2020-02-11,1,1,0,1
2020-02-12,1,1,0,0
2020-02-13,1,1,0,0
2020-02-14,1,1,0,0
2020-02-15,1,1,0,0
2020-02-16,1,1,0,0
2020-02-17,1,1,0,0
2020-02-18,1,1,0,0
2020-02-19,1,1,0,0
2020-02-20,1,1,0,0
2020-02-21,1,1,0,0
2020-02-22,1,1,0,0
2020-02-23,1,1,0,0
2020-02-24,1,1,0,0
2020-02-25,1,1,0,0
2020-02-26,1,1,0,0
2020-02-27,1,1,0,0
2020-02-28,1,1,0,0
2020-02-29,1,1,0,0
2020-03-01,1,1,0,0
2020-03-02,1,1,0,0
2020-03-03,1,1,0,0
2020-03-04,1,1,0,0
2020-03-05,1,1,0,0
2020-03-06,1,1,0,0
2020-03-07,1,1,0,0
2020-03-08,2,2,0,1
2020-03-09,2,2,0,1
2020-03-10,2,2,0,1
2020-03-11,3,3,0,2
2020-03-12,3,3,0,2
2020-03-13,5,5,0,4
2020-03-14,7,7,0,6
2020-03-15,7,7,0,6
2020-03-16,7,7,0,6
2020-03-17,33,33,0,32
2020-03-18,35,35,0,34
2020-03-19,37,37,0,36
2020-03-20,51,51,0,50
2020-03-21,53,53,0,52
2020-03-22,84,84,0,83
2020-03-23,87,87,0,86
2020-03-24,91,91,0,87
2020-03-25,96,96,0,86
2020-03-26,96,96,0,86
2020-03-27,99,99,0,88
2020-03-28,99,99,0,86
2020-03-29,103,103,0,82
2020-03-30,107,107,0,86
2020-03-31,109,109,0,86
2020-04-01,109,109,0,84
2020-04-02,110,110,0,76
2020-04-03,114,114,0,79
