date,confirmed,recovered,deaths,active
2020-01-22,0,0,0,0
2020-01-23,2,2,0,2
2020-01-24,3,3,0,3
2020-01-25,3,3,0,3
2020-01-26,3,3,0,3
2020-01-27,3,3,0,3
2020-01-28,4,4,0,4
2020-01-29,4,4,0,4
2020-01-30,4,4,0,4
2020-01-31,4,4,0,4
2020-02-01,4,4,0,4
2020-02-02,4,4,0,4
2020-02-03,4,4,0,4
2020-02-04,5,5,0,5
2020-02-05,6,6,0,6
2020-02-06,6,6,0,6
2020-02-07,8,8,0,8
2020-02-08,8,8,0,8
2020-02-09,8,8,0,8
2020-02-10,9,9,0,9
2020-02-11,9,9,0,9
2020-02-12,9,9,0,8
2020-02-13,9,9,0,8
2020-02-14,9,9,0,8
2020-02-15,9,9,0,8
2020-02-16,9,9,0,8
2020-02-17,10,10,0,9
2020-02-18,10,10,0,9
2020-02-19,10,10,0,9
2020-02-20,11,11,0,10
2020-02-21,13,13,0,10
2020-02-22,14,14,0,11
2020-02-23,15,15,0,12
2020-02-24,16,16,0,13
2020-02-25,19,19,0,16
2020-02-26,20,20,0,17
2020-02-27,22,22,0,16
2020-02-28,28,28,0,22
2020-02-29,33,33,0,27
2020-03-01,38,38,0,32
2020-03-02,45,45,0,39
2020-03-03,51,51,0,45
2020-03-04,59,59,0,53
2020-03-05,71,71,0,65
2020-03-06,90,90,0,84
2020-03-07,98,98,0,90
2020-03-08,120,120,0,112
2020-03-09,144,143,1,135
2020-03-10,165,164,1,156
2020-03-11,228,227,1,219
2020-03-12,289,288,1,280
2020-03-13,386,385,1,377
2020-03-14,453,452,1,444
2020-03-15,549,548,1,540
2020-03-16,700,696,4,687
2020-03-17,854,848,6,839
2020-03-18,1097,1086,11,1077
2020-03-19,1349,1337,12,1328
2020-03-20,1692,1677,15,1668
2020-03-21,2195,2177,18,2167
2020-03-22,2652,2630,22,2620
2020-03-23,3298,3269,29,3259
2020-03-24,3997,3963,34,3853
2020-03-25,4570,4523,47,4340
2020-03-26,5511,5452,59,5268
2020-03-27,6380,6314,66,6058
2020-03-28,7310,7227,83,6761
2020-03-29,8246,8148,98,7682
2020-03-30,9478,9361,117,8895
2020-03-31,10711,10559,152,8967
2020-04-01,12023,11848,175,10524
2020-04-02,13742,13518,224,11783
2020-04-03,15074,14797,277,12622
2020-04-04,16410,16050,360,13473
2020-04-05,17599,17164,435,14152
2020-04-06,19100,18597,503,15341
2020-04-07,20488,19907,581,16116
2020-04-08,21724,21054,670,16900
2020-04-09,23104,22331,773,17169
2020-04-10,24248,23381,867,17526
2020-04-11,25624,24638,986,18049
2020-04-12,26966,25871,1095,18748
2020-04-13,28763,27538,1225,19780
2020-04-14,30452,29091,1361,20881
2020-04-15,32199,30684,1515,21718
2020-04-16,33965,32314,1651,22616
2020-04-17,36091,34293,1798,23748
2020-04-18,37617,35680,1937,24716
2020-04-19,39317,37210,2107,25363
2020-04-20,41029,38778,2251,26235
2020-04-21,42619,40207,2412,27019
2020-04-22,44465,41889,2576,27435
2020-04-23,46274,43517,2757,28756
2020-04-24,47914,44983,2931,29834
2020-04-25,49496,46384,3112,30371
2020-04-26,50707,47458,3249,30575
2020-04-27,52363,48935,3428,30667
2020-04-28,53886,50251,3635,31020
2020-04-29,55575,51732,3843,31405
2020-04-30,57214,53159,4055,31735
2020-05-01,59025,54789,4236,32025
2020-05-02,60381,55969,4412,32155
2020-05-03,61640,57082,4558,32161
2020-05-04,63016,58252,4764,32222
2020-05-05,64411,59475,4936,32469
2020-05-06,65927,60819,5108,32635
2020-05-07,67198,61942,5256,32682
2020-05-08,68398,62984,5414,32745
2020-05-09,69544,63968,5576,32706
2020-05-10,70582,64878,5704,32769
2020-05-11,71606,65770,5836,32763
2020-05-12,72723,66744,5979,32689
2020-05-13,73950,67859,6091,32682
2020-05-14,75060,68847,6213,32743
2020-05-15,76331,69994,6337,33086
2020-05-16,77486,71034,6452,33202
2020-05-17,78694,72152,6542,33589
2020-05-18,79780,73143,6637,33892
2020-05-19,80782,74068,6714,33999
2020-05-20,82038,75206,6832,34413
2020-05-21,83153,76220,6933,34489
2020-05-22,84243,77207,7036,34599
2020-05-23,85150,78021,7129,34703
2020-05-24,86103,78885,7218,34887
2020-05-25,87067,79755,7312,35104
2020-05-26,87834,80434,7400,35082
2020-05-27,88719,81222,7497,34974
2020-05-28,89506,81892,7614,34931
2020-05-29,90575,82861,7714,34956
2020-05-30,91337,83565,7772,35048
2020-05-31,92067,84239,7828,35026
2020-06-01,92863,84988,7875,34897
2020-06-02,93490,85564,7926,34839
2020-06-03,94172,86190,7982,34684
2020-06-04,94754,86707,8047,34523
2020-06-05,95281,87189,8092,34115
2020-06-06,95805,87653,8152,33566
2020-06-07,96217,88024,8193,33349
2020-06-08,96668,88429,8239,33086
2020-06-09,97102,88827,8275,32710
2020-06-10,97592,89287,8305,32072
2020-06-11,98004,89667,8337,31536
2020-06-12,98465,90098,8367,31064
2020-06-13,98806,90411,8395,30560
2020-06-14,99108,90690,8418,30022
2020-06-15,99485,91040,8445,29574
2020-06-16,99844,91380,8464,29481
2020-06-17,100232,91747,8485,28467
2020-06-18,100638,92143,8495,28361
2020-06-19,101026,92507,8519,28189
2020-06-20,101341,92787,8554,27961
2020-06-21,101649,93074,8575,27825
2020-06-22,102004,93415,8589,27694
2020-06-23,102322,93709,8613,27574
2020-06-24,102642,94001,8641,27468
2020-06-25,102936,94275,8661,27406
2020-06-26,103263,94595,8668,27413
2020-06-27,103665,94985,8680,27540
2020-06-28,103978,95288,8690,27599
2020-06-29,104274,95567,8707,26869
2020-06-30,104608,95886,8722,26766
2020-07-01,104830,96098,8732,26701
2020-07-02,105179,96430,8749,26558
2020-07-03,105497,96742,8755,26510
2020-07-04,105725,96961,8764,26454
2020-07-05,105882,97113,8769,26341
2020-07-06,106234,97452,8782,26311
2020-07-07,106547,97757,8790,26339
2020-07-08,106868,98061,8807,26256
2020-07-09,107202,98384,8818,26289
2020-07-10,107550,98721,8829,26255
2020-07-11,107790,98952,8838,26168
2020-07-12,108004,99162,8842,26208
2020-07-13,108546,99696,8850,26315
2020-07-14,108972,100118,8854,26405
2020-07-15,109378,100510,8868,26443
2020-07-16,109860,100981,8879,26548
2020-07-17,110389,101497,8892,3216
2020-07-18,110773,101877,8896,3441
2020-07-19,111026,102126,8900,3562
2020-07-20,111821,102917,8904,3942
2020-07-21,112281,103372,8909,4124
2020-07-22,112663,103749,8914,4248
2020-07-23,113399,104477,8922,4540
2020-07-24,113836,104908,8928,4404
2020-07-25,114172,105241,8931,4476
2020-07-26,114479,105544,8935,4575
2020-07-27,115110,106162,8948,4715
2020-07-28,115487,106530,8957,4844
2020-07-29,115988,107026,8962,5034
2020-07-30,116434,107459,8975,5115
2020-07-31,116886,107905,8981,4999
2020-08-01,117140,108155,8985,5083
2020-08-02,117324,108336,8988,5135
2020-08-03,117591,108603,8988,5319
2020-08-04,118280,109283,8997,5225
2020-08-05,118638,109636,9002,5259
2020-08-06,118971,109962,9009,5284
2020-08-07,119413,110399,9014,5271
2020-08-08,119652,110635,9017,5380
2020-08-09,119875,110854,9021,5434
2020-08-10,120458,111430,9028,3380
2020-08-11,120820,111786,9034,3321
2020-08-12,121153,112114,9039,3285
2020-08-13,121647,112603,9044,3343
2020-08-14,122059,113011,9048,3354
2020-08-15,122269,113215,9054,3282
2020-08-16,122444,113385,9059,3183
2020-08-17,122648,113587,9061,3154
2020-08-18,123551,114477,9074,3385
2020-08-19,123906,114827,9079,3268
2020-08-20,124152,115070,9082,3259
2020-08-21,124857,115761,9096,3380
2020-08-22,125060,115963,9097,3342
2020-08-23,125323,116222,9101,3386
2020-08-24,126064,116955,9109,3506
2020-08-25,126435,117321,9114,3512
2020-08-26,126919,117801,9118,3581
2020-08-27,127394,118271,9123,3661
2020-08-28,127956,118821,9135,3792
2020-08-29,128283,119146,9137,3852
2020-08-30,128561,119422,9139,3962
2020-08-31,129594,120447,9147,4427
2020-09-01,130131,120980,9151,4548
2020-09-02,130698,121545,9153,4679
2020-09-03,131350,122192,9158,4915
2020-09-04,131988,122830,9158,5075
2020-09-05,132368,123209,9159,5241
2020-09-06,132799,123638,9161,5446
2020-09-07,133216,124053,9163,5667
2020-09-08,134694,125524,9170,6104
2020-09-09,135200,126026,9174,6237
2020-09-10,136182,127000,9182,6152
2020-09-11,136997,127816,9181,6279
2020-09-12,137636,128452,9184,6508
2020-09-13,138212,129024,9188,6758
2020-09-14,139541,130341,9200,7221
2020-09-15,140471,131264,9207,7487
2020-09-16,141475,132263,9212,7851
2020-09-17,142590,133371,9219,8387
2020-09-18,143871,134642,9229,8988
2020-09-19,144837,135601,9236,9617
2020-09-20,145771,136532,9239,9940
2020-09-21,147451,138201,9250,10517
2020-09-22,148664,139406,9258,10516
2020-09-23,150089,140822,9267,10972
2020-09-24,151519,142243,9276,11667
2020-09-25,153313,144030,9283,12321
2020-09-26,154946,145658,9288,13405
2020-09-27,156404,147110,9294,13906
2020-09-28,158607,149296,9311,14745
2020-09-29,160539,151214,9325,15449
2020-09-30,162560,153217,9343,16036
2020-10-01,164444,155085,9359,16537
2020-10-02,166611,157162,9449,17345
2020-10-03,168372,158871,9501,18160
2020-10-04,170033,160514,9519,18012
2020-10-05,172452,162908,9544,18255
2020-10-06,174611,165045,9566,18616
2020-10-07,176719,167134,9585,19320
2020-10-08,179121,169518,9603,19826
2020-10-09,181576,171959,9617,19913
2020-10-10,183330,173687,9643,19830
2020-10-11,185227,175570,9657,19669
