date,confirmed,recovered,deaths,active
2020-01-22,548,531,17,503
2020-01-23,643,625,18,595
2020-01-24,920,894,26,858
2020-01-25,1406,1364,42,1325
2020-01-26,2075,2019,56,1970
2020-01-27,2877,2795,82,2737
2020-01-28,5509,5378,131,5277
2020-01-29,6087,5954,133,5834
2020-01-30,8141,7970,171,7835
2020-01-31,9802,9589,213,9375
2020-02-01,11891,11632,259,11357
2020-02-02,16630,16269,361,15806
2020-02-03,19716,19291,425,18677
2020-02-04,23707,23216,491,22373
2020-02-05,27440,26877,563,25762
2020-02-06,30587,29954,633,28477
2020-02-07,34110,33392,718,31393
2020-02-08,36814,36009,805,33413
2020-02-09,39829,38924,905,35705
2020-02-10,42354,41342,1012,37424
2020-02-11,44386,43274,1112,38638
2020-02-12,44759,43642,1117,38560
2020-02-13,59895,58526,1369,52309
2020-02-14,66358,64837,1521,56860
2020-02-15,68413,66750,1663,57452
2020-02-16,70513,68747,1766,57992
2020-02-17,72434,70570,1864,58108
2020-02-18,74211,72208,2003,58002
2020-02-19,74619,72503,2116,56541
2020-02-20,75077,72839,2238,54825
2020-02-21,75550,73312,2238,54608
2020-02-22,77001,74558,2443,51859
2020-02-23,77022,74577,2445,51390
2020-02-24,77241,74646,2595,49631
2020-02-25,77754,75089,2665,47413
2020-02-26,78166,75449,2717,45365
2020-02-27,78600,75854,2746,42924
2020-02-28,78928,76138,2790,39809
2020-02-29,79356,76519,2837,37199
2020-03-01,79932,77060,2872,34898
2020-03-02,80136,77222,2914,32368
2020-03-03,80261,77314,2947,29864
2020-03-04,80386,77403,2983,27402
2020-03-05,80537,77522,3015,25230
2020-03-06,80690,77646,3044,23702
2020-03-07,80770,77698,3072,22159
2020-03-08,80823,77723,3100,20335
2020-03-09,80860,77737,3123,18933
2020-03-10,80887,77748,3139,17567
2020-03-11,80921,77760,3161,16116
2020-03-12,80932,77760,3172,14859
2020-03-13,80945,77765,3180,13569
2020-03-14,80977,77784,3193,12124
2020-03-15,81003,77799,3204,10782
2020-03-16,81033,77814,3219,9904
2020-03-17,81058,77826,3232,9028
2020-03-18,81102,77859,3243,8104
2020-03-19,81156,77905,3251,7370
2020-03-20,81250,77995,3255,6729
2020-03-21,81305,78043,3262,6186
2020-03-22,81435,78158,3277,5796
2020-03-23,81493,78214,3279,5400
2020-03-24,81587,78301,3286,5021
2020-03-25,81658,78368,3290,4595
2020-03-26,81781,78482,3299,4301
2020-03-27,81872,78568,3304,3848
2020-03-28,81964,78657,3307,3557
2020-03-29,82058,78745,3313,3163
2020-03-30,82139,78821,3318,2898
2020-03-31,83786,80463,3323,4257
2020-04-01,84002,80670,3332,4265
2020-04-02,84129,80790,3339,4225
2020-04-03,84265,80917,3348,4157
2020-04-04,84363,81010,3353,4064
2020-04-05,84467,81110,3357,3903
2020-04-06,84611,81250,3361,3940
2020-04-07,84692,81330,3362,3920
2020-04-08,84909,81543,3366,3976
2020-04-09,85024,81652,3372,3973
2020-04-10,85115,81742,3373,3951
2020-04-11,85208,81829,3379,3952
2020-04-12,85377,81996,3381,4040
2020-04-13,85489,82104,3385,4065
2020-04-14,85569,82182,3387,3982
2020-04-15,85668,82279,3389,3968
2020-04-16,85774,82383,3391,3982
2020-04-17,86187,81501,4686,3949
2020-04-18,86258,81571,4687,3957
2020-04-19,86321,81634,4687,3944
2020-04-20,86382,81694,4688,3949
2020-04-21,86452,81761,4691,3962
2020-04-22,86508,81816,4692,3955
2020-04-23,86548,81855,4693,3872
2020-04-24,86594,81900,4694,3791
2020-04-25,86632,81937,4695,3762
2020-04-26,86661,81965,4696,3688
2020-04-27,86692,81996,4696,3622
2020-04-28,86754,82057,4697,3635
2020-04-29,86783,82086,4697,3612
2020-04-30,86828,82131,4697,3608
2020-05-01,86850,82152,4698,3579
2020-05-02,86858,82160,4698,3574
2020-05-03,86842,82143,4699,3459
2020-05-04,86838,82139,4699,3347
2020-05-05,86855,82156,4699,3286
2020-05-06,86877,82178,4699,3249
2020-05-07,86888,82187,4701,3210
2020-05-08,86905,82203,4702,3210
2020-05-09,86934,82232,4702,3105
2020-05-10,86973,82270,4703,3103
2020-05-11,86980,82276,4704,3078
2020-05-12,87002,82298,4704,3076
2020-05-13,87016,82312,4704,3066
2020-05-14,87032,82328,4704,3067
2020-05-15,87052,82348,4704,3067
2020-05-16,87070,82365,4705,3072
2020-05-17,87092,82387,4705,3081
2020-05-18,87119,82414,4705,3104
2020-05-19,87135,82429,4706,3119
2020-05-20,87151,82445,4706,3135
2020-05-21,87190,82484,4706,3174
2020-05-22,87235,82529,4706,3197
