date,confirmed,recovered,deaths,active
2020-01-22,0,0,0,0
2020-01-23,0,0,0,0
2020-01-24,0,0,0,0
2020-01-25,0,0,0,0
2020-01-26,0,0,0,0
2020-01-27,0,0,0,0
2020-01-28,0,0,0,0
2020-01-29,0,0,0,0
2020-01-30,0,0,0,0
2020-01-31,0,0,0,0
2020-02-01,0,0,0,0
2020-02-02,0,0,0,0
2020-02-03,0,0,0,0
2020-02-04,0,0,0,0
2020-02-05,0,0,0,0
2020-02-06,0,0,0,0
2020-02-07,0,0,0,0
2020-02-08,0,0,0,0
2020-02-09,0,0,0,0
2020-02-10,0,0,0,0
2020-02-11,0,0,0,0
2020-02-12,0,0,0,0
2020-02-13,0,0,0,0
2020-02-14,0,0,0,0
2020-02-15,0,0,0,0
2020-02-16,0,0,0,0
2020-02-17,0,0,0,0
2020-02-18,0,0,0,0
2020-02-19,0,0,0,0
2020-02-20,0,0,0,0
2020-02-21,0,0,0,0
2020-02-22,0,0,0,0
2020-02-23,0,0,0,0
2020-02-24,0,0,0,0
2020-02-25,0,0,0,0
2020-02-26,0,0,0,0
2020-02-27,0,0,0,0
2020-02-28,0,0,0,0
2020-02-29,0,0,0,0
2020-03-01,0,0,0,0
2020-03-02,0,0,0,0
2020-03-03,0,0,0,0
2020-03-04,0,0,0,0
2020-03-05,0,0,0,0
2020-03-06,0,0,0,0
2020-03-07,0,0,0,0
2020-03-08,0,0,0,0
2020-03-09,0,0,0,0
2020-03-10,0,0,0,0
2020-03-11,1,1,0,1
2020-03-12,1,1,0,1
2020-03-13,1,1,0,1
2020-03-14,1,1,0,1
2020-03-15,1,1,0,1
2020-03-16,1,1,0,1
2020-03-17,5,5,0,4
2020-03-18,6,6,0,5
2020-03-19,9,9,0,8
2020-03-20,9,9,0,8
2020-03-21,14,14,0,13
2020-03-22,14,14,0,13
2020-03-23,25,25,0,24
2020-03-24,73,73,0,71
2020-03-25,80,80,0,77
2020-03-26,96,96,0,93
2020-03-27,101,101,0,98
2020-03-28,101,101,0,98
2020-03-29,165,164,1,160
2020-03-30,168,167,1,161
2020-03-31,179,178,1,171
2020-04-01,190,189,1,180
2020-04-02,194,193,1,178
2020-04-03,218,217,1,198
