date,confirmed,recovered,deaths,active
2020-01-22,0,0,0,0
2020-01-23,0,0,0,0
2020-01-24,0,0,0,0
2020-01-25,0,0,0,0
2020-01-26,0,0,0,0
2020-01-27,0,0,0,0
2020-01-28,0,0,0,0
2020-01-29,0,0,0,0
2020-01-30,0,0,0,0
2020-01-31,0,0,0,0
2020-02-01,0,0,0,0
2020-02-02,0,0,0,0
2020-02-03,0,0,0,0
2020-02-04,0,0,0,0
2020-02-05,0,0,0,0
2020-02-06,0,0,0,0
2020-02-07,0,0,0,0
2020-02-08,0,0,0,0
2020-02-09,0,0,0,0
2020-02-10,0,0,0,0
2020-02-11,0,0,0,0
2020-02-12,0,0,0,0
2020-02-13,0,0,0,0
2020-02-14,0,0,0,0
2020-02-15,0,0,0,0
2020-02-16,0,0,0,0
2020-02-17,0,0,0,0
2020-02-18,0,0,0,0
2020-02-19,0,0,0,0
2020-02-20,0,0,0,0
2020-02-21,0,0,0,0
2020-02-22,0,0,0,0
2020-02-23,0,0,0,0
2020-02-24,0,0,0,0
2020-02-25,0,0,0,0
2020-02-26,0,0,0,0
2020-02-27,0,0,0,0
2020-02-28,0,0,0,0
2020-02-29,0,0,0,0
2020-03-01,3,3,0,3
2020-03-02,3,3,0,3
2020-03-03,5,5,0,5
2020-03-04,8,8,0,8
2020-03-05,12,12,0,12
2020-03-06,18,18,0,18
2020-03-07,19,19,0,19
2020-03-08,31,31,0,31
2020-03-09,31,31,0,31
2020-03-10,41,41,0,41
2020-03-11,91,91,0,91
2020-03-12,94,94,0,94
2020-03-13,141,141,0,141
2020-03-14,189,189,0,189
2020-03-15,253,253,0,253
2020-03-16,298,298,0,295
2020-03-17,396,396,0,393
2020-03-18,464,464,0,461
2020-03-19,694,694,0,691
2020-03-20,833,833,0,829
2020-03-21,995,995,0,989
2020-03-22,1120,1119,1,1113
2020-03-23,1236,1235,1,1229
2020-03-24,1394,1391,3,1381
2020-03-25,1654,1648,6,1638
2020-03-26,1925,1916,9,1906
2020-03-27,2279,2270,9,2259
2020-03-28,2631,2620,11,2609
2020-03-29,2817,2801,16,2790
2020-03-30,3001,2978,23,2953
2020-03-31,3308,3277,31,3232
2020-04-01,3508,3469,39,3408
