date,confirmed,recovered,deaths,active
2020-01-22,0,0,0,0
2020-01-23,0,0,0,0
2020-01-24,0,0,0,0
2020-01-25,0,0,0,0
2020-01-26,0,0,0,0
2020-01-27,0,0,0,0
2020-01-28,0,0,0,0
2020-01-29,0,0,0,0
2020-01-30,0,0,0,0
2020-01-31,0,0,0,0
2020-02-01,0,0,0,0
2020-02-02,0,0,0,0
2020-02-03,0,0,0,0
2020-02-04,0,0,0,0
2020-02-05,0,0,0,0
2020-02-06,0,0,0,0
2020-02-07,0,0,0,0
2020-02-08,0,0,0,0
2020-02-09,0,0,0,0
2020-02-10,0,0,0,0
2020-02-11,0,0,0,0
2020-02-12,0,0,0,0
2020-02-13,0,0,0,0
2020-02-14,1,1,0,1
2020-02-15,1,1,0,1
2020-02-16,1,1,0,1
2020-02-17,1,1,0,1
2020-02-18,1,1,0,1
2020-02-19,1,1,0,1
2020-02-20,1,1,0,1
2020-02-21,1,1,0,1
2020-02-22,1,1,0,1
2020-02-23,1,1,0,1
2020-02-24,1,1,0,1
2020-02-25,1,1,0,1
2020-02-26,1,1,0,1
2020-02-27,1,1,0,1
2020-02-28,1,1,0,0
2020-02-29,1,1,0,0
2020-03-01,2,2,0,1
2020-03-02,2,2,0,1
2020-03-03,2,2,0,1
2020-03-04,2,2,0,1
2020-03-05,3,3,0,2
2020-03-06,15,15,0,14
2020-03-07,15,15,0,14
2020-03-08,49,48,1,47
2020-03-09,55,54,1,53
2020-03-10,59,58,1,57
2020-03-11,60,59,1,32
2020-03-12,67,66,1,39
2020-03-13,80,78,2,51
2020-03-14,109,107,2,80
2020-03-15,110,108,2,87
2020-03-16,150,148,2,121
2020-03-17,196,192,4,160
2020-03-18,196,190,6,158
2020-03-19,256,250,6,218
2020-03-20,285,277,8,238
2020-03-21,294,284,10,243
2020-03-22,327,313,14,257
2020-03-23,366,347,19,291
2020-03-24,402,382,20,302
2020-03-25,456,435,21,340
2020-03-26,495,471,24,369
2020-03-27,536,506,30,390
2020-03-28,576,540,36,419
2020-03-29,609,569,40,437
2020-03-30,656,615,41,465
2020-03-31,710,664,46,507
2020-04-01,779,727,52,548
2020-04-02,865,807,58,606
2020-04-03,985,919,66,703
