date,confirmed,recovered,deaths,active
2020-01-22,0,0,0,0
2020-01-23,0,0,0,0
2020-01-24,0,0,0,0
2020-01-25,0,0,0,0
2020-01-26,0,0,0,0
2020-01-27,0,0,0,0
2020-01-28,0,0,0,0
2020-01-29,0,0,0,0
2020-01-30,0,0,0,0
2020-01-31,0,0,0,0
2020-02-01,0,0,0,0
2020-02-02,0,0,0,0
2020-02-03,0,0,0,0
2020-02-04,0,0,0,0
2020-02-05,0,0,0,0
2020-02-06,0,0,0,0
2020-02-07,0,0,0,0
2020-02-08,0,0,0,0
2020-02-09,0,0,0,0
2020-02-10,0,0,0,0
2020-02-11,0,0,0,0
2020-02-12,0,0,0,0
2020-02-13,0,0,0,0
2020-02-14,0,0,0,0
2020-02-15,0,0,0,0
2020-02-16,0,0,0,0
2020-02-17,0,0,0,0
2020-02-18,0,0,0,0
2020-02-19,0,0,0,0
2020-02-20,0,0,0,0
2020-02-21,0,0,0,0
2020-02-22,0,0,0,0
2020-02-23,0,0,0,0
2020-02-24,0,0,0,0
2020-02-25,0,0,0,0
2020-02-26,1,1,0,1
2020-02-27,1,1,0,1
2020-02-28,1,1,0,1
2020-02-29,1,1,0,1
2020-03-01,3,3,0,3
2020-03-02,3,3,0,3
2020-03-03,3,3,0,3
2020-03-04,3,3,0,3
2020-03-05,4,4,0,4
2020-03-06,4,4,0,4
2020-03-07,4,4,0,4
2020-03-08,13,13,0,13
2020-03-09,15,15,0,15
2020-03-10,15,15,0,15
2020-03-11,24,24,0,24
2020-03-12,24,24,0,24
2020-03-13,25,25,0,25
2020-03-14,30,30,0,30
2020-03-15,33,33,0,33
2020-03-16,33,33,0,32
2020-03-17,34,34,0,33
2020-03-18,38,38,0,37
2020-03-19,40,40,0,39
2020-03-20,43,43,0,42
2020-03-21,49,49,0,48
2020-03-22,54,54,0,51
2020-03-23,61,61,0,58
2020-03-24,70,70,0,61
2020-03-25,75,75,0,65
2020-03-26,79,79,0,68
2020-03-27,83,83,0,69
2020-03-28,90,90,0,76
2020-03-29,91,91,0,73
2020-03-30,103,103,0,83
2020-03-31,110,110,0,89
2020-04-01,117,117,0,94
2020-04-02,134,134,0,108
2020-04-03,155,155,0,127
