date,confirmed,recovered,deaths,active
2020-01-22,0,0,0,0
2020-01-23,0,0,0,0
2020-01-24,0,0,0,0
2020-01-25,0,0,0,0
2020-01-26,0,0,0,0
2020-01-27,0,0,0,0
2020-01-28,0,0,0,0
2020-01-29,0,0,0,0
2020-01-30,0,0,0,0
2020-01-31,0,0,0,0
2020-02-01,0,0,0,0
2020-02-02,0,0,0,0
2020-02-03,0,0,0,0
2020-02-04,0,0,0,0
2020-02-05,0,0,0,0
2020-02-06,0,0,0,0
2020-02-07,0,0,0,0
2020-02-08,0,0,0,0
2020-02-09,0,0,0,0
2020-02-10,0,0,0,0
2020-02-11,0,0,0,0
2020-02-12,0,0,0,0
2020-02-13,0,0,0,0
2020-02-14,0,0,0,0
2020-02-15,0,0,0,0
2020-02-16,0,0,0,0
2020-02-17,0,0,0,0
2020-02-18,0,0,0,0
2020-02-19,0,0,0,0
2020-02-20,0,0,0,0
2020-02-21,0,0,0,0
2020-02-22,0,0,0,0
2020-02-23,0,0,0,0
2020-02-24,0,0,0,0
2020-02-25,0,0,0,0
2020-02-26,0,0,0,0
2020-02-27,0,0,0,0
2020-02-28,0,0,0,0
2020-02-29,0,0,0,0
2020-03-01,0,0,0,0
2020-03-02,0,0,0,0
2020-03-03,0,0,0,0
2020-03-04,2,2,0,2
2020-03-05,2,2,0,2
2020-03-06,2,2,0,2
2020-03-07,4,4,0,4
2020-03-08,7,7,0,7
2020-03-09,9,9,0,9
2020-03-10,9,9,0,9
2020-03-11,13,13,0,13
2020-03-12,13,13,0,13
2020-03-13,19,19,0,19
2020-03-14,30,30,0,29
2020-03-15,32,31,1,30
2020-03-16,39,38,1,37
2020-03-17,50,49,1,47
2020-03-18,58,57,1,55
2020-03-19,73,72,1,70
2020-03-20,85,82,3,80
2020-03-21,103,99,4,92
2020-03-22,131,125,6,109
2020-03-23,167,160,7,144
2020-03-24,187,178,9,157
2020-03-25,226,216,10,195
2020-03-26,261,251,10,223
2020-03-27,300,290,10,256
2020-03-28,343,332,11,298
2020-03-29,408,395,13,361
2020-03-30,447,432,15,398
2020-03-31,492,476,16,439
2020-04-01,525,505,20,465
2020-04-02,585,564,21,522
2020-04-03,623,597,26,554
