date,confirmed,recovered,deaths,active
2020-01-22,0,0,0,0
2020-01-23,0,0,0,0
2020-01-24,0,0,0,0
2020-01-25,0,0,0,0
2020-01-26,0,0,0,0
2020-01-27,0,0,0,0
2020-01-28,0,0,0,0
2020-01-29,0,0,0,0
2020-01-30,0,0,0,0
2020-01-31,0,0,0,0
2020-02-01,0,0,0,0
2020-02-02,0,0,0,0
2020-02-03,0,0,0,0
2020-02-04,0,0,0,0
2020-02-05,0,0,0,0
2020-02-06,0,0,0,0
2020-02-07,0,0,0,0
2020-02-08,0,0,0,0
2020-02-09,0,0,0,0
2020-02-10,0,0,0,0
2020-02-11,0,0,0,0
2020-02-12,0,0,0,0
2020-02-13,0,0,0,0
2020-02-14,0,0,0,0
2020-02-15,0,0,0,0
2020-02-16,0,0,0,0
2020-02-17,0,0,0,0
2020-02-18,0,0,0,0
2020-02-19,0,0,0,0
2020-02-20,0,0,0,0
2020-02-21,0,0,0,0
2020-02-22,0,0,0,0
2020-02-23,0,0,0,0
2020-02-24,0,0,0,0
2020-02-25,0,0,0,0
2020-02-26,0,0,0,0
2020-02-27,0,0,0,0
2020-02-28,1,1,0,1
2020-02-29,1,1,0,1
2020-03-01,3,3,0,3
2020-03-02,6,6,0,6
2020-03-03,11,11,0,11
2020-03-04,26,26,0,26
2020-03-05,34,34,0,34
2020-03-06,43,43,0,43
2020-03-07,50,50,0,50
2020-03-08,50,50,0,50
2020-03-09,58,58,0,58
2020-03-10,69,69,0,68
2020-03-11,85,85,0,84
2020-03-12,103,103,0,102
2020-03-13,134,134,0,133
2020-03-14,156,156,0,155
2020-03-15,171,166,5,158
2020-03-16,180,180,0,180
2020-03-17,220,219,1,219
2020-03-18,250,249,1,244
2020-03-19,330,329,1,324
2020-03-20,409,409,0,404
2020-03-21,473,472,1,450
2020-03-22,568,567,1,531
2020-03-23,588,587,1,551
2020-03-24,648,646,2,595
2020-03-25,737,735,2,679
2020-03-26,802,800,2,718
2020-03-27,890,888,2,791
2020-03-28,963,961,2,847
2020-03-29,1020,1018,2,883
2020-03-30,1086,1084,2,927
2020-03-31,1135,1133,2,935
2020-04-01,1220,1218,2,993
2020-04-02,1319,1315,4,1031
