date,confirmed,recovered,deaths,active
2020-01-22,0,0,0,0
2020-01-23,0,0,0,0
2020-01-24,0,0,0,0
2020-01-25,0,0,0,0
2020-01-26,0,0,0,0
2020-01-27,0,0,0,0
2020-01-28,0,0,0,0
2020-01-29,0,0,0,0
2020-01-30,1,1,0,1
2020-01-31,1,1,0,1
2020-02-01,1,1,0,1
2020-02-02,2,2,0,2
2020-02-03,3,3,0,3
2020-02-04,3,3,0,3
2020-02-05,3,3,0,3
2020-02-06,3,3,0,3
2020-02-07,3,3,0,3
2020-02-08,3,3,0,3
2020-02-09,3,3,0,3
2020-02-10,3,3,0,3
2020-02-11,3,3,0,3
2020-02-12,3,3,0,3
2020-02-13,3,3,0,3
2020-02-14,3,3,0,3
2020-02-15,3,3,0,3
2020-02-16,3,3,0,0
2020-02-17,3,3,0,0
2020-02-18,3,3,0,0
2020-02-19,3,3,0,0
2020-02-20,3,3,0,0
2020-02-21,3,3,0,0
2020-02-22,3,3,0,0
2020-02-23,3,3,0,0
2020-02-24,3,3,0,0
2020-02-25,3,3,0,0
2020-02-26,3,3,0,0
2020-02-27,3,3,0,0
2020-02-28,3,3,0,0
2020-02-29,3,3,0,0
2020-03-01,3,3,0,0
2020-03-02,5,5,0,2
2020-03-03,5,5,0,2
2020-03-04,28,28,0,25
2020-03-05,30,30,0,27
2020-03-06,31,31,0,28
2020-03-07,34,34,0,31
2020-03-08,39,39,0,36
2020-03-09,43,43,0,40
2020-03-10,56,56,0,52
2020-03-11,62,61,1,57
2020-03-12,73,72,1,68
2020-03-13,82,80,2,76
2020-03-14,102,100,2,96
2020-03-15,113,111,2,98
2020-03-16,119,117,2,104
2020-03-17,142,139,3,125
2020-03-18,156,153,3,139
2020-03-19,194,190,4,175
2020-03-20,244,239,5,219
2020-03-21,330,326,4,303
2020-03-22,396,389,7,362
2020-03-23,499,489,10,462
2020-03-24,536,526,10,486
2020-03-25,657,645,12,602
2020-03-26,727,707,20,662
2020-03-27,887,867,20,794
2020-03-28,987,963,24,879
2020-03-29,1024,997,27,902
2020-03-30,1251,1219,32,1117
2020-03-31,1397,1362,35,1239
2020-04-01,1998,1940,58,1792
2020-04-02,2543,2471,72,2280
