date,confirmed,recovered,deaths,active
2020-01-22,0,0,0,0
2020-01-23,0,0,0,0
2020-01-24,0,0,0,0
2020-01-25,0,0,0,0
2020-01-26,0,0,0,0
2020-01-27,0,0,0,0
2020-01-28,0,0,0,0
2020-01-29,0,0,0,0
2020-01-30,0,0,0,0
2020-01-31,0,0,0,0
2020-02-01,0,0,0,0
2020-02-02,0,0,0,0
2020-02-03,0,0,0,0
2020-02-04,0,0,0,0
2020-02-05,0,0,0,0
2020-02-06,0,0,0,0
2020-02-07,0,0,0,0
2020-02-08,0,0,0,0
2020-02-09,0,0,0,0
2020-02-10,0,0,0,0
2020-02-11,0,0,0,0
2020-02-12,0,0,0,0
2020-02-13,0,0,0,0
2020-02-14,0,0,0,0
2020-02-15,0,0,0,0
2020-02-16,0,0,0,0
2020-02-17,0,0,0,0
2020-02-18,0,0,0,0
2020-02-19,0,0,0,0
2020-02-20,0,0,0,0
2020-02-21,0,0,0,0
2020-02-22,0,0,0,0
2020-02-23,0,0,0,0
2020-02-24,1,1,0,1
2020-02-25,1,1,0,1
2020-02-26,5,5,0,5
2020-02-27,7,7,0,7
2020-02-28,7,7,0,7
2020-02-29,13,13,0,13
2020-03-01,19,19,0,19
2020-03-02,26,26,0,26
2020-03-03,32,32,0,32
2020-03-04,35,33,2,33
2020-03-05,35,33,2,33
2020-03-06,40,37,3,37
2020-03-07,54,50,4,50
2020-03-08,60,54,6,54
2020-03-09,60,54,6,51
2020-03-10,71,64,7,61
2020-03-11,71,64,7,49
2020-03-12,71,63,8,48
2020-03-13,101,92,9,68
2020-03-14,110,100,10,74
2020-03-15,116,106,10,80
2020-03-16,124,114,10,88
2020-03-17,154,143,11,111
2020-03-18,164,152,12,109
2020-03-19,192,179,13,136
2020-03-20,208,191,17,142
2020-03-21,214,197,17,146
2020-03-22,233,213,20,156
2020-03-23,266,243,23,186
2020-03-24,316,289,27,214
2020-03-25,346,317,29,214
2020-03-26,382,346,36,241
2020-03-27,458,418,40,296
2020-03-28,506,464,42,333
2020-03-29,547,505,42,362
2020-03-30,630,584,46,432
2020-03-31,694,644,50,474
2020-04-01,728,676,52,494
2020-04-02,772,718,54,516
2020-04-03,820,766,54,540
