date,confirmed,recovered,deaths,active
2020-01-22,0,0,0,0
2020-01-23,0,0,0,0
2020-01-24,0,0,0,0
2020-01-25,0,0,0,0
2020-01-26,0,0,0,0
2020-01-27,0,0,0,0
2020-01-28,0,0,0,0
2020-01-29,0,0,0,0
2020-01-30,0,0,0,0
2020-01-31,0,0,0,0
2020-02-01,0,0,0,0
2020-02-02,0,0,0,0
2020-02-03,0,0,0,0
2020-02-04,0,0,0,0
2020-02-05,0,0,0,0
2020-02-06,0,0,0,0
2020-02-07,0,0,0,0
2020-02-08,0,0,0,0
2020-02-09,0,0,0,0
2020-02-10,0,0,0,0
2020-02-11,0,0,0,0
2020-02-12,0,0,0,0
2020-02-13,0,0,0,0
2020-02-14,0,0,0,0
2020-02-15,0,0,0,0
2020-02-16,0,0,0,0
2020-02-17,0,0,0,0
2020-02-18,0,0,0,0
2020-02-19,0,0,0,0
2020-02-20,0,0,0,0
2020-02-21,1,1,0,1
2020-02-22,1,1,0,1
2020-02-23,1,1,0,1
2020-02-24,1,1,0,1
2020-02-25,1,1,0,1
2020-02-26,2,2,0,2
2020-02-27,3,3,0,3
2020-02-28,6,6,0,6
2020-02-29,6,6,0,6
2020-03-01,7,7,0,7
2020-03-02,12,12,0,12
2020-03-03,15,15,0,15
2020-03-04,15,15,0,15
2020-03-05,21,21,0,21
2020-03-06,37,37,0,37
2020-03-07,47,47,0,47
2020-03-08,56,56,0,56
2020-03-09,60,60,0,60
2020-03-10,88,88,0,88
2020-03-11,60,60,0,60
2020-03-12,81,81,0,81
2020-03-13,112,112,0,111
2020-03-14,138,138,0,137
2020-03-15,177,177,0,176
2020-03-16,251,251,0,250
2020-03-17,295,295,0,292
2020-03-18,371,371,0,365
2020-03-19,386,386,0,375
2020-03-20,628,627,1,614
2020-03-21,843,842,1,828
2020-03-22,1080,1079,1,1060
2020-03-23,1249,1248,1,1226
2020-03-24,1351,1347,4,1316
2020-03-25,2468,2463,5,2426
2020-03-26,2988,2978,10,2929
2020-03-27,3421,3409,12,3340
2020-03-28,3901,3888,13,3804
2020-03-29,4433,4417,16,4312
2020-03-30,4979,4962,17,4815
2020-03-31,5717,5696,21,5486
2020-04-01,6413,6384,29,5889
