date,confirmed,recovered,deaths,active
2020-01-22,1,1,0,1
2020-01-23,1,1,0,1
2020-01-24,2,2,0,2
2020-01-25,2,2,0,2
2020-01-26,3,3,0,3
2020-01-27,4,4,0,4
2020-01-28,4,4,0,4
2020-01-29,4,4,0,4
2020-01-30,4,4,0,4
2020-01-31,11,11,0,11
2020-02-01,12,12,0,12
2020-02-02,15,15,0,15
2020-02-03,15,15,0,15
2020-02-04,16,16,0,16
2020-02-05,19,19,0,19
2020-02-06,23,23,0,23
2020-02-07,24,24,0,23
2020-02-08,24,24,0,23
2020-02-09,25,25,0,22
2020-02-10,27,27,0,24
2020-02-11,28,28,0,25
2020-02-12,28,28,0,21
2020-02-13,28,28,0,21
2020-02-14,28,28,0,21
2020-02-15,28,28,0,19
2020-02-16,29,29,0,20
2020-02-17,30,30,0,20
2020-02-18,31,31,0,19
2020-02-19,31,31,0,19
2020-02-20,104,103,1,87
2020-02-21,204,202,2,186
2020-02-22,433,431,2,415
2020-02-23,602,596,6,578
2020-02-24,833,825,8,807
2020-02-25,977,967,10,945
2020-02-26,1261,1249,12,1227
2020-02-27,1766,1753,13,1731
2020-02-28,2337,2324,13,2302
2020-02-29,3150,3134,16,3107
2020-03-01,3736,3719,17,3689
2020-03-02,4335,4307,28,4277
2020-03-03,5186,5158,28,5128
2020-03-04,5621,5586,35,5545
2020-03-05,6088,6053,35,6012
2020-03-06,6593,6551,42,6416
2020-03-07,7041,6997,44,6862
2020-03-08,7314,7264,50,7146
2020-03-09,7478,7425,53,7307
2020-03-10,7513,7459,54,7212
2020-03-11,7755,7695,60,7407
2020-03-12,7869,7803,66,7470
2020-03-13,7979,7913,66,7403
2020-03-14,8086,8014,72,7504
2020-03-15,8162,8087,75,7577
2020-03-16,8236,8161,75,7024
2020-03-17,8320,8239,81,6832
2020-03-18,8413,8329,84,6789
2020-03-19,8565,8474,91,6934
2020-03-20,8652,8558,94,7018
2020-03-21,8799,8697,102,7157
2020-03-22,8961,8850,111,5941
2020-03-23,8961,8850,111,5941
2020-03-24,9037,8917,120,5410
2020-03-25,9137,9011,126,5281
2020-03-26,9241,9110,131,4966
2020-03-27,9332,9193,139,4665
2020-03-28,9478,9334,144,4523
2020-03-29,9583,9431,152,4398
2020-03-30,9661,9503,158,4275
2020-03-31,9786,9624,162,4216
2020-04-01,9887,9722,165,4155
2020-04-02,9976,9807,169,3979
2020-04-03,10062,9888,174,3867
2020-04-04,10156,9979,177,3654
2020-04-05,10237,10054,183,3591
2020-04-06,10284,10098,186,3500
2020-04-07,10331,10139,192,3445
2020-04-08,10384,10184,200,3408
2020-04-09,10423,10219,204,3246
2020-04-10,10450,10242,208,3125
2020-04-11,10480,10269,211,3026
2020-04-12,10512,10298,214,2930
2020-04-13,10537,10320,217,2873
2020-04-14,10564,10342,222,2808
2020-04-15,10591,10366,225,2750
2020-04-16,10613,10384,229,2627
2020-04-17,10635,10405,230,2576
2020-04-18,10653,10421,232,2484
2020-04-19,10661,10427,234,2385
2020-04-20,10674,10438,236,2324
2020-04-21,10683,10446,237,2233
2020-04-22,10694,10456,238,2179
2020-04-23,10708,10468,240,1967
2020-04-24,10718,10478,240,1843
2020-04-25,10728,10486,242,1769
2020-04-26,10738,10495,243,1731
2020-04-27,10752,10508,244,1654
2020-04-28,10761,10515,246,1593
2020-04-29,10765,10518,247,1459
2020-04-30,10774,10526,248,1454
2020-05-01,10780,10530,250,1407
2020-05-02,10793,10543,250,1360
2020-05-03,10801,10549,252,1332
2020-05-04,10804,10550,254,1267
2020-05-05,10806,10551,255,1218
2020-05-06,10810,10554,256,1135
2020-05-07,10822,10566,256,1082
2020-05-08,10840,10584,256,1016
2020-05-09,10874,10618,256,1008
2020-05-10,10909,10653,256,1021
2020-05-11,10936,10678,258,1008
2020-05-12,10962,10703,259,1008
2020-05-13,10991,10731,260,969
2020-05-14,11018,10758,260,937
2020-05-15,11037,10775,262,924
2020-05-16,11050,10788,262,900
2020-05-17,11065,10802,263,898
2020-05-18,11078,10815,263,877
2020-05-19,11110,10847,263,781
2020-05-20,11122,10858,264,723
2020-05-21,11142,10878,264,716
2020-05-22,11165,10899,266,705
2020-05-23,11190,10924,266,711
2020-05-24,11206,10939,267,713
2020-05-25,11225,10956,269,681
2020-05-26,11265,10996,269,701
2020-05-27,11344,11075,269,735
2020-05-28,11402,11133,269,770
2020-05-29,11441,11172,269,774
2020-05-30,11468,11198,270,793
2020-05-31,11503,11232,271,810
2020-06-01,11541,11269,272,823
2020-06-02,11590,11317,273,850
2020-06-03,11629,11356,273,857
2020-06-04,11668,11395,273,889
2020-06-05,11719,11446,273,915
2020-06-06,11776,11503,273,951
2020-06-07,11814,11541,273,978
2020-06-08,11852,11578,274,989
2020-06-09,11902,11626,276,1015
2020-06-10,11947,11671,276,1017
2020-06-11,12003,11726,277,1057
2020-06-12,12051,11774,277,1083
2020-06-13,12085,11808,277,1090
2020-06-14,12121,11844,277,1114
2020-06-15,12155,11877,278,1117
2020-06-16,12198,11919,279,1145
2020-06-17,12257,11977,280,1177
2020-06-18,12306,12026,280,1191
2020-06-19,12373,12093,280,1237
2020-06-20,12421,12141,280,1273
2020-06-21,12438,12158,280,1277
2020-06-22,12484,12203,281,1295
2020-06-23,12535,12254,281,1324
2020-06-24,12563,12281,282,1307
2020-06-25,12602,12320,282,1148
2020-06-26,12653,12371,282,1054
2020-06-27,12715,12433,282,1069
2020-06-28,12757,12475,282,1046
2020-06-29,12800,12518,282,981
2020-06-30,12850,12568,282,955
2020-07-01,12904,12622,282,938
2020-07-02,12967,12685,282,926
2020-07-03,13030,12747,283,936
2020-07-04,13091,12808,283,976
2020-07-05,13137,12853,284,1005
2020-07-06,13181,12896,285,982
2020-07-07,13244,12959,285,989
2020-07-08,13293,13006,287,987
2020-07-09,13338,13050,288,985
2020-07-10,13373,13085,288,941
2020-07-11,13417,13128,289,950
2020-07-12,13479,13190,289,986
2020-07-13,13512,13223,289,941
2020-07-14,13551,13262,289,914
2020-07-15,13612,13321,291,925
2020-07-16,13672,13379,293,919
2020-07-17,13711,13417,294,898
2020-07-18,13745,13450,295,894
2020-07-19,13771,13475,296,903
2020-07-20,13816,13520,296,877
2020-07-21,13879,13582,297,884
2020-07-22,13938,13641,297,883
2020-07-23,13979,13681,298,864
2020-07-24,14092,13794,298,928
2020-07-25,14150,13852,298,962
2020-07-26,14175,13876,299,971
2020-07-27,14203,13903,300,896
2020-07-28,14251,13951,300,882
2020-07-29,14269,13969,300,837
2020-07-30,14305,14004,301,821
2020-07-31,14336,14035,301,802
2020-08-01,14366,14065,301,806
2020-08-02,14389,14088,301,808
2020-08-03,14423,14122,301,770
2020-08-04,14456,14154,302,748
2020-08-05,14499,14197,302,696
2020-08-06,14519,14216,303,673
2020-08-07,14562,14258,304,629
2020-08-08,14598,14293,305,651
2020-08-09,14626,14321,305,663
2020-08-10,14660,14355,305,626
2020-08-11,14714,14409,305,623
2020-08-12,14770,14465,305,648
2020-08-13,14873,14568,305,705
2020-08-14,15039,14734,305,833
2020-08-15,15318,15013,305,1103
2020-08-16,15515,15210,305,1293
2020-08-17,15761,15455,306,1521
2020-08-18,16058,15752,306,1746
2020-08-19,16346,16039,307,1976
2020-08-20,16670,16361,309,2241
2020-08-21,17002,16693,309,2524
2020-08-22,17399,17090,309,2890
2020-08-23,17665,17356,309,3137
2020-08-24,17945,17635,310,3349
2020-08-25,18265,17953,312,3585
2020-08-26,18706,18393,313,3932
2020-08-27,19077,18761,316,4210
2020-08-28,19400,19079,321,4314
2020-08-29,19699,19376,323,4473
2020-08-30,19947,19623,324,4650
2020-08-31,20182,19858,324,4660
2020-09-01,20449,20123,326,4767
2020-09-02,20644,20315,329,4786
2020-09-03,20842,20511,331,4728
2020-09-04,21010,20677,333,4668
2020-09-05,21177,20843,334,4697
2020-09-06,21296,20960,336,4663
2020-09-07,21432,21091,341,4455
2020-09-08,21588,21244,344,4221
2020-09-09,21743,21397,346,4037
2020-09-10,21919,21569,350,3953
2020-09-11,22055,21700,355,3671
2020-09-12,22176,21818,358,3592
2020-09-13,22285,21922,363,3433
2020-09-14,22391,22024,367,3146
2020-09-15,22504,22137,367,2827
2020-09-16,22657,22285,372,2742
2020-09-17,22783,22406,377,2635
2020-09-18,22893,22515,378,2545
2020-09-19,22975,22592,383,2434
2020-09-20,23045,22660,385,2412
2020-09-21,23106,22718,388,2277
2020-09-22,23216,22828,388,2178
2020-09-23,23341,22948,393,2116
2020-09-24,23455,23060,395,2082
2020-09-25,23516,23117,399,1951
2020-09-26,23611,23210,401,1962
2020-09-27,23661,23255,406,1963
2020-09-28,23699,23292,407,1822
2020-09-29,23812,23399,413,1809
2020-09-30,23889,23474,415,1808
2020-10-01,23952,23536,416,1803
2020-10-02,24027,23607,420,1820
2020-10-03,24091,23670,421,1825
2020-10-04,24164,23742,422,1856
2020-10-05,24239,23817,422,1734
2020-10-06,24353,23928,425,1594
2020-10-07,24422,23995,427,1532
2020-10-08,24476,24048,428,1479
2020-10-09,24548,24118,430,1494
2020-10-10,24606,24174,432,1481
2020-10-11,24703,24270,433,1541
2020-10-12,24805,24371,434,1508
2020-10-13,24889,24451,438,1421
2020-10-14,24988,24549,439,1467
2020-10-15,25035,24594,441,1414
2020-10-16,25108,24665,443,1407
2020-10-17,25199,24755,444,1443
2020-10-18,25275,24831,444,1463
2020-10-19,25333,24886,447,1420
2020-10-20,25424,24974,450,1390
2020-10-21,25543,25090,453,1443
2020-10-22,25698,25243,455,1526
2020-10-23,25775,25318,457,1484
2020-10-24,25836,25379,457,1510
2020-10-25,25955,25498,457,1593
2020-10-26,26043,25583,460,1602
2020-10-27,26146,25685,461,1612
2020-10-28,26271,25809,462,1641
2020-10-29,26385,25922,463,1695
2020-10-30,26511,26047,464,1736
2020-10-31,26635,26169,466,1812
2020-11-01,26732,26264,468,1869
2020-11-02,26807,26335,472,1825
2020-11-03,26925,26451,474,1835
2020-11-04,27050,26575,475,1840
2020-11-05,27195,26719,476,1898
2020-11-06,27284,26807,477,1897
2020-11-07,27427,26949,478,1981
2020-11-08,27553,27073,480,2044
2020-11-09,27653,27168,485,2008
2020-11-10,27799,27312,487,2046
2020-11-11,27942,27455,487,2051
2020-11-12,28133,27645,488,2108
2020-11-13,28338,27846,492,2210
2020-11-14,28546,28053,493,2362
2020-11-15,28769,28275,494,2516
2020-11-16,28998,28504,494,2644
2020-11-17,29311,28815,496,2842
2020-11-18,29654,29156,498,3058
2020-11-19,30017,29516,501,3253
2020-11-20,30403,29900,503,3535
2020-11-21,30733,30228,505,3762
2020-11-22,31004,30495,509,3956
2020-11-23,31353,30843,510,4121
2020-11-24,31735,31222,513,4397
2020-11-25,32318,31803,515,4853
2020-11-26,32887,32371,516,5268
2020-11-27,33375,32853,522,5504
2020-11-28,33824,33301,523,5759
2020-11-29,34201,33675,526,6022
2020-11-30,34652,34126,526,6241
2020-12-01,35163,34637,526,6572
2020-12-02,35703,35174,529,6822
2020-12-03,36332,35796,536,7185
2020-12-04,36915,36375,540,7458
2020-12-05,37546,37001,545,7873
2020-12-06,38161,37612,549,8311
2020-12-07,38755,38203,552,8553
2020-12-08,39432,38876,556,8699
2020-12-09,40098,39534,564,8897
2020-12-10,40786,40214,572,9057
2020-12-11,41736,41158,578,9665
2020-12-12,42766,42186,580,10372
2020-12-13,43484,42897,587,10795
2020-12-14,44364,43764,600,11205
2020-12-15,45442,44830,612,11883
2020-12-16,46453,45819,634,12209
2020-12-17,47515,46870,645,12888
2020-12-18,48570,47911,659,13577
2020-12-19,49665,48991,674,14269
2020-12-20,50591,49893,698,14738
2020-12-21,51460,50738,722,14810
2020-12-22,52550,51811,739,15085
2020-12-23,53533,52777,756,15352
2020-12-24,54770,53997,773,15949
2020-12-25,55902,55109,793,16577
2020-12-26,56872,56064,808,17024
2020-12-27,57680,56861,819,17593
2020-12-28,58725,57866,859,17163
2020-12-29,59773,58894,879,17459
2020-12-30,60740,59840,900,17569
2020-12-31,61769,60852,917,17899
2021-01-01,62593,61651,942,18073
2021-01-02,63244,62282,962,17775
2021-01-03,64264,63283,981,18043
2021-01-04,64979,63972,1007,17800
2021-01-05,65818,64791,1027,17796
2021-01-06,66686,65640,1046,17991
2021-01-07,67358,66277,1081,17908
2021-01-08,67999,66899,1100,17575
2021-01-09,68664,67539,1125,17130
2021-01-10,69114,67974,1140,15422
2021-01-11,69651,68486,1165,14917
2021-01-12,70212,69027,1185,14391
2021-01-13,70728,69533,1195,13761
2021-01-14,71241,70024,1217,13488
2021-01-15,71820,70584,1236,13030
2021-01-16,72340,71091,1249,12838
2021-01-17,72729,71465,1264,12742
2021-01-18,73115,71832,1283,12364
2021-01-19,73518,72218,1300,12038
2021-01-20,73918,72602,1316,11756
2021-01-21,74262,72934,1328,11519
2021-01-22,74692,73355,1337,11311
2021-01-23,75084,73735,1349,11205
2021-01-24,75521,74161,1360,11205
2021-01-25,75875,74504,1371,9711
2021-01-26,76429,75051,1378,9573
2021-01-27,76926,75540,1386,9524
2021-01-28,77395,75996,1399,9493
2021-01-29,77850,76436,1414,9315
2021-01-30,78205,76785,1420,8907
2021-01-31,78508,77083,1425,8774
2021-02-01,78844,77409,1435,8634
2021-02-02,79311,77870,1441,8571
2021-02-03,79762,78314,1448,8610
2021-02-04,80131,78672,1459,8555
2021-02-05,80524,79060,1464,8555
2021-02-06,80896,79425,1471,8560
2021-02-07,81185,79711,1474,8493
2021-02-08,81487,80005,1482,8329
2021-02-09,81930,80444,1486,8218
2021-02-10,82434,80938,1496,8300
2021-02-11,82837,81330,1507,8394
2021-02-12,83199,81685,1514,8458
2021-02-13,83525,82003,1522,8444
2021-02-14,83869,82342,1527,8548
2021-02-15,84325,82791,1534,8240
2021-02-16,84946,83408,1538,8048
2021-02-17,85567,84023,1544,8127
2021-02-18,86128,84578,1550,8065
2021-02-19,86574,85021,1553,7938
2021-02-20,86992,85435,1557,7919
2021-02-21,87324,85762,1562,7875
2021-02-22,87681,86108,1573,7714
2021-02-23,88120,86544,1576,7494
2021-02-24,88516,86935,1581,7448
2021-02-25,88922,87337,1585,7457
2021-02-26,89321,87726,1595,7393
2021-02-27,89676,88073,1603,7376
2021-02-28,90031,88426,1605,7356
2021-03-01,90372,88766,1606,7428
2021-03-02,90816,89204,1612,7504
2021-03-03,91240,89621,1619,7459
2021-03-04,91638,90011,1627,7451
2021-03-05,92055,90423,1632,7510
2021-03-06,92471,90837,1634,7617
2021-03-07,92817,91175,1642,7701
2021-03-08,93263,91618,1645,7718
2021-03-09,93733,92085,1648,7773
2021-03-10,94198,92546,1652,7871
2021-03-11,94686,93024,1662,7281
2021-03-12,95176,93509,1667,6884
2021-03-13,95635,93966,1669,6558
2021-03-14,96017,94342,1675,6588
2021-03-15,96380,94702,1678,6447
2021-03-16,96849,95163,1686,6349
2021-03-17,97294,95606,1688,6428
2021-03-18,97757,96067,1690,6544
2021-03-19,98209,96516,1693,6567
2021-03-20,98665,96969,1696,6641
2021-03-21,99075,97378,1697,6767
2021-03-22,99421,97717,1704,6638
2021-03-23,99846,98139,1707,6579
2021-03-24,100276,98567,1709,6499
