date,confirmed,recovered,deaths,active
2020-01-22,0,0,0,0
2020-01-23,0,0,0,0
2020-01-24,0,0,0,0
2020-01-25,0,0,0,0
2020-01-26,0,0,0,0
2020-01-27,0,0,0,0
2020-01-28,0,0,0,0
2020-01-29,0,0,0,0
2020-01-30,0,0,0,0
2020-01-31,0,0,0,0
2020-02-01,0,0,0,0
2020-02-02,0,0,0,0
2020-02-03,0,0,0,0
2020-02-04,0,0,0,0
2020-02-05,0,0,0,0
2020-02-06,0,0,0,0
2020-02-07,0,0,0,0
2020-02-08,0,0,0,0
2020-02-09,0,0,0,0
2020-02-10,0,0,0,0
2020-02-11,0,0,0,0
2020-02-12,0,0,0,0
2020-02-13,0,0,0,0
2020-02-14,0,0,0,0
2020-02-15,0,0,0,0
2020-02-16,0,0,0,0
2020-02-17,0,0,0,0
2020-02-18,0,0,0,0
2020-02-19,0,0,0,0
2020-02-20,0,0,0,0
2020-02-21,0,0,0,0
2020-02-22,0,0,0,0
2020-02-23,0,0,0,0
2020-02-24,1,1,0,1
2020-02-25,11,11,0,11
2020-02-26,26,26,0,26
2020-02-27,43,43,0,43
2020-02-28,45,45,0,45
2020-02-29,45,45,0,45
2020-03-01,45,45,0,45
2020-03-02,56,56,0,56
2020-03-03,56,56,0,56
2020-03-04,56,56,0,56
2020-03-05,58,58,0,58
2020-03-06,58,58,0,58
2020-03-07,61,61,0,61
2020-03-08,64,64,0,63
2020-03-09,64,64,0,63
2020-03-10,69,69,0,68
2020-03-11,72,72,0,70
2020-03-12,80,80,0,75
2020-03-13,80,80,0,75
2020-03-14,104,104,0,99
2020-03-15,112,112,0,107
2020-03-16,123,123,0,114
2020-03-17,130,130,0,121
2020-03-18,142,142,0,127
2020-03-19,148,148,0,130
2020-03-20,159,159,0,141
2020-03-21,176,176,0,149
2020-03-22,188,188,0,161
2020-03-23,189,189,0,162
2020-03-24,191,191,0,152
2020-03-25,195,195,0,152
2020-03-26,208,208,0,159
2020-03-27,225,225,0,168
2020-03-28,235,235,0,171
2020-03-29,255,255,0,188
2020-03-30,266,266,0,194
2020-03-31,289,289,0,216
2020-04-01,317,317,0,237
2020-04-02,342,342,0,261
2020-04-03,417,417,0,335
