date,confirmed,recovered,deaths,active
2020-01-22,0,0,0,0
2020-01-23,0,0,0,0
2020-01-24,0,0,0,0
2020-01-25,4,4,0,4
2020-01-26,4,4,0,4
2020-01-27,4,4,0,4
2020-01-28,4,4,0,4
2020-01-29,7,7,0,7
2020-01-30,8,8,0,8
2020-01-31,8,8,0,8
2020-02-01,8,8,0,8
2020-02-02,8,8,0,8
2020-02-03,8,8,0,8
2020-02-04,10,10,0,10
2020-02-05,12,12,0,11
2020-02-06,14,14,0,13
2020-02-07,15,15,0,14
2020-02-08,16,16,0,14
2020-02-09,17,17,0,14
2020-02-10,18,18,0,15
2020-02-11,18,18,0,15
2020-02-12,18,18,0,15
2020-02-13,18,18,0,15
2020-02-14,19,19,0,12
2020-02-15,22,22,0,14
2020-02-16,22,22,0,14
2020-02-17,22,22,0,11
2020-02-18,22,22,0,9
2020-02-19,22,22,0,5
2020-02-20,22,22,0,5
2020-02-21,22,22,0,5
2020-02-22,22,22,0,4
2020-02-23,22,22,0,4
2020-02-24,22,22,0,2
2020-02-25,22,22,0,2
2020-02-26,22,22,0,2
2020-02-27,23,23,0,1
2020-02-28,25,25,0,3
2020-02-29,29,29,0,7
2020-03-01,29,29,0,7
2020-03-02,29,29,0,7
2020-03-03,36,36,0,14
2020-03-04,50,50,0,27
2020-03-05,55,55,0,32
2020-03-06,83,83,0,60
2020-03-07,93,93,0,69
2020-03-08,99,99,0,74
2020-03-09,117,117,0,91
2020-03-10,129,129,0,103
2020-03-11,149,149,0,122
2020-03-12,158,158,0,125
2020-03-13,197,197,0,164
2020-03-14,238,238,0,201
2020-03-15,428,428,0,386
2020-03-16,553,553,0,511
2020-03-17,673,671,2,622
2020-03-18,790,788,2,728
2020-03-19,900,898,2,823
2020-03-20,1030,1027,3,940
2020-03-21,1183,1176,7,1062
2020-03-22,1306,1295,11,1156
2020-03-23,1518,1502,16,1343
2020-03-24,1624,1606,18,1423
2020-03-25,1796,1775,21,1576
2020-03-26,2031,2005,26,1790
2020-03-27,2161,2133,28,1874
2020-03-28,2320,2286,34,1966
2020-03-29,2470,2431,39,2043
2020-03-30,2626,2583,43,2105
2020-03-31,2766,2718,48,2182
2020-04-01,2908,2858,50,2214
