date,confirmed,recovered,deaths,active
2020-01-22,0,0,0,0
2020-01-23,0,0,0,0
2020-01-24,0,0,0,0
2020-01-25,0,0,0,0
2020-01-26,0,0,0,0
2020-01-27,0,0,0,0
2020-01-28,0,0,0,0
2020-01-29,0,0,0,0
2020-01-30,0,0,0,0
2020-01-31,0,0,0,0
2020-02-01,0,0,0,0
2020-02-02,0,0,0,0
2020-02-03,0,0,0,0
2020-02-04,0,0,0,0
2020-02-05,0,0,0,0
2020-02-06,0,0,0,0
2020-02-07,0,0,0,0
2020-02-08,0,0,0,0
2020-02-09,0,0,0,0
2020-02-10,0,0,0,0
2020-02-11,0,0,0,0
2020-02-12,0,0,0,0
2020-02-13,0,0,0,0
2020-02-14,0,0,0,0
2020-02-15,0,0,0,0
2020-02-16,0,0,0,0
2020-02-17,0,0,0,0
2020-02-18,0,0,0,0
2020-02-19,0,0,0,0
2020-02-20,0,0,0,0
2020-02-21,0,0,0,0
2020-02-22,0,0,0,0
2020-02-23,0,0,0,0
2020-02-24,0,0,0,0
2020-02-25,0,0,0,0
2020-02-26,0,0,0,0
2020-02-27,0,0,0,0
2020-02-28,0,0,0,0
2020-02-29,0,0,0,0
2020-03-01,0,0,0,0
2020-03-02,1,1,0,1
2020-03-03,1,1,0,1
2020-03-04,1,1,0,1
2020-03-05,2,2,0,2
2020-03-06,2,2,0,2
2020-03-07,2,2,0,2
2020-03-08,2,2,0,2
2020-03-09,2,2,0,2
2020-03-10,3,2,1,2
2020-03-11,5,4,1,4
2020-03-12,6,5,1,5
2020-03-13,7,6,1,5
2020-03-14,17,16,1,15
2020-03-15,28,27,1,26
2020-03-16,29,28,1,27
2020-03-17,38,36,2,35
2020-03-18,49,47,2,46
2020-03-19,63,61,2,60
2020-03-20,77,74,3,73
2020-03-21,96,93,3,90
2020-03-22,115,111,4,108
2020-03-23,143,139,4,136
2020-03-24,170,165,5,159
2020-03-25,225,219,6,212
2020-03-26,275,264,11,256
2020-03-27,345,322,23,311
2020-03-28,402,377,25,366
2020-03-29,479,453,26,440
2020-03-30,556,523,33,508
2020-03-31,617,581,36,557
2020-04-01,654,615,39,586
2020-04-02,708,664,44,633
2020-04-03,791,743,48,686
