date,confirmed,recovered,deaths,active
2020-01-22,0,0,0,0
2020-01-23,0,0,0,0
2020-01-24,0,0,0,0
2020-01-25,1,1,0,1
2020-01-26,1,1,0,1
2020-01-27,1,1,0,1
2020-01-28,1,1,0,1
2020-01-29,1,1,0,1
2020-01-30,1,1,0,1
2020-01-31,1,1,0,1
2020-02-01,1,1,0,1
2020-02-02,1,1,0,1
2020-02-03,1,1,0,1
2020-02-04,1,1,0,1
2020-02-05,1,1,0,1
2020-02-06,1,1,0,1
2020-02-07,1,1,0,1
2020-02-08,1,1,0,1
2020-02-09,1,1,0,1
2020-02-10,1,1,0,1
2020-02-11,1,1,0,1
2020-02-12,1,1,0,0
2020-02-13,1,1,0,0
2020-02-14,1,1,0,0
2020-02-15,1,1,0,0
2020-02-16,1,1,0,0
2020-02-17,1,1,0,0
2020-02-18,1,1,0,0
2020-02-19,1,1,0,0
2020-02-20,1,1,0,0
2020-02-21,1,1,0,0
2020-02-22,1,1,0,0
2020-02-23,1,1,0,0
2020-02-24,1,1,0,0
2020-02-25,1,1,0,0
2020-02-26,1,1,0,0
2020-02-27,1,1,0,0
2020-02-28,1,1,0,0
2020-02-29,1,1,0,0
2020-03-01,1,1,0,0
2020-03-02,1,1,0,0
2020-03-03,1,1,0,0
2020-03-04,1,1,0,0
2020-03-05,1,1,0,0
2020-03-06,1,1,0,0
2020-03-07,1,1,0,0
2020-03-08,1,1,0,0
2020-03-09,1,1,0,0
2020-03-10,1,1,0,0
2020-03-11,1,1,0,0
2020-03-12,1,1,0,0
2020-03-13,1,1,0,0
2020-03-14,1,1,0,0
2020-03-15,1,1,0,0
2020-03-16,1,1,0,0
2020-03-17,1,1,0,0
2020-03-18,1,1,0,0
2020-03-19,1,1,0,0
2020-03-20,1,1,0,0
2020-03-21,1,1,0,0
2020-03-22,1,1,0,0
2020-03-23,2,2,0,1
2020-03-24,2,2,0,1
2020-03-25,3,3,0,2
2020-03-26,3,3,0,2
2020-03-27,4,4,0,3
2020-03-28,5,5,0,4
2020-03-29,5,5,0,4
2020-03-30,5,5,0,4
2020-03-31,5,5,0,4
2020-04-01,5,5,0,4
2020-04-02,6,6,0,5
2020-04-03,6,6,0,5
