date,confirmed,recovered,deaths,active
2020-01-22,0,0,0,0
2020-01-23,0,0,0,0
2020-01-24,0,0,0,0
2020-01-25,0,0,0,0
2020-01-26,0,0,0,0
2020-01-27,0,0,0,0
2020-01-28,0,0,0,0
2020-01-29,0,0,0,0
2020-01-30,0,0,0,0
2020-01-31,0,0,0,0
2020-02-01,0,0,0,0
2020-02-02,0,0,0,0
2020-02-03,0,0,0,0
2020-02-04,0,0,0,0
2020-02-05,0,0,0,0
2020-02-06,0,0,0,0
2020-02-07,0,0,0,0
2020-02-08,0,0,0,0
2020-02-09,0,0,0,0
2020-02-10,0,0,0,0
2020-02-11,0,0,0,0
2020-02-12,0,0,0,0
2020-02-13,0,0,0,0
2020-02-14,0,0,0,0
2020-02-15,0,0,0,0
2020-02-16,0,0,0,0
2020-02-17,0,0,0,0
2020-02-18,0,0,0,0
2020-02-19,0,0,0,0
2020-02-20,0,0,0,0
2020-02-21,0,0,0,0
2020-02-22,0,0,0,0
2020-02-23,0,0,0,0
2020-02-24,0,0,0,0
2020-02-25,0,0,0,0
2020-02-26,0,0,0,0
2020-02-27,1,1,0,1
2020-02-28,6,6,0,6
2020-02-29,10,10,0,10
2020-03-01,18,18,0,18
2020-03-02,24,24,0,24
2020-03-03,38,38,0,38
2020-03-04,82,82,0,82
2020-03-05,128,128,0,128
2020-03-06,188,187,1,187
2020-03-07,265,264,1,264
2020-03-08,321,318,3,318
2020-03-09,382,379,3,379
2020-03-10,503,499,4,499
2020-03-11,603,598,5,598
2020-03-12,804,799,5,799
2020-03-13,961,951,10,951
2020-03-14,1138,1126,12,1126
2020-03-15,1416,1396,20,1396
2020-03-16,1708,1684,24,1684
2020-03-17,2057,2014,43,2014
2020-03-18,2467,2409,58,2409
2020-03-19,3001,2924,77,2924
2020-03-20,3640,3533,107,3533
2020-03-21,4213,4076,137,4076
2020-03-22,4762,4582,180,4582
2020-03-23,5575,5361,214,5361
2020-03-24,6432,6155,277,6154
2020-03-25,7457,7100,357,7099
2020-03-26,8640,8205,435,8202
2020-03-27,9806,9259,547,9256
2020-03-28,10923,10283,640,10280
2020-03-29,11814,11042,772,11039
2020-03-30,12662,11797,865,11794
2020-03-31,13686,12646,1040,12643
