date,confirmed,recovered,deaths,active
2020-01-22,0,0,0,0
2020-01-23,0,0,0,0
2020-01-24,0,0,0,0
2020-01-25,0,0,0,0
2020-01-26,0,0,0,0
2020-01-27,0,0,0,0
2020-01-28,0,0,0,0
2020-01-29,0,0,0,0
2020-01-30,0,0,0,0
2020-01-31,0,0,0,0
2020-02-01,0,0,0,0
2020-02-02,0,0,0,0
2020-02-03,0,0,0,0
2020-02-04,0,0,0,0
2020-02-05,0,0,0,0
2020-02-06,0,0,0,0
2020-02-07,0,0,0,0
2020-02-08,0,0,0,0
2020-02-09,0,0,0,0
2020-02-10,0,0,0,0
2020-02-11,0,0,0,0
2020-02-12,0,0,0,0
2020-02-13,0,0,0,0
2020-02-14,0,0,0,0
2020-02-15,0,0,0,0
2020-02-16,0,0,0,0
2020-02-17,0,0,0,0
2020-02-18,0,0,0,0
2020-02-19,0,0,0,0
2020-02-20,0,0,0,0
2020-02-21,0,0,0,0
2020-02-22,0,0,0,0
2020-02-23,0,0,0,0
2020-02-24,0,0,0,0
2020-02-25,0,0,0,0
2020-02-26,0,0,0,0
2020-02-27,0,0,0,0
2020-02-28,1,1,0,1
2020-02-29,1,1,0,1
2020-03-01,1,1,0,1
2020-03-02,1,1,0,1
2020-03-03,1,1,0,1
2020-03-04,1,1,0,1
2020-03-05,1,1,0,1
2020-03-06,1,1,0,1
2020-03-07,1,1,0,1
2020-03-08,1,1,0,1
2020-03-09,2,2,0,2
2020-03-10,2,2,0,2
2020-03-11,2,2,0,2
2020-03-12,2,2,0,2
2020-03-13,2,2,0,2
2020-03-14,2,2,0,2
2020-03-15,2,2,0,2
2020-03-16,2,2,0,2
2020-03-17,3,3,0,3
2020-03-18,8,8,0,7
2020-03-19,8,8,0,7
2020-03-20,12,12,0,11
2020-03-21,22,22,0,21
2020-03-22,30,30,0,28
2020-03-23,40,39,1,37
2020-03-24,44,43,1,41
2020-03-25,51,50,1,48
2020-03-26,65,64,1,62
2020-03-27,70,69,1,66
2020-03-28,89,88,1,85
2020-03-29,111,110,1,107
2020-03-30,131,129,2,121
2020-03-31,135,133,2,125
2020-04-01,174,172,2,163
2020-04-02,184,182,2,162
2020-04-03,210,206,4,181
