date,confirmed,recovered,deaths,active
2020-01-22,0,0,0,0
2020-01-23,0,0,0,0
2020-01-24,0,0,0,0
2020-01-25,0,0,0,0
2020-01-26,0,0,0,0
2020-01-27,0,0,0,0
2020-01-28,0,0,0,0
2020-01-29,0,0,0,0
2020-01-30,0,0,0,0
2020-01-31,0,0,0,0
2020-02-01,0,0,0,0
2020-02-02,0,0,0,0
2020-02-03,0,0,0,0
2020-02-04,0,0,0,0
2020-02-05,0,0,0,0
2020-02-06,0,0,0,0
2020-02-07,0,0,0,0
2020-02-08,0,0,0,0
2020-02-09,0,0,0,0
2020-02-10,0,0,0,0
2020-02-11,0,0,0,0
2020-02-12,0,0,0,0
2020-02-13,0,0,0,0
2020-02-14,0,0,0,0
2020-02-15,0,0,0,0
2020-02-16,0,0,0,0
2020-02-17,0,0,0,0
2020-02-18,0,0,0,0
2020-02-19,0,0,0,0
2020-02-20,0,0,0,0
2020-02-21,0,0,0,0
2020-02-22,0,0,0,0
2020-02-23,0,0,0,0
2020-02-24,2,2,0,2
2020-02-25,2,2,0,2
2020-02-26,4,4,0,4
2020-02-27,4,4,0,4
2020-02-28,4,4,0,4
2020-02-29,6,6,0,5
2020-03-01,6,6,0,5
2020-03-02,6,6,0,5
2020-03-03,12,12,0,10
2020-03-04,15,15,0,13
2020-03-05,16,16,0,14
2020-03-06,16,16,0,14
2020-03-07,16,16,0,14
2020-03-08,16,16,0,14
2020-03-09,16,16,0,14
2020-03-10,18,18,0,9
2020-03-11,18,18,0,9
2020-03-12,18,18,0,9
2020-03-13,19,19,0,10
2020-03-14,19,19,0,10
2020-03-15,22,22,0,13
2020-03-16,22,22,0,13
2020-03-17,24,24,0,15
2020-03-18,39,39,0,27
2020-03-19,48,48,0,36
2020-03-20,48,48,0,36
2020-03-21,52,52,0,40
2020-03-22,55,55,0,38
2020-03-23,66,66,0,49
2020-03-24,84,84,0,67
2020-03-25,99,99,0,82
2020-03-26,109,109,0,86
2020-03-27,131,131,0,108
2020-03-28,152,152,0,129
2020-03-29,167,167,0,144
2020-03-30,179,179,0,150
2020-03-31,192,191,1,157
2020-04-01,210,209,1,175
2020-04-02,231,230,1,173
2020-04-03,252,251,1,194
