date,confirmed,recovered,deaths,active
2020-01-22,0,0,0,0
2020-01-23,0,0,0,0
2020-01-24,0,0,0,0
2020-01-25,0,0,0,0
2020-01-26,0,0,0,0
2020-01-27,0,0,0,0
2020-01-28,0,0,0,0
2020-01-29,0,0,0,0
2020-01-30,0,0,0,0
2020-01-31,0,0,0,0
2020-02-01,0,0,0,0
2020-02-02,0,0,0,0
2020-02-03,0,0,0,0
2020-02-04,0,0,0,0
2020-02-05,0,0,0,0
2020-02-06,0,0,0,0
2020-02-07,0,0,0,0
2020-02-08,0,0,0,0
2020-02-09,0,0,0,0
2020-02-10,0,0,0,0
2020-02-11,0,0,0,0
2020-02-12,0,0,0,0
2020-02-13,0,0,0,0
2020-02-14,0,0,0,0
2020-02-15,0,0,0,0
2020-02-16,0,0,0,0
2020-02-17,0,0,0,0
2020-02-18,0,0,0,0
2020-02-19,0,0,0,0
2020-02-20,0,0,0,0
2020-02-21,0,0,0,0
2020-02-22,0,0,0,0
2020-02-23,0,0,0,0
2020-02-24,0,0,0,0
2020-02-25,2,2,0,2
2020-02-26,2,2,0,2
2020-02-27,2,2,0,2
2020-02-28,4,4,0,4
2020-02-29,4,4,0,4
2020-03-01,4,4,0,4
2020-03-02,5,5,0,5
2020-03-03,5,5,0,5
2020-03-04,5,5,0,5
2020-03-05,6,6,0,6
2020-03-06,6,6,0,6
2020-03-07,6,6,0,5
2020-03-08,6,6,0,5
2020-03-09,16,16,0,15
2020-03-10,19,19,0,17
2020-03-11,20,20,0,18
2020-03-12,28,28,0,26
2020-03-13,31,31,0,29
2020-03-14,53,53,0,51
2020-03-15,136,136,0,134
2020-03-16,236,236,0,234
2020-03-17,299,299,0,297
2020-03-18,454,452,2,439
2020-03-19,501,498,3,485
2020-03-20,730,727,3,714
2020-03-21,776,771,5,766
2020-03-22,875,869,6,864
2020-03-23,972,965,7,947
2020-03-24,1063,1055,8,1034
2020-03-25,1201,1192,9,1171
2020-03-26,1373,1362,11,1339
2020-03-27,1495,1483,12,1454
2020-03-28,1597,1583,14,1554
2020-03-29,1717,1696,21,1620
2020-03-30,1938,1912,26,1836
2020-03-31,2118,2091,27,1997
2020-04-01,2421,2387,34,2262
