date,confirmed,recovered,deaths,active
2020-01-22,0,0,0,0
2020-01-23,0,0,0,0
2020-01-24,0,0,0,0
2020-01-25,0,0,0,0
2020-01-26,0,0,0,0
2020-01-27,0,0,0,0
2020-01-28,0,0,0,0
2020-01-29,0,0,0,0
2020-01-30,0,0,0,0
2020-01-31,0,0,0,0
2020-02-01,0,0,0,0
2020-02-02,0,0,0,0
2020-02-03,0,0,0,0
2020-02-04,0,0,0,0
2020-02-05,0,0,0,0
2020-02-06,0,0,0,0
2020-02-07,0,0,0,0
2020-02-08,0,0,0,0
2020-02-09,0,0,0,0
2020-02-10,0,0,0,0
2020-02-11,0,0,0,0
2020-02-12,0,0,0,0
2020-02-13,0,0,0,0
2020-02-14,0,0,0,0
2020-02-15,0,0,0,0
2020-02-16,0,0,0,0
2020-02-17,0,0,0,0
2020-02-18,0,0,0,0
2020-02-19,0,0,0,0
2020-02-20,0,0,0,0
2020-02-21,0,0,0,0
2020-02-22,0,0,0,0
2020-02-23,0,0,0,0
2020-02-24,0,0,0,0
2020-02-25,0,0,0,0
2020-02-26,0,0,0,0
2020-02-27,0,0,0,0
2020-02-28,0,0,0,0
2020-02-29,0,0,0,0
2020-03-01,0,0,0,0
2020-03-02,0,0,0,0
2020-03-03,0,0,0,0
2020-03-04,0,0,0,0
2020-03-05,0,0,0,0
2020-03-06,0,0,0,0
2020-03-07,0,0,0,0
2020-03-08,0,0,0,0
2020-03-09,0,0,0,0
2020-03-10,1,1,0,1
2020-03-11,8,7,1,7
2020-03-12,11,10,1,10
2020-03-13,27,26,1,26
2020-03-14,36,35,1,35
2020-03-15,43,42,1,42
2020-03-16,55,54,1,54
2020-03-17,69,68,1,68
2020-03-18,86,85,1,85
2020-03-19,109,108,1,108
2020-03-20,137,136,1,136
2020-03-21,200,199,1,199
2020-03-22,313,310,3,310
2020-03-23,345,339,6,339
2020-03-24,345,339,6,338
2020-03-25,443,435,8,434
2020-03-26,558,550,8,548
2020-03-27,674,665,9,663
2020-03-28,786,772,14,770
2020-03-29,901,884,17,880
2020-03-30,989,965,24,961
2020-03-31,1181,1151,30,1142
2020-04-01,1181,1151,30,1142
2020-04-02,1317,1285,32,1276
