date,confirmed,recovered,deaths,active
2020-01-22,0,0,0,0
2020-01-23,0,0,0,0
2020-01-24,0,0,0,0
2020-01-25,0,0,0,0
2020-01-26,0,0,0,0
2020-01-27,0,0,0,0
2020-01-28,0,0,0,0
2020-01-29,0,0,0,0
2020-01-30,0,0,0,0
2020-01-31,0,0,0,0
2020-02-01,0,0,0,0
2020-02-02,0,0,0,0
2020-02-03,0,0,0,0
2020-02-04,0,0,0,0
2020-02-05,0,0,0,0
2020-02-06,0,0,0,0
2020-02-07,0,0,0,0
2020-02-08,0,0,0,0
2020-02-09,0,0,0,0
2020-02-10,0,0,0,0
2020-02-11,0,0,0,0
2020-02-12,0,0,0,0
2020-02-13,0,0,0,0
2020-02-14,0,0,0,0
2020-02-15,0,0,0,0
2020-02-16,0,0,0,0
2020-02-17,0,0,0,0
2020-02-18,0,0,0,0
2020-02-19,0,0,0,0
2020-02-20,0,0,0,0
2020-02-21,0,0,0,0
2020-02-22,0,0,0,0
2020-02-23,0,0,0,0
2020-02-24,0,0,0,0
2020-02-25,0,0,0,0
2020-02-26,0,0,0,0
2020-02-27,0,0,0,0
2020-02-28,0,0,0,0
2020-02-29,0,0,0,0
2020-03-01,0,0,0,0
2020-03-02,0,0,0,0
2020-03-03,0,0,0,0
2020-03-04,0,0,0,0
2020-03-05,0,0,0,0
2020-03-06,1,0,1,0
2020-03-07,1,0,1,0
2020-03-08,6,4,2,4
2020-03-09,7,5,2,5
2020-03-10,11,9,2,9
2020-03-11,11,9,2,9
2020-03-12,15,12,3,12
2020-03-13,28,25,3,25
2020-03-14,38,35,3,35
2020-03-15,43,38,5,38
2020-03-16,86,81,5,81
2020-03-17,117,108,9,107
2020-03-18,145,130,15,129
2020-03-19,234,214,20,213
2020-03-20,234,208,26,207
2020-03-21,318,288,30,287
2020-03-22,363,329,34,328
2020-03-23,395,356,39,355
2020-03-24,416,371,45,370
2020-03-25,480,423,57,422
2020-03-26,580,517,63,503
2020-03-27,635,564,71,548
2020-03-28,671,585,86,569
2020-03-29,852,757,95,741
2020-03-30,950,837,113,784
2020-03-31,1065,927,138,533
2020-04-01,1323,1162,161,768
2020-04-02,1414,1231,183,694
2020-04-03,1595,1386,209,849
