date,confirmed,recovered,deaths,active
2020-01-22,0,0,0,0
2020-01-23,0,0,0,0
2020-01-24,0,0,0,0
2020-01-25,0,0,0,0
2020-01-26,0,0,0,0
2020-01-27,0,0,0,0
2020-01-28,0,0,0,0
2020-01-29,0,0,0,0
2020-01-30,1,1,0,1
2020-01-31,1,1,0,1
2020-02-01,1,1,0,1
2020-02-02,2,1,1,1
2020-02-03,2,1,1,1
2020-02-04,2,1,1,1
2020-02-05,2,1,1,1
2020-02-06,2,1,1,1
2020-02-07,3,2,1,2
2020-02-08,3,2,1,2
2020-02-09,3,2,1,2
2020-02-10,3,2,1,2
2020-02-11,3,2,1,2
2020-02-12,3,2,1,1
2020-02-13,3,2,1,1
2020-02-14,3,2,1,1
2020-02-15,3,2,1,1
2020-02-16,3,2,1,1
2020-02-17,3,2,1,1
2020-02-18,3,2,1,1
2020-02-19,3,2,1,1
2020-02-20,3,2,1,1
2020-02-21,3,2,1,1
2020-02-22,3,2,1,1
2020-02-23,3,2,1,1
2020-02-24,3,2,1,1
2020-02-25,3,2,1,1
2020-02-26,3,2,1,1
2020-02-27,3,2,1,1
2020-02-28,3,2,1,1
2020-02-29,3,2,1,1
2020-03-01,3,2,1,1
2020-03-02,3,2,1,1
2020-03-03,3,2,1,1
2020-03-04,3,2,1,1
2020-03-05,3,2,1,1
2020-03-06,5,4,1,3
2020-03-07,6,5,1,4
2020-03-08,10,9,1,8
2020-03-09,20,19,1,18
2020-03-10,33,32,1,30
2020-03-11,49,48,1,46
2020-03-12,52,50,2,48
2020-03-13,64,59,5,57
2020-03-14,111,103,8,101
2020-03-15,140,129,11,127
2020-03-16,142,130,12,128
2020-03-17,187,175,12,170
2020-03-18,202,183,19,178
2020-03-19,217,200,17,192
2020-03-20,230,212,18,204
2020-03-21,307,288,19,275
2020-03-22,380,355,25,338
2020-03-23,462,429,33,412
2020-03-24,552,517,35,497
2020-03-25,636,598,38,572
2020-03-26,707,662,45,634
2020-03-27,803,749,54,718
2020-03-28,1075,1007,68,972
2020-03-29,1418,1347,71,1305
2020-03-30,1546,1468,78,1426
2020-03-31,2084,1996,88,1947
2020-04-01,2311,2215,96,2165
2020-04-02,2633,2526,107,2475
