date,confirmed,recovered,deaths,active
2020-01-22,0,0,0,0
2020-01-23,0,0,0,0
2020-01-24,0,0,0,0
2020-01-25,0,0,0,0
2020-01-26,0,0,0,0
2020-01-27,0,0,0,0
2020-01-28,0,0,0,0
2020-01-29,0,0,0,0
2020-01-30,0,0,0,0
2020-01-31,0,0,0,0
2020-02-01,0,0,0,0
2020-02-02,0,0,0,0
2020-02-03,0,0,0,0
2020-02-04,0,0,0,0
2020-02-05,0,0,0,0
2020-02-06,0,0,0,0
2020-02-07,0,0,0,0
2020-02-08,0,0,0,0
2020-02-09,0,0,0,0
2020-02-10,0,0,0,0
2020-02-11,0,0,0,0
2020-02-12,0,0,0,0
2020-02-13,0,0,0,0
2020-02-14,0,0,0,0
2020-02-15,0,0,0,0
2020-02-16,0,0,0,0
2020-02-17,0,0,0,0
2020-02-18,0,0,0,0
2020-02-19,0,0,0,0
2020-02-20,0,0,0,0
2020-02-21,0,0,0,0
2020-02-22,0,0,0,0
2020-02-23,0,0,0,0
2020-02-24,0,0,0,0
2020-02-25,0,0,0,0
2020-02-26,1,1,0,1
2020-02-27,1,1,0,1
2020-02-28,3,3,0,3
2020-02-29,3,3,0,3
2020-03-01,3,3,0,3
2020-03-02,3,3,0,3
2020-03-03,3,3,0,3
2020-03-04,4,4,0,3
2020-03-05,6,6,0,5
2020-03-06,9,9,0,8
2020-03-07,9,9,0,6
2020-03-08,15,15,0,12
2020-03-09,15,15,0,12
2020-03-10,25,25,0,22
2020-03-11,45,45,0,39
2020-03-12,49,49,0,43
2020-03-13,89,89,0,82
2020-03-14,123,123,0,114
2020-03-15,131,131,0,122
2020-03-16,158,158,0,149
2020-03-17,184,184,0,168
2020-03-18,260,260,0,241
2020-03-19,277,277,0,252
2020-03-20,308,308,0,283
2020-03-21,367,367,0,315
2020-03-22,433,430,3,366
2020-03-23,576,569,7,505
2020-03-24,794,783,11,704
2020-03-25,906,889,17,803
2020-03-26,1029,1006,23,912
2020-03-27,1292,1266,26,1151
2020-03-28,1452,1415,37,1276
2020-03-29,1815,1772,43,1566
2020-03-30,2109,2044,65,1835
2020-03-31,2245,2163,82,1943
2020-04-01,2460,2368,92,2116
2020-04-02,2738,2623,115,2356
