date,confirmed,recovered,deaths,active
2020-01-22,0,0,0,0
2020-01-23,0,0,0,0
2020-01-24,0,0,0,0
2020-01-25,0,0,0,0
2020-01-26,0,0,0,0
2020-01-27,0,0,0,0
2020-01-28,0,0,0,0
2020-01-29,0,0,0,0
2020-01-30,0,0,0,0
2020-01-31,2,2,0,2
2020-02-01,2,2,0,2
2020-02-02,2,2,0,2
2020-02-03,2,2,0,2
2020-02-04,2,2,0,2
2020-02-05,2,2,0,2
2020-02-06,2,2,0,2
2020-02-07,2,2,0,2
2020-02-08,2,2,0,2
2020-02-09,2,2,0,2
2020-02-10,2,2,0,2
2020-02-11,2,2,0,2
2020-02-12,2,2,0,0
2020-02-13,2,2,0,0
2020-02-14,2,2,0,0
2020-02-15,2,2,0,0
2020-02-16,2,2,0,0
2020-02-17,2,2,0,0
2020-02-18,2,2,0,0
2020-02-19,2,2,0,0
2020-02-20,2,2,0,0
2020-02-21,2,2,0,0
2020-02-22,2,2,0,0
2020-02-23,2,2,0,0
2020-02-24,2,2,0,0
2020-02-25,2,2,0,0
2020-02-26,2,2,0,0
2020-02-27,2,2,0,0
2020-02-28,2,2,0,0
2020-02-29,2,2,0,0
2020-03-01,2,2,0,0
2020-03-02,3,3,0,1
2020-03-03,3,3,0,1
2020-03-04,3,3,0,1
2020-03-05,4,4,0,2
2020-03-06,13,13,0,11
2020-03-07,13,13,0,11
2020-03-08,17,17,0,14
2020-03-09,17,17,0,14
2020-03-10,20,20,0,17
2020-03-11,20,20,0,17
2020-03-12,28,28,0,25
2020-03-13,45,45,0,42
2020-03-14,59,59,0,51
2020-03-15,63,63,0,55
2020-03-16,90,90,0,82
2020-03-17,114,114,0,106
2020-03-18,147,147,0,139
2020-03-19,199,198,1,189
2020-03-20,253,252,1,243
2020-03-21,306,305,1,293
2020-03-22,367,366,1,350
2020-03-23,438,437,1,421
2020-03-24,495,494,1,472
2020-03-25,658,655,3,626
2020-03-26,840,837,3,799
2020-03-27,1036,1032,4,987
2020-03-28,1264,1260,4,1211
2020-03-29,1534,1526,8,1462
2020-03-30,1836,1827,9,1761
2020-03-31,2337,2320,17,2199
2020-04-01,2777,2753,24,2563
2020-04-02,3548,3518,30,3283
