date,confirmed,recovered,deaths,active
2020-01-22,0,0,0,0
2020-01-23,0,0,0,0
2020-01-24,0,0,0,0
2020-01-25,0,0,0,0
2020-01-26,0,0,0,0
2020-01-27,0,0,0,0
2020-01-28,0,0,0,0
2020-01-29,0,0,0,0
2020-01-30,0,0,0,0
2020-01-31,0,0,0,0
2020-02-01,0,0,0,0
2020-02-02,0,0,0,0
2020-02-03,0,0,0,0
2020-02-04,0,0,0,0
2020-02-05,0,0,0,0
2020-02-06,0,0,0,0
2020-02-07,0,0,0,0
2020-02-08,0,0,0,0
2020-02-09,0,0,0,0
2020-02-10,0,0,0,0
2020-02-11,0,0,0,0
2020-02-12,0,0,0,0
2020-02-13,0,0,0,0
2020-02-14,0,0,0,0
2020-02-15,0,0,0,0
2020-02-16,0,0,0,0
2020-02-17,0,0,0,0
2020-02-18,0,0,0,0
2020-02-19,0,0,0,0
2020-02-20,0,0,0,0
2020-02-21,0,0,0,0
2020-02-22,0,0,0,0
2020-02-23,0,0,0,0
2020-02-24,0,0,0,0
2020-02-25,0,0,0,0
2020-02-26,0,0,0,0
2020-02-27,0,0,0,0
2020-02-28,0,0,0,0
2020-02-29,1,0,1,0
2020-03-01,1,0,1,0
2020-03-02,1,0,1,0
2020-03-03,9,8,1,8
2020-03-04,9,8,1,8
2020-03-05,16,15,1,15
2020-03-06,22,21,1,21
2020-03-07,24,23,1,23
2020-03-08,27,26,1,26
2020-03-09,37,36,1,36
2020-03-10,49,47,2,47
2020-03-11,60,58,2,58
2020-03-12,60,58,2,58
2020-03-13,64,59,5,59
2020-03-14,77,72,5,68
2020-03-15,77,72,5,68
2020-03-16,77,72,5,68
2020-03-17,102,93,9,89
2020-03-18,104,93,11,89
2020-03-19,109,95,14,91
2020-03-20,126,112,14,108
2020-03-21,151,131,20,127
2020-03-22,175,155,20,151
2020-03-23,187,167,20,163
2020-03-24,187,166,21,162
2020-03-25,208,187,21,183
2020-03-26,218,197,21,193
2020-03-27,223,202,21,198
2020-03-28,228,206,22,200
2020-03-29,228,206,22,200
2020-03-30,230,205,25,192
2020-03-31,236,210,26,197
2020-04-01,236,208,28,195
2020-04-02,236,208,28,187
2020-04-03,245,215,30,194
