date,confirmed,recovered,deaths,active
2020-01-22,0,0,0,0
2020-01-23,0,0,0,0
2020-01-24,0,0,0,0
2020-01-25,0,0,0,0
2020-01-26,0,0,0,0
2020-01-27,0,0,0,0
2020-01-28,0,0,0,0
2020-01-29,0,0,0,0
2020-01-30,0,0,0,0
2020-01-31,0,0,0,0
2020-02-01,0,0,0,0
2020-02-02,0,0,0,0
2020-02-03,0,0,0,0
2020-02-04,0,0,0,0
2020-02-05,0,0,0,0
2020-02-06,0,0,0,0
2020-02-07,0,0,0,0
2020-02-08,0,0,0,0
2020-02-09,0,0,0,0
2020-02-10,0,0,0,0
2020-02-11,0,0,0,0
2020-02-12,0,0,0,0
2020-02-13,0,0,0,0
2020-02-14,0,0,0,0
2020-02-15,0,0,0,0
2020-02-16,0,0,0,0
2020-02-17,0,0,0,0
2020-02-18,0,0,0,0
2020-02-19,0,0,0,0
2020-02-20,0,0,0,0
2020-02-21,0,0,0,0
2020-02-22,0,0,0,0
2020-02-23,0,0,0,0
2020-02-24,0,0,0,0
2020-02-25,0,0,0,0
2020-02-26,0,0,0,0
2020-02-27,0,0,0,0
2020-02-28,0,0,0,0
2020-02-29,0,0,0,0
2020-03-01,0,0,0,0
2020-03-02,1,1,0,1
2020-03-03,2,2,0,2
2020-03-04,4,4,0,4
2020-03-05,4,4,0,4
2020-03-06,4,4,0,4
2020-03-07,4,4,0,4
2020-03-08,4,4,0,3
2020-03-09,4,4,0,3
2020-03-10,4,4,0,3
2020-03-11,4,4,0,3
2020-03-12,4,4,0,3
2020-03-13,10,10,0,9
2020-03-14,10,10,0,9
2020-03-15,24,24,0,23
2020-03-16,24,24,0,22
2020-03-17,26,26,0,24
2020-03-18,31,31,0,29
2020-03-19,31,31,0,29
2020-03-20,38,38,0,36
2020-03-21,47,47,0,42
2020-03-22,67,67,0,62
2020-03-23,79,79,0,74
2020-03-24,86,86,0,78
2020-03-25,99,99,0,90
2020-03-26,105,105,0,96
2020-03-27,119,119,0,108
2020-03-28,130,130,0,112
2020-03-29,142,142,0,115
2020-03-30,162,162,0,135
2020-03-31,175,175,0,135
2020-04-01,190,189,1,144
2020-04-02,195,194,1,139
2020-04-03,207,206,1,140
