date,confirmed,recovered,deaths,active
2020-01-22,0,0,0,0
2020-01-23,1,1,0,1
2020-01-24,3,3,0,3
2020-01-25,3,3,0,3
2020-01-26,4,4,0,4
2020-01-27,5,5,0,5
2020-01-28,7,7,0,7
2020-01-29,7,7,0,7
2020-01-30,10,10,0,10
2020-01-31,13,13,0,13
2020-02-01,16,16,0,16
2020-02-02,18,18,0,18
2020-02-03,18,18,0,18
2020-02-04,24,24,0,24
2020-02-05,28,28,0,28
2020-02-06,28,28,0,28
2020-02-07,30,30,0,30
2020-02-08,33,33,0,31
2020-02-09,40,40,0,38
2020-02-10,45,45,0,43
2020-02-11,47,47,0,38
2020-02-12,50,50,0,35
2020-02-13,58,58,0,43
2020-02-14,67,67,0,50
2020-02-15,72,72,0,54
2020-02-16,75,75,0,57
2020-02-17,77,77,0,53
2020-02-18,81,81,0,52
2020-02-19,84,84,0,50
2020-02-20,84,84,0,50
2020-02-21,85,85,0,48
2020-02-22,85,85,0,48
2020-02-23,89,89,0,38
2020-02-24,89,89,0,38
2020-02-25,91,91,0,38
2020-02-26,93,93,0,31
2020-02-27,93,93,0,31
2020-02-28,93,93,0,31
2020-02-29,102,102,0,30
2020-03-01,106,106,0,34
2020-03-02,108,108,0,30
2020-03-03,110,110,0,32
2020-03-04,110,110,0,32
2020-03-05,117,117,0,39
2020-03-06,130,130,0,52
2020-03-07,138,138,0,60
2020-03-08,150,150,0,72
2020-03-09,150,150,0,72
2020-03-10,160,160,0,82
2020-03-11,178,178,0,82
2020-03-12,178,178,0,82
2020-03-13,200,200,0,103
2020-03-14,212,212,0,107
2020-03-15,226,226,0,121
2020-03-16,243,243,0,134
2020-03-17,266,266,0,152
2020-03-18,313,313,0,199
2020-03-19,345,345,0,231
2020-03-20,385,385,0,261
2020-03-21,432,430,2,290
2020-03-22,455,453,2,309
2020-03-23,509,507,2,363
2020-03-24,558,556,2,400
2020-03-25,631,629,2,469
2020-03-26,683,681,2,509
2020-03-27,732,730,2,547
2020-03-28,802,800,2,602
2020-03-29,844,841,3,629
2020-03-30,879,876,3,648
2020-03-31,926,923,3,683
2020-04-01,1000,997,3,752
2020-04-02,1049,1045,4,779
2020-04-03,1114,1109,5,827
2020-04-04,1189,1183,6,886
2020-04-05,1309,1303,6,983
2020-04-06,1375,1369,6,1025
2020-04-07,1481,1475,6,1098
2020-04-08,1623,1617,6,1211
2020-04-09,1910,1904,6,1444
2020-04-10,2108,2101,7,1609
2020-04-11,2299,2291,8,1763
2020-04-12,2532,2524,8,1964
2020-04-13,2918,2909,9,2323
2020-04-14,3252,3242,10,2631
2020-04-15,3699,3689,10,3037
2020-04-16,4427,4417,10,3734
2020-04-17,5050,5039,11,4331
2020-04-18,5992,5981,11,5241
2020-04-19,6588,6577,11,5809
2020-04-20,8014,8003,11,7202
2020-04-21,9125,9114,11,8275
2020-04-22,10141,10129,12,9233
2020-04-23,11178,11166,12,10242
2020-04-24,12075,12063,12,11107
2020-04-25,12693,12681,12,11679
2020-04-26,13624,13612,12,12552
2020-04-27,14423,14409,14,13314
2020-04-28,14951,14937,14,13809
2020-04-29,15641,15627,14,14439
2020-04-30,16169,16154,15,14910
2020-05-01,17101,17085,16,15817
2020-05-02,17548,17531,17,16184
2020-05-03,18205,18187,18,16779
2020-05-04,18778,18760,18,17303
2020-05-05,19410,19392,18,17873
2020-05-06,20198,20178,20,18544
2020-05-07,20939,20919,20,19207
2020-05-08,21707,21687,20,19647
2020-05-09,22460,22440,20,20144
2020-05-10,23336,23316,20,20595
2020-05-11,23822,23801,21,20576
2020-05-12,24671,24650,21,20799
2020-05-13,25346,25325,21,20516
2020-05-14,26098,26077,21,20104
2020-05-15,26891,26870,21,19622
2020-05-16,27356,27334,22,18992
2020-05-17,28038,28016,22,18676
2020-05-18,28343,28321,22,18486
2020-05-19,28794,28772,22,18407
2020-05-20,29364,29342,22,18135
2020-05-21,29812,29789,23,17672
2020-05-22,30426,30403,23,17408
2020-05-23,31068,31045,23,17163
2020-05-24,31616,31593,23,16717
2020-05-25,31960,31937,23,16199
2020-05-26,32343,32320,23,15876
2020-05-27,32876,32853,23,15577
2020-05-28,33249,33226,23,14932
2020-05-29,33860,33837,23,14206
2020-05-30,34366,34343,23,13616
2020-05-31,34884,34861,23,13162
2020-06-01,35292,35268,24,12802
2020-06-02,35836,35812,24,12637
2020-06-03,36405,36381,24,12799
2020-06-04,36922,36898,24,12994
2020-06-05,37183,37159,24,12950
2020-06-06,37527,37502,25,12943
2020-06-07,37910,37885,25,12999
2020-06-08,38296,38271,25,12903
2020-06-09,38514,38489,25,12612
2020-06-10,38965,38940,25,12408
2020-06-11,39387,39362,25,12076
2020-06-12,39850,39825,25,11785
2020-06-13,40197,40171,26,11363
2020-06-14,40604,40578,26,10989
2020-06-15,40818,40792,26,10426
2020-06-16,40969,40943,26,9780
2020-06-17,41216,41190,26,9252
2020-06-18,41473,41447,26,8735
2020-06-19,41615,41589,26,8130
2020-06-20,41833,41807,26,7583
2020-06-21,42095,42069,26,7127
2020-06-22,42313,42287,26,6697
2020-06-23,42432,42406,26,6411
2020-06-24,42623,42597,26,6298
2020-06-25,42736,42710,26,6106
2020-06-26,42955,42929,26,6104
2020-06-27,43246,43220,26,6057
2020-06-28,43459,43433,26,5925
2020-06-29,43661,43635,26,5650
2020-06-30,43907,43881,26,5381
2020-07-01,44122,44096,26,5085
2020-07-02,44310,44284,26,4855
2020-07-03,44479,44453,26,4684
2020-07-04,44664,44638,26,4521
2020-07-05,44800,44774,26,4333
2020-07-06,44983,44957,26,4240
2020-07-07,45140,45114,26,4112
2020-07-08,45298,45272,26,3949
2020-07-09,45423,45397,26,3752
2020-07-10,45614,45588,26,3808
2020-07-11,45783,45757,26,3731
2020-07-12,45961,45935,26,3650
2020-07-13,46283,46257,26,3716
2020-07-14,46630,46603,27,3866
2020-07-15,46878,46851,27,3863
2020-07-16,47126,47099,27,3843
2020-07-17,47453,47426,27,3849
2020-07-18,47655,47628,27,3795
2020-07-19,47912,47885,27,3799
2020-07-20,48035,48008,27,3637
2020-07-21,48434,48407,27,3823
2020-07-22,48744,48717,27,3922
2020-07-23,49098,49071,27,4056
2020-07-24,49375,49348,27,4176
2020-07-25,49888,49861,27,4509
2020-07-26,50369,50342,27,4821
2020-07-27,50838,50811,27,5119
2020-07-28,51197,51170,27,5277
2020-07-29,51531,51504,27,5406
2020-07-30,51809,51782,27,5474
2020-07-31,52205,52178,27,5687
2020-08-01,52512,52485,27,5745
2020-08-02,52825,52798,27,5872
2020-08-03,53051,53024,27,5845
2020-08-04,53346,53319,27,5865
2020-08-05,54254,54227,27,6459
2020-08-06,54555,54528,27,6497
2020-08-07,54797,54770,27,6458
2020-08-08,54929,54902,27,6319
2020-08-09,55104,55077,27,6162
2020-08-10,55292,55265,27,5656
2020-08-11,55353,55326,27,5198
2020-08-12,55395,55368,27,4848
2020-08-13,55497,55470,27,4734
2020-08-14,55580,55553,27,4504
2020-08-15,55661,55634,27,4113
2020-08-16,55747,55720,27,3767
2020-08-17,55838,55811,27,3461
2020-08-18,55938,55911,27,3378
2020-08-19,56031,56004,27,3194
2020-08-20,56099,56072,27,2953
2020-08-21,56216,56189,27,2538
2020-08-22,56266,56239,27,2319
2020-08-23,56353,56326,27,2162
2020-08-24,56404,56377,27,1790
2020-08-25,56435,56408,27,1592
2020-08-26,56495,56468,27,1497
2020-08-27,56572,56545,27,1406
2020-08-28,56666,56639,27,1302
2020-08-29,56717,56690,27,1243
2020-08-30,56771,56744,27,1158
2020-08-31,56812,56785,27,1127
2020-09-01,56852,56825,27,1076
2020-09-02,56860,56833,27,942
2020-09-03,56908,56881,27,853
2020-09-04,56948,56921,27,747
2020-09-05,56982,56955,27,688
2020-09-06,57022,56995,27,662
2020-09-07,57044,57017,27,609
2020-09-08,57091,57064,27,603
2020-09-09,57166,57139,27,647
2020-09-10,57229,57202,27,644
2020-09-11,57315,57288,27,681
2020-09-12,57357,57330,27,631
2020-09-13,57406,57379,27,615
2020-09-14,57454,57427,27,625
2020-09-15,57488,57461,27,577
2020-09-16,57514,57487,27,532
2020-09-17,57532,57505,27,466
2020-09-18,57543,57516,27,445
2020-09-19,57558,57531,27,389
2020-09-20,57576,57549,27,368
2020-09-21,57606,57579,27,338
2020-09-22,57627,57600,27,338
2020-09-23,57639,57612,27,321
2020-09-24,57654,57627,27,294
2020-09-25,57665,57638,27,297
2020-09-26,57685,57658,27,299
2020-09-27,57700,57673,27,306
2020-09-28,57715,57688,27,295
2020-09-29,57742,57715,27,249
2020-09-30,57765,57738,27,250
2020-10-01,57784,57757,27,245
2020-10-02,57794,57767,27,233
2020-10-03,57800,57773,27,211
2020-10-04,57812,57785,27,210
2020-10-05,57819,57792,27,195
2020-10-06,57830,57803,27,191
2020-10-07,57840,57813,27,189
2020-10-08,57849,57822,27,154
2020-10-09,57859,57832,27,157
2020-10-10,57866,57839,27,141
2020-10-11,57876,57849,27,144
2020-10-12,57880,57852,28,124
2020-10-13,57884,57856,28,116
2020-10-14,57889,57861,28,109
2020-10-15,57892,57864,28,100
2020-10-16,57901,57873,28,89
2020-10-17,57904,57876,28,78
2020-10-18,57911,57883,28,76
2020-10-19,57915,57887,28,68
2020-10-20,57921,57893,28,74
2020-10-21,57933,57905,28,84
2020-10-22,57941,57913,28,84
2020-10-23,57951,57923,28,91
2020-10-24,57965,57937,28,93
2020-10-25,57970,57942,28,84
2020-10-26,57973,57945,28,66
2020-10-27,57980,57952,28,69
2020-10-28,57987,57959,28,69
2020-10-29,57994,57966,28,67
2020-10-30,58003,57975,28,66
2020-10-31,58015,57987,28,74
2020-11-01,58019,57991,28,67
2020-11-02,58020,57992,28,68
2020-11-03,58029,58001,28,64
2020-11-04,58036,58008,28,70
2020-11-05,58043,58015,28,66
2020-11-06,58047,58019,28,60
2020-11-07,58054,58026,28,58
2020-11-08,58056,58028,28,53
2020-11-09,58064,58036,28,55
2020-11-10,58073,58045,28,60
2020-11-11,58091,58063,28,73
2020-11-12,58102,58074,28,72
2020-11-13,58114,58086,28,78
2020-11-14,58116,58088,28,69
2020-11-15,58119,58091,28,62
2020-11-16,58124,58096,28,63
2020-11-17,58130,58102,28,63
2020-11-18,58135,58107,28,61
2020-11-19,58139,58111,28,59
2020-11-20,58143,58115,28,57
2020-11-21,58148,58120,28,56
2020-11-22,58160,58132,28,65
2020-11-23,58165,58137,28,66
2020-11-24,58183,58155,28,76
2020-11-25,58190,58162,28,71
2020-11-26,58195,58167,28,63
2020-11-27,58199,58171,28,60
2020-11-28,58205,58176,29,57
2020-11-29,58213,58184,29,60
2020-11-30,58218,58189,29,55
2020-12-01,58228,58199,29,60
2020-12-02,58230,58201,29,57
2020-12-03,58239,58210,29,65
