date,confirmed,recovered,deaths,active
2020-01-22,0,0,0,0
2020-01-23,0,0,0,0
2020-01-24,0,0,0,0
2020-01-25,0,0,0,0
2020-01-26,0,0,0,0
2020-01-27,0,0,0,0
2020-01-28,0,0,0,0
2020-01-29,0,0,0,0
2020-01-30,0,0,0,0
2020-01-31,0,0,0,0
2020-02-01,1,1,0,1
2020-02-02,1,1,0,1
2020-02-03,1,1,0,1
2020-02-04,1,1,0,1
2020-02-05,1,1,0,1
2020-02-06,1,1,0,1
2020-02-07,1,1,0,1
2020-02-08,1,1,0,1
2020-02-09,2,2,0,2
2020-02-10,2,2,0,2
2020-02-11,2,2,0,2
2020-02-12,2,2,0,2
2020-02-13,2,2,0,2
2020-02-14,2,2,0,2
2020-02-15,2,2,0,0
2020-02-16,2,2,0,0
2020-02-17,2,2,0,0
2020-02-18,2,2,0,0
2020-02-19,2,2,0,0
2020-02-20,2,2,0,0
2020-02-21,2,2,0,0
2020-02-22,2,2,0,0
2020-02-23,2,2,0,0
2020-02-24,2,2,0,0
2020-02-25,6,6,0,4
2020-02-26,13,13,0,11
2020-02-27,15,15,0,13
2020-02-28,32,32,0,30
2020-02-29,45,45,0,43
2020-03-01,84,84,0,82
2020-03-02,120,120,0,118
2020-03-03,165,164,1,162
2020-03-04,222,220,2,218
2020-03-05,259,256,3,254
2020-03-06,400,395,5,393
2020-03-07,500,490,10,460
2020-03-08,673,656,17,626
2020-03-09,1073,1045,28,1013
2020-03-10,1695,1660,35,1628
2020-03-11,2277,2223,54,2040
2020-03-12,2277,2222,55,2039
2020-03-13,5232,5099,133,4906
2020-03-14,6391,6196,195,5679
2020-03-15,7798,7509,289,6992
2020-03-16,9942,9600,342,9070
2020-03-17,11748,11215,533,10187
2020-03-18,13910,13287,623,12206
2020-03-19,17963,17133,830,16026
2020-03-20,20410,19367,1043,17779
2020-03-21,25374,23999,1375,21874
2020-03-22,28768,26996,1772,24421
2020-03-23,35136,32825,2311,30250
2020-03-24,39885,37077,2808,33283
2020-03-25,49515,45868,3647,40501
2020-03-26,57786,53421,4365,46406
2020-03-27,65719,60581,5138,51224
2020-03-28,73235,67253,5982,54968
2020-03-29,80110,73307,6803,58598
