date,confirmed,recovered,deaths,active
2020-01-22,0,0,0,0
2020-01-23,0,0,0,0
2020-01-24,0,0,0,0
2020-01-25,0,0,0,0
2020-01-26,0,0,0,0
2020-01-27,0,0,0,0
2020-01-28,0,0,0,0
2020-01-29,0,0,0,0
2020-01-30,0,0,0,0
2020-01-31,0,0,0,0
2020-02-01,0,0,0,0
2020-02-02,0,0,0,0
2020-02-03,0,0,0,0
2020-02-04,0,0,0,0
2020-02-05,0,0,0,0
2020-02-06,0,0,0,0
2020-02-07,0,0,0,0
2020-02-08,0,0,0,0
2020-02-09,0,0,0,0
2020-02-10,0,0,0,0
2020-02-11,0,0,0,0
2020-02-12,0,0,0,0
2020-02-13,0,0,0,0
2020-02-14,0,0,0,0
2020-02-15,0,0,0,0
2020-02-16,0,0,0,0
2020-02-17,0,0,0,0
2020-02-18,0,0,0,0
2020-02-19,0,0,0,0
2020-02-20,0,0,0,0
2020-02-21,0,0,0,0
2020-02-22,0,0,0,0
2020-02-23,0,0,0,0
2020-02-24,0,0,0,0
2020-02-25,1,1,0,1
2020-02-26,1,1,0,1
2020-02-27,8,8,0,8
2020-02-28,8,8,0,8
2020-02-29,18,18,0,18
2020-03-01,27,27,0,27
2020-03-02,42,42,0,42
2020-03-03,56,56,0,54
2020-03-04,90,90,0,87
2020-03-05,114,114,0,111
2020-03-06,214,213,1,210
2020-03-07,268,267,1,264
2020-03-08,337,335,2,332
2020-03-09,374,372,2,369
2020-03-10,491,486,5,483
2020-03-11,652,645,7,641
2020-03-12,652,642,10,638
2020-03-13,1139,1128,11,1124
2020-03-14,1359,1345,14,1341
2020-03-15,2200,2178,22,2174
2020-03-16,2200,2167,33,2163
2020-03-17,2700,2660,40,2656
2020-03-18,3028,2980,48,2965
2020-03-19,4075,4017,58,4002
2020-03-20,5294,5216,78,5201
2020-03-21,6575,6477,98,6462
2020-03-22,7474,7361,113,7230
2020-03-23,8795,8654,141,8523
2020-03-24,9877,9716,161,9585
2020-03-25,10897,10701,196,10570
2020-03-26,11811,11573,238,11442
2020-03-27,12928,12655,273,11125
2020-03-28,14076,13747,329,12217
2020-03-29,14829,14453,376,12858
2020-03-30,15922,15488,434,13665
