date,confirmed,recovered,deaths,active
2020-01-22,1,1,0,1
2020-01-23,1,1,0,1
2020-01-24,3,3,0,3
2020-01-25,3,3,0,3
2020-01-26,4,4,0,4
2020-01-27,5,5,0,5
2020-01-28,8,8,0,8
2020-01-29,8,8,0,8
2020-01-30,9,9,0,9
2020-01-31,10,10,0,10
2020-02-01,10,10,0,10
2020-02-02,10,10,0,10
2020-02-03,10,10,0,10
2020-02-04,11,11,0,11
2020-02-05,11,11,0,11
2020-02-06,16,16,0,15
2020-02-07,16,16,0,15
2020-02-08,17,17,0,16
2020-02-09,18,18,0,17
2020-02-10,18,18,0,17
2020-02-11,18,18,0,17
2020-02-12,18,18,0,17
2020-02-13,18,18,0,17
2020-02-14,18,18,0,16
2020-02-15,18,18,0,16
2020-02-16,20,19,1,17
2020-02-17,22,21,1,19
2020-02-18,22,21,1,19
2020-02-19,23,22,1,20
2020-02-20,24,23,1,21
2020-02-21,26,25,1,23
2020-02-22,26,25,1,23
2020-02-23,28,27,1,25
2020-02-24,30,29,1,24
2020-02-25,31,30,1,25
2020-02-26,32,31,1,26
2020-02-27,32,31,1,26
2020-02-28,34,33,1,27
2020-02-29,39,38,1,29
2020-03-01,40,39,1,30
2020-03-02,41,40,1,28
2020-03-03,42,41,1,29
2020-03-04,42,41,1,29
2020-03-05,44,43,1,31
2020-03-06,45,44,1,32
2020-03-07,45,44,1,32
2020-03-08,45,44,1,31
2020-03-09,45,44,1,29
2020-03-10,47,46,1,29
2020-03-11,48,47,1,30
2020-03-12,49,48,1,28
2020-03-13,50,49,1,29
2020-03-14,53,52,1,32
2020-03-15,59,58,1,38
2020-03-16,67,66,1,46
2020-03-17,77,76,1,54
2020-03-18,100,99,1,77
2020-03-19,108,107,1,81
2020-03-20,135,133,2,107
2020-03-21,153,151,2,123
2020-03-22,169,167,2,139
2020-03-23,195,193,2,165
2020-03-24,215,213,2,184
2020-03-25,235,233,2,204
2020-03-26,252,250,2,221
2020-03-27,267,265,2,236
2020-03-28,283,281,2,251
2020-03-29,298,296,2,266
2020-03-30,306,301,5,262
2020-03-31,322,317,5,278
2020-04-01,329,324,5,285
2020-04-02,339,334,5,289
2020-04-03,348,343,5,293
2020-04-04,355,350,5,300
2020-04-05,363,358,5,308
2020-04-06,373,368,5,311
2020-04-07,376,371,5,314
2020-04-08,379,374,5,313
2020-04-09,380,375,5,308
2020-04-10,382,376,6,285
2020-04-11,385,379,6,280
2020-04-12,388,382,6,273
2020-04-13,393,387,6,278
2020-04-14,393,387,6,263
2020-04-15,395,389,6,265
2020-04-16,395,389,6,234
2020-04-17,395,389,6,223
2020-04-18,398,392,6,214
2020-04-19,420,414,6,225
2020-04-20,422,416,6,213
2020-04-21,425,419,6,202
2020-04-22,426,420,6,184
2020-04-23,427,421,6,168
2020-04-24,428,422,6,158
2020-04-25,429,423,6,148
2020-04-26,429,423,6,142
2020-04-27,429,423,6,133
2020-04-28,429,423,6,116
2020-04-29,429,423,6,112
2020-04-30,429,423,6,101
2020-05-01,429,423,6,99
2020-05-02,432,426,6,102
2020-05-03,436,430,6,98
2020-05-04,438,432,6,98
2020-05-05,438,432,6,98
2020-05-06,439,433,6,94
2020-05-07,440,434,6,87
2020-05-08,440,434,6,79
2020-05-09,440,434,6,73
2020-05-10,440,434,6,68
2020-05-11,440,433,7,65
2020-05-12,440,433,7,61
2020-05-13,440,433,7,58
2020-05-14,440,433,7,50
2020-05-15,440,433,7,46
2020-05-16,440,433,7,44
2020-05-17,440,433,7,38
2020-05-18,440,433,7,35
2020-05-19,440,433,7,35
2020-05-20,440,433,7,35
2020-05-21,440,433,7,35
2020-05-22,441,434,7,26
2020-05-23,441,434,7,23
2020-05-24,441,434,7,20
2020-05-25,441,434,7,19
2020-05-26,441,434,7,18
2020-05-27,441,434,7,15
2020-05-28,441,434,7,14
2020-05-29,442,435,7,15
2020-05-30,442,435,7,14
2020-05-31,442,435,7,12
2020-06-01,443,436,7,9
2020-06-02,443,436,7,9
2020-06-03,443,436,7,8
2020-06-04,443,436,7,8
2020-06-05,443,436,7,7
2020-06-06,443,436,7,7
2020-06-07,443,436,7,6
2020-06-08,443,436,7,6
2020-06-09,443,436,7,5
2020-06-10,443,436,7,5
2020-06-11,443,436,7,5
2020-06-12,443,436,7,5
2020-06-13,443,436,7,5
2020-06-14,443,436,7,5
2020-06-15,445,438,7,5
2020-06-16,445,438,7,5
2020-06-17,445,438,7,4
2020-06-18,446,439,7,5
2020-06-19,446,439,7,5
2020-06-20,446,439,7,5
2020-06-21,446,439,7,5
2020-06-22,446,439,7,4
2020-06-23,446,439,7,4
2020-06-24,446,439,7,4
2020-06-25,447,440,7,5
2020-06-26,447,440,7,5
2020-06-27,447,440,7,5
2020-06-28,447,440,7,5
2020-06-29,447,440,7,5
2020-06-30,447,440,7,3
2020-07-01,447,440,7,2
2020-07-02,448,441,7,3
2020-07-03,449,442,7,4
2020-07-04,449,442,7,4
2020-07-05,449,442,7,4
2020-07-06,449,442,7,4
2020-07-07,449,442,7,4
2020-07-08,449,442,7,4
2020-07-09,449,442,7,4
2020-07-10,449,442,7,4
2020-07-11,451,444,7,6
2020-07-12,451,444,7,6
2020-07-13,451,444,7,6
2020-07-14,451,444,7,4
2020-07-15,451,444,7,4
2020-07-16,451,444,7,4
2020-07-17,451,444,7,4
2020-07-18,451,444,7,4
2020-07-19,451,444,7,4
2020-07-20,451,444,7,4
2020-07-21,451,444,7,4
2020-07-22,455,448,7,8
2020-07-23,455,448,7,8
2020-07-24,458,451,7,11
2020-07-25,458,451,7,11
2020-07-26,458,451,7,11
2020-07-27,462,455,7,15
2020-07-28,467,460,7,20
2020-07-29,467,460,7,20
2020-07-30,467,460,7,20
2020-07-31,467,460,7,20
2020-08-01,474,467,7,26
2020-08-02,475,468,7,27
2020-08-03,474,467,7,26
2020-08-04,476,469,7,28
2020-08-05,476,469,7,28
2020-08-06,477,470,7,29
2020-08-07,477,470,7,29
2020-08-08,479,472,7,31
2020-08-09,477,470,7,29
2020-08-10,477,470,7,29
2020-08-11,480,473,7,30
2020-08-12,481,474,7,24
2020-08-13,481,474,7,24
2020-08-14,481,474,7,24
2020-08-15,482,475,7,25
2020-08-16,484,477,7,27
2020-08-17,485,478,7,28
2020-08-18,486,479,7,29
2020-08-19,486,479,7,22
2020-08-20,486,479,7,22
2020-08-21,487,480,7,23
2020-08-22,487,480,7,23
2020-08-23,487,480,7,23
2020-08-24,487,480,7,23
2020-08-25,487,480,7,23
2020-08-26,487,480,7,18
2020-08-27,487,480,7,18
2020-08-28,487,480,7,18
2020-08-29,488,481,7,19
2020-08-30,488,481,7,19
2020-08-31,488,481,7,19
2020-09-01,488,481,7,19
2020-09-02,489,482,7,11
2020-09-03,489,482,7,11
2020-09-04,490,483,7,12
2020-09-05,492,485,7,12
2020-09-06,493,486,7,13
2020-09-07,494,487,7,12
2020-09-08,495,488,7,13
2020-09-09,495,488,7,13
2020-09-10,496,489,7,14
2020-09-11,498,491,7,16
2020-09-12,498,491,7,16
2020-09-13,498,491,7,16
2020-09-14,499,492,7,16
2020-09-15,499,492,7,16
2020-09-16,500,493,7,16
2020-09-17,503,496,7,18
2020-09-18,503,496,7,18
2020-09-19,506,499,7,20
2020-09-20,507,500,7,21
2020-09-21,509,502,7,23
2020-09-22,509,502,7,23
2020-09-23,509,502,7,22
2020-09-24,509,502,7,22
2020-09-25,510,503,7,23
2020-09-26,510,503,7,23
2020-09-27,510,503,7,23
2020-09-28,513,506,7,24
2020-09-29,513,506,7,24
2020-09-30,514,507,7,24
2020-10-01,515,508,7,24
2020-10-02,517,510,7,26
2020-10-03,517,510,7,26
2020-10-04,517,510,7,26
2020-10-05,518,511,7,26
2020-10-06,521,514,7,29
2020-10-07,523,516,7,30
2020-10-08,524,517,7,30
2020-10-09,527,520,7,32
2020-10-10,527,520,7,32
2020-10-11,527,520,7,32
2020-10-12,529,522,7,33
2020-10-13,530,523,7,34
2020-10-14,530,523,7,32
2020-10-15,531,524,7,33
2020-10-16,535,528,7,37
2020-10-17,535,528,7,37
2020-10-18,535,528,7,37
2020-10-19,540,533,7,40
2020-10-20,543,536,7,41
2020-10-21,544,537,7,42
2020-10-22,548,541,7,44
2020-10-23,548,541,7,44
2020-10-24,550,543,7,41
2020-10-25,550,543,7,41
2020-10-26,550,543,7,41
2020-10-27,550,543,7,41
2020-10-28,550,543,7,35
2020-10-29,553,546,7,33
2020-10-30,554,547,7,33
2020-10-31,555,548,7,33
2020-11-01,558,551,7,33
2020-11-02,563,556,7,37
2020-11-03,567,560,7,39
2020-11-04,568,561,7,40
2020-11-05,569,562,7,39
2020-11-06,573,566,7,43
2020-11-07,573,566,7,43
2020-11-08,577,570,7,46
2020-11-09,578,571,7,45
2020-11-10,580,573,7,45
2020-11-11,584,577,7,49
2020-11-12,589,582,7,50
2020-11-13,597,590,7,57
2020-11-14,600,593,7,58
2020-11-15,602,595,7,59
2020-11-16,603,596,7,60
2020-11-17,605,598,7,59
2020-11-18,607,600,7,59
2020-11-19,609,602,7,57
2020-11-20,611,604,7,58
2020-11-21,611,604,7,58
2020-11-22,617,610,7,62
2020-11-23,618,611,7,62
2020-11-24,618,611,7,62
2020-11-25,623,616,7,63
2020-11-26,625,618,7,63
2020-11-27,639,632,7,77
2020-11-28,648,641,7,85
2020-11-29,651,644,7,79
2020-11-30,675,668,7,103
2020-12-01,679,672,7,104
2020-12-02,685,678,7,108
2020-12-03,686,679,7,107
2020-12-04,690,683,7,111
2020-12-05,694,687,7,113
2020-12-06,716,709,7,135
2020-12-07,716,709,7,135
2020-12-08,718,711,7,129
2020-12-09,720,713,7,128
2020-12-10,724,717,7,127
2020-12-11,725,718,7,123
2020-12-12,733,726,7,125
2020-12-13,736,729,7,123
2020-12-14,740,733,7,127
2020-12-15,742,735,7,124
2020-12-16,749,742,7,130
2020-12-17,757,750,7,134
2020-12-18,759,752,7,133
2020-12-19,763,756,7,131
2020-12-20,766,759,7,132
2020-12-21,766,759,7,132
2020-12-22,770,763,7,131
2020-12-23,776,769,7,134
2020-12-24,776,769,7,134
2020-12-25,780,773,7,133
2020-12-26,783,776,7,129
2020-12-27,785,778,7,125
2020-12-28,793,786,7,132
2020-12-29,795,788,7,127
2020-12-30,797,790,7,124
2020-12-31,799,792,7,121
2021-01-01,802,795,7,113
2021-01-02,808,801,7,115
2021-01-03,812,805,7,116
2021-01-04,815,808,7,112
2021-01-05,817,810,7,113
2021-01-06,819,812,7,112
2021-01-07,822,815,7,107
2021-01-08,825,818,7,104
2021-01-09,828,821,7,101
2021-01-10,828,821,7,101
2021-01-11,834,827,7,101
2021-01-12,838,831,7,101
2021-01-13,842,835,7,104
2021-01-14,842,835,7,104
2021-01-15,843,836,7,95
2021-01-16,851,844,7,93
2021-01-17,855,848,7,93
2021-01-18,862,855,7,99
2021-01-19,868,861,7,95
2021-01-20,870,863,7,94
2021-01-21,881,874,7,97
2021-01-22,881,874,7,97
2021-01-23,884,877,7,94
2021-01-24,889,882,7,95
2021-01-25,889,882,7,95
2021-01-26,890,883,7,86
2021-01-27,893,886,7,83
2021-01-28,895,888,7,79
2021-01-29,899,892,7,79
2021-01-30,909,901,8,78
2021-01-31,911,903,8,73
2021-02-01,912,904,8,74
2021-02-02,915,907,8,75
2021-02-03,917,909,8,75
2021-02-04,919,910,9,71
2021-02-05,923,914,9,73
2021-02-06,924,915,9,72
2021-02-07,927,918,9,74
2021-02-08,928,919,9,71
2021-02-09,933,924,9,74
2021-02-10,935,926,9,73
2021-02-11,936,927,9,68
2021-02-12,937,928,9,69
2021-02-13,937,928,9,69
2021-02-14,937,928,9,69
2021-02-15,937,928,9,69
2021-02-16,937,928,9,69
2021-02-17,938,929,9,50
2021-02-18,940,931,9,45
2021-02-19,941,932,9,44
2021-02-20,942,933,9,40
2021-02-21,942,933,9,40
2021-02-22,942,933,9,40
2021-02-23,942,933,9,40
2021-02-24,946,937,9,38
2021-02-25,951,942,9,36
2021-02-26,951,942,9,36
2021-02-27,954,945,9,28
2021-02-28,955,946,9,27
2021-03-01,955,946,9,27
2021-03-02,955,946,9,27
2021-03-03,958,949,9,23
2021-03-04,960,951,9,23
2021-03-05,960,951,9,23
2021-03-06,967,957,10,25
2021-03-07,969,959,10,27
2021-03-08,976,966,10,34
2021-03-09,977,967,10,35
2021-03-10,978,968,10,32
2021-03-11,978,968,10,32
2021-03-12,984,974,10,32
2021-03-13,984,974,10,32
2021-03-14,985,975,10,25
2021-03-15,990,980,10,29
2021-03-16,990,980,10,29
2021-03-17,990,980,10,24
2021-03-18,998,988,10,30
2021-03-19,1004,994,10,35
2021-03-20,1005,995,10,34
2021-03-21,1006,996,10,33
2021-03-22,1006,996,10,33
2021-03-23,1007,997,10,28
2021-03-24,1009,999,10,30
2021-03-25,1012,1002,10,31
2021-03-26,1013,1003,10,30
2021-03-27,1020,1010,10,32
2021-03-28,1022,1012,10,33
2021-03-29,1023,1013,10,34
2021-03-30,1024,1014,10,33
2021-03-31,1030,1020,10,39
2021-04-01,1036,1026,10,43
2021-04-02,1039,1029,10,42
2021-04-03,1045,1035,10,43
2021-04-04,1047,1037,10,40
2021-04-05,1048,1038,10,34
2021-04-06,1050,1040,10,36
2021-04-07,1050,1040,10,33
2021-04-08,1050,1040,10,33
2021-04-09,1054,1044,10,26
2021-04-10,1056,1046,10,26
2021-04-11,1057,1046,11,24
2021-04-12,1058,1047,11,21
2021-04-13,1062,1051,11,24
2021-04-14,1067,1056,11,27
2021-04-15,1068,1057,11,26
2021-04-16,1070,1059,11,27
2021-04-17,1072,1061,11,28
2021-04-18,1073,1062,11,29
2021-04-19,1076,1065,11,31
2021-04-20,1078,1067,11,29
2021-04-21,1082,1071,11,33
2021-04-22,1086,1075,11,34
2021-04-23,1090,1079,11,35
2021-04-24,1097,1085,12,40
2021-04-25,1100,1088,12,43
2021-04-26,1104,1092,12,46
2021-04-27,1110,1098,12,48
2021-04-28,1116,1104,12,54
2021-04-29,1121,1109,12,58
2021-04-30,1128,1116,12,63
2021-05-01,1132,1120,12,67
2021-05-02,1137,1125,12,70
2021-05-03,1145,1133,12,75
2021-05-04,1153,1141,12,74
2021-05-05,1160,1148,12,74
2021-05-06,1173,1161,12,86
2021-05-07,1178,1166,12,89
2021-05-08,1183,1171,12,89
2021-05-09,1184,1172,12,83
2021-05-10,1199,1187,12,98
2021-05-11,1210,1198,12,105
2021-05-12,1231,1219,12,122
2021-05-13,1256,1244,12,142
2021-05-14,1290,1278,12,171
2021-05-15,1475,1463,12,347
2021-05-16,1682,1670,12,554
2021-05-17,2017,2005,12,882
2021-05-18,2260,2246,14,1119
2021-05-19,2533,2519,14,1386
2021-05-20,2825,2810,15,1677
2021-05-21,3139,3124,15,1991
2021-05-22,3862,3845,17,2712
2021-05-23,4322,4299,23,3166
2021-05-24,4917,4888,29,3755
2021-05-25,5456,5421,35,4288
2021-05-26,6091,6045,46,4912
2021-05-27,6761,6702,59,5569
2021-05-28,7315,7237,78,6104
2021-05-29,7806,7707,99,6574
2021-05-30,8160,8051,109,6918
2021-05-31,8511,8387,124,7254
