date,confirmed,recovered,deaths,active
2020-01-22,4,4,0,2
2020-01-23,4,4,0,2
2020-01-24,5,5,0,2
2020-01-25,6,6,0,3
2020-01-26,8,8,0,2
2020-01-27,8,8,0,2
2020-01-28,14,14,0,8
2020-01-29,14,14,0,8
2020-01-30,14,14,0,7
2020-01-31,19,19,0,11
2020-02-01,19,19,0,11
2020-02-02,19,19,0,10
2020-02-03,19,19,0,10
2020-02-04,25,25,0,15
2020-02-05,25,25,0,15
2020-02-06,25,25,0,15
2020-02-07,25,25,0,15
2020-02-08,32,32,0,22
2020-02-09,32,32,0,21
2020-02-10,32,32,0,21
2020-02-11,33,33,0,22
2020-02-12,33,33,0,22
2020-02-13,33,33,0,22
2020-02-14,33,33,0,22
2020-02-15,34,34,0,21
2020-02-16,34,34,0,19
2020-02-17,35,35,0,20
2020-02-18,35,35,0,20
2020-02-19,35,35,0,20
2020-02-20,35,35,0,18
2020-02-21,35,35,0,16
2020-02-22,35,35,0,15
2020-02-23,35,35,0,14
2020-02-24,35,35,0,14
2020-02-25,37,37,0,15
2020-02-26,40,40,0,16
2020-02-27,40,40,0,16
2020-02-28,41,41,0,13
2020-02-29,42,42,0,14
2020-03-01,42,41,1,11
2020-03-02,43,42,1,11
2020-03-03,43,42,1,11
2020-03-04,43,42,1,11
2020-03-05,47,46,1,15
2020-03-06,48,47,1,16
2020-03-07,50,49,1,18
2020-03-08,50,49,1,16
2020-03-09,50,49,1,16
2020-03-10,53,52,1,19
2020-03-11,59,58,1,24
2020-03-12,72,71,1,36
2020-03-13,75,74,1,39
2020-03-14,82,81,1,46
2020-03-15,114,113,1,76
2020-03-16,147,146,1,108
2020-03-17,177,176,1,135
2020-03-18,212,211,1,169
2020-03-19,272,271,1,229
2020-03-20,322,321,1,278
2020-03-21,411,410,1,366
2020-03-22,599,598,1,553
2020-03-23,721,720,1,676
2020-03-24,827,822,5,765
2020-03-25,934,929,5,859
2020-03-26,1045,1040,5,952
2020-03-27,1136,1131,5,1034
2020-03-28,1244,1238,6,1138
2020-03-29,1385,1378,7,1267
2020-03-30,1523,1514,9,1387
2020-03-31,1651,1641,10,1299
2020-04-01,1771,1759,12,1343
2020-04-02,1875,1860,15,1355
2020-04-03,1978,1959,19,1378
2020-04-04,2067,2047,20,1435
2020-04-05,2169,2146,23,1472
2020-04-06,2220,2194,26,1401
2020-04-07,2258,2231,27,1407
2020-04-08,2369,2337,32,1449
2020-04-09,2423,2391,32,1451
2020-04-10,2473,2440,33,1427
2020-04-11,2518,2483,35,1348
2020-04-12,2551,2513,38,1295
2020-04-13,2579,2539,40,1251
2020-04-14,2613,2572,41,1167
2020-04-15,2643,2600,43,1103
2020-04-16,2672,2626,46,1033
2020-04-17,2700,2653,47,964
2020-04-18,2733,2686,47,899
2020-04-19,2765,2718,47,790
2020-04-20,2792,2745,47,746
2020-04-21,2811,2762,49,654
2020-04-22,2826,2777,49,425
2020-04-23,2839,2789,50,359
2020-04-24,2854,2804,50,314
2020-04-25,2907,2856,51,309
2020-04-26,2922,2871,51,277
2020-04-27,2931,2879,52,270
2020-04-28,2938,2884,54,232
2020-04-29,2947,2893,54,228
2020-04-30,2954,2900,54,213
2020-05-01,2960,2906,54,187
2020-05-02,2966,2912,54,180
2020-05-03,2969,2915,54,176
2020-05-04,2987,2933,54,193
2020-05-05,2988,2934,54,187
2020-05-06,2989,2934,55,173
2020-05-07,2992,2937,55,165
2020-05-08,3000,2945,55,161
2020-05-09,3004,2948,56,161
2020-05-10,3009,2953,56,159
2020-05-11,3015,2959,56,163
2020-05-12,3017,2961,56,163
2020-05-13,3017,2961,56,117
2020-05-14,3018,2962,56,112
2020-05-15,3025,2969,56,115
2020-05-16,3025,2969,56,114
2020-05-17,3028,2972,56,116
2020-05-18,3031,2975,56,118
2020-05-19,3033,2977,56,120
2020-05-20,3034,2978,56,90
2020-05-21,3037,2981,56,84
2020-05-22,3037,2981,56,71
2020-05-23,3040,2984,56,68
2020-05-24,3040,2983,57,62
2020-05-25,3042,2985,57,57
2020-05-26,3045,2988,57,59
2020-05-27,3054,2997,57,66
2020-05-28,3065,3008,57,63
2020-05-29,3076,3019,57,74
2020-05-30,3077,3020,57,59
2020-05-31,3081,3024,57,61
2020-06-01,3082,3025,57,60
2020-06-02,3083,3025,58,59
2020-06-03,3084,3026,58,58
2020-06-04,3101,3043,58,75
2020-06-05,3102,3044,58,73
2020-06-06,3104,3046,58,75
2020-06-07,3112,3054,58,82
2020-06-08,3119,3061,58,88
2020-06-09,3121,3063,58,90
2020-06-10,3125,3067,58,86
2020-06-11,3125,3067,58,80
2020-06-12,3129,3071,58,84
2020-06-13,3134,3076,58,89
2020-06-14,3135,3077,58,90
2020-06-15,3135,3077,58,90
2020-06-16,3135,3077,58,84
2020-06-17,3135,3077,58,81
2020-06-18,3141,3083,58,86
2020-06-19,3146,3088,58,80
2020-06-20,3147,3089,58,71
2020-06-21,3148,3090,58,72
2020-06-22,3151,3093,58,71
2020-06-23,3156,3098,58,75
2020-06-24,3157,3099,58,73
2020-06-25,3158,3100,58,62
