date,confirmed,recovered,deaths,active
2020-01-22,1,1,0,1
2020-01-23,1,1,0,1
2020-01-24,2,2,0,2
2020-01-25,2,2,0,2
2020-01-26,5,5,0,5
2020-01-27,5,5,0,5
2020-01-28,5,5,0,5
2020-01-29,6,6,0,6
2020-01-30,6,6,0,6
2020-01-31,8,8,0,8
2020-02-01,8,8,0,8
2020-02-02,8,8,0,8
2020-02-03,11,11,0,11
2020-02-04,11,11,0,11
2020-02-05,11,11,0,11
2020-02-06,12,12,0,12
2020-02-07,12,12,0,12
2020-02-08,12,12,0,12
2020-02-09,12,12,0,9
2020-02-10,12,12,0,9
2020-02-11,13,13,0,10
2020-02-12,13,13,0,10
2020-02-13,14,14,0,11
2020-02-14,14,14,0,11
2020-02-15,14,14,0,11
2020-02-16,14,14,0,11
2020-02-17,14,14,0,11
2020-02-18,14,14,0,11
2020-02-19,14,14,0,11
2020-02-20,14,14,0,11
2020-02-21,16,16,0,11
2020-02-22,16,16,0,11
2020-02-23,16,16,0,11
2020-02-24,16,16,0,11
2020-02-25,16,16,0,10
2020-02-26,16,16,0,10
2020-02-27,17,17,0,11
2020-02-28,17,17,0,10
2020-02-29,25,24,1,17
2020-03-01,32,31,1,24
2020-03-02,55,49,6,42
2020-03-03,74,67,7,60
2020-03-04,107,96,11,89
2020-03-05,184,172,12,165
2020-03-06,237,223,14,216
2020-03-07,403,386,17,379
2020-03-08,519,498,21,491
2020-03-09,594,572,22,565
2020-03-10,782,754,28,746
2020-03-11,1147,1114,33,1106
2020-03-12,1586,1543,43,1531
2020-03-13,2219,2168,51,2156
2020-03-14,2978,2920,58,2908
2020-03-15,3212,3142,70,3130
2020-03-16,4679,4582,97,4565
2020-03-17,6512,6378,134,6361
2020-03-18,9169,8975,194,8870
2020-03-19,13663,13397,266,13276
2020-03-20,20030,19658,372,19511
2020-03-21,26025,25550,475,25374
2020-03-22,34944,34341,603,34163
2020-03-23,46096,45306,790,45128
2020-03-24,56714,55681,1033,55333
2020-03-25,68841,67475,1366,67114
2020-03-26,86662,84879,1783,84198
2020-03-27,105253,102948,2305,102079
2020-03-28,127417,124399,3018,123327
2020-03-29,143544,139971,3573,137306
2020-03-30,165698,161418,4280,155774
2020-03-31,192079,186720,5359,179696
2020-04-01,227903,220907,6996,212433
2020-04-02,260183,251627,8556,242626
2020-04-03,292630,282645,9985,272938
2020-04-04,324340,312735,11605,298083
2020-04-05,353117,339890,13227,322442
2020-04-06,385110,370121,14989,350540
2020-04-07,415256,397661,17595,375898
2020-04-08,446500,426753,19747,403194
2020-04-09,482526,460523,22003,435113
2020-04-10,516707,492490,24217,463700
2020-04-11,545693,519373,26320,488103
2020-04-12,571551,543348,28203,510360
2020-04-13,598794,568590,30204,525108
2020-04-14,627306,594621,32685,546858
2020-04-15,653669,618360,35309,566264
2020-04-16,683351,645855,37496,591152
2020-04-17,716508,676908,39600,618363
2020-04-18,743857,702314,41543,637474
2020-04-19,768888,725378,43510,655041
2020-04-20,799531,753736,45795,681407
2020-04-21,825478,777232,48246,702028
2020-04-22,855445,804733,50712,727367
2020-04-23,887523,834385,53138,754182
2020-04-24,919014,863813,55201,764734
2020-04-25,949640,892700,56940,792328
2020-04-26,975537,917183,58354,810195
2020-04-27,1000230,940390,59840,828966
2020-04-28,1024834,962760,62074,846824
2020-04-29,1051643,987195,64448,866475
2020-04-30,1081150,1014512,66638,860565
2020-05-01,1115972,1047454,68518,883439
2020-05-02,1142619,1072328,70291,896946
2020-05-03,1166189,1094697,71492,914545
2020-05-04,1190240,1117378,72862,930198
2020-05-05,1214321,1139280,75041,949489
2020-05-06,1238694,1161335,77359,971425
2020-05-07,1266904,1187642,79262,992606
2020-05-08,1294111,1213078,81033,1014085
2020-05-09,1318358,1235854,82504,1023320
2020-05-10,1337061,1253556,83505,1037387
2020-05-11,1356283,1271752,84531,1039019
2020-05-12,1379661,1293542,86119,1063255
2020-05-13,1399662,1311848,87814,1068418
2020-05-14,1425539,1335958,89581,1089544
2020-05-15,1449938,1358733,91205,1107986
2020-05-16,1473806,1381432,92374,1113056
2020-05-17,1492449,1399258,93191,1126993
2020-05-18,1514833,1420420,94413,1137242
2020-05-19,1535591,1439751,95840,1150359
2020-05-20,1558430,1461120,97310,1166808
2020-05-21,1583542,1485051,98491,1186633
2020-05-22,1607464,1507769,99695,1157634
2020-05-23,1627392,1526618,100774,1165379
2020-05-24,1647513,1546103,101410,1179367
2020-05-25,1666699,1564689,102010,1185532
2020-05-26,1685395,1582731,102664,1197829
2020-05-27,1704200,1600084,104116,1208576
2020-05-28,1725329,1620148,105181,1220157
2020-05-29,1750066,1643776,106290,1237330
2020-05-30,1772783,1665547,107236,1249086
2020-05-31,1791547,1683690,107857,1238932
2020-06-01,1809384,1700760,108624,1242529
2020-06-02,1829340,1719737,109603,1255869
2020-06-03,1848388,1737785,110603,1258527
2020-06-04,1876099,1764498,111601,1279496
2020-06-05,1902280,1789809,112471,1298103
2020-06-06,1922433,1809324,113109,1308475
2020-06-07,1940242,1826673,113569,1320306
2020-06-08,1957154,1843083,114071,1324561
2020-06-09,1977478,1862498,114980,1337643
2020-06-10,1999224,1883388,115836,1349884
2020-06-11,2021527,1904883,116644,1364591
2020-06-12,2047082,1929616,117466,1382230
2020-06-13,2071218,1953044,118174,1396438
2020-06-14,2090171,1971649,118522,1409833
2020-06-15,2111266,1992346,118920,1416012
2020-06-16,2135894,2016199,119695,1432696
2020-06-17,2162973,2042537,120436,1450346
2020-06-18,2191211,2070079,121132,1470964
2020-06-19,2222207,2100447,121760,1493732
2020-06-20,2254073,2131750,122323,1514290
2020-06-21,2279932,2157290,122642,1535157
2020-06-22,2309921,2186900,123021,1546702
2020-06-23,2348750,2224998,123752,1577450
2020-06-24,2385029,2260522,124507,1604361
2020-06-25,2424386,2299328,125058,1635766
2020-06-26,2473472,2347785,125687,1676976
2020-06-27,2514305,2388119,126186,1708811
2020-06-28,2557223,2430711,126512,1745547
2020-06-29,2598741,2471860,126881,1766657
2020-06-30,2648797,2521365,127432,1800734
2020-07-01,2698127,2569993,128134,1839999
2020-07-02,2753211,2624328,128883,1842358
2020-07-03,2804869,2675310,129559,1884906
2020-07-04,2850893,2721026,129867,1826701
2020-07-05,2904843,2774642,130201,1867879
2020-07-06,2948475,2817900,130575,1893752
2020-07-07,3005888,2874169,131719,1937693
2020-07-08,3066392,2933830,132562,1980368
2020-07-09,3126224,2992623,133601,2023512
2020-07-10,3194746,3060344,134402,2077159
2020-07-11,3255187,3120020,135167,2124444
2020-07-12,3315407,3179775,135632,2173449
2020-07-13,3375032,3238948,136084,2207009
2020-07-14,3440789,3303801,136988,2254703
2020-07-15,3507088,3369146,137942,2293264
2020-07-16,3577862,3438959,138903,2348314
2020-07-17,3644284,3504440,139844,2397236
2020-07-18,3708609,3567876,140733,2445156
2020-07-19,3767602,3626405,141197,2495284
2020-07-20,3828458,3686708,141750,2526621
2020-07-21,3896753,3753930,142823,2571912
2020-07-22,3964203,3820137,144066,2609288
2020-07-23,4031970,3886848,145122,2653579
2020-07-24,4106919,3960687,146232,2699063
2020-07-25,4170674,4023493,147181,2744079
2020-07-26,4226305,4078561,147744,2780698
2020-07-27,4286302,4137454,148848,2811650
2020-07-28,4350866,4200803,150063,2845440
2020-07-29,4414918,4263441,151477,2874016
2020-07-30,4484122,4331344,152778,2917189
2020-07-31,4548497,4394528,153969,2956368
2020-08-01,4605921,4450862,155059,2988977
2020-08-02,4652810,4497275,155535,3028586
2020-08-03,4694706,4538579,156127,3025133
2020-08-04,4756327,4598952,157375,3069973
2020-08-05,4810464,4651694,158770,3073843
2020-08-06,4870500,4710529,159971,3111905
2020-08-07,4930941,4769675,161266,3145805
2020-08-08,4994708,4832369,162339,3189251
2020-08-09,5048871,4885955,162916,3229091
2020-08-10,5100508,4937068,163440,3266313
2020-08-11,5157384,4992867,164517,3277907
2020-08-12,5212606,5046557,166049,3292797
2020-08-13,5264052,5096975,167077,3322327
2020-08-14,5334124,5165761,168363,3369435
2020-08-15,5386449,5217026,169423,3398499
2020-08-16,5421026,5250992,170034,3417925
2020-08-17,5459023,5288530,170493,3422950
2020-08-18,5503998,5332278,171720,3434119
2020-08-19,5549913,5377492,172421,3452443
2020-08-20,5595048,5421547,173501,3474512
2020-08-21,5642948,5468332,174616,3503276
2020-08-22,5688219,5512641,175578,3527157
2020-08-23,5720122,5544065,176057,3546304
2020-08-24,5754213,5577702,176511,3556928
2020-08-25,5796775,5619046,177729,3565347
2020-08-26,5838967,5660095,178872,3575630
2020-08-27,5889404,5709425,179979,3608099
2020-08-28,5935724,5754818,180906,3636451
2020-08-29,5978795,5796926,181869,3656312
2020-08-30,6012963,5830654,182309,3676715
2020-08-31,6046489,5863695,182794,3678870
2020-09-01,6088458,5904603,183855,3701940
2020-09-02,6128576,5943649,184927,3711892
2020-09-03,6173787,5987837,185950,3720880
2020-09-04,6222446,6035546,186900,3752092
2020-09-05,6265684,6077993,187691,3775806
2020-09-06,6294762,6106635,188127,3790640
2020-09-07,6319464,6131014,188450,3797463
2020-09-08,6346567,6157644,188923,3798533
2020-09-09,6380418,6190395,190023,3802916
2020-09-10,6420040,6229110,190930,3825599
2020-09-11,6464865,6272793,192072,3854915
2020-09-12,6510480,6317670,192810,3883012
2020-09-13,6550788,6357586,193202,3906180
2020-09-14,6583689,6390063,193626,3915493
2020-09-15,6621128,6426313,194815,3931186
2020-09-16,6659477,6463730,195747,3938157
2020-09-17,6704918,6508324,196594,3967990
2020-09-18,6755145,6557596,197549,4001131
2020-09-19,6800800,6602585,198215,4025139
2020-09-20,6842405,6643931,198474,4053260
2020-09-21,6874665,6675780,198885,4059831
2020-09-22,6912973,6713066,199907,4066107
2020-09-23,6954203,6753244,200959,4082988
2020-09-24,7003200,6801345,201855,4091162
2020-09-25,7050826,6848059,202767,4120724
2020-09-26,7094716,6891186,203530,4140727
2020-09-27,7128423,6924588,203835,4158308
2020-09-28,7164994,6960821,204173,4166213
2020-09-29,7207284,7002232,205052,4188927
2020-09-30,7246200,7040243,205957,4199555
2020-10-01,7292562,7085710,206852,4225060
2020-10-02,7346109,7138368,207741,4264999
2020-10-03,7395489,7187076,208413,4289754
2020-10-04,7428859,7220061,208798,4308362
2020-10-05,7466806,7257534,209272,4322392
2020-10-06,7511827,7301867,209960,4349477
2020-10-07,7561294,7350431,210863,4350536
2020-10-08,7619507,7407671,211836,4386419
2020-10-09,7674838,7462052,212786,4422963
2020-10-10,7730092,7516658,213434,4453675
2020-10-11,7776972,7563075,213897,4487998
2020-10-12,7819927,7605637,214290,4498909
2020-10-13,7870523,7655481,215042,4530888
2020-10-14,7929694,7713666,216028,4557872
2020-10-15,7993556,7776689,216867,4599292
2020-10-16,8063866,7846073,217793,4648534
2020-10-17,8118716,7900134,218582,4679561
2020-10-18,8171010,7951968,219042,4717830
2020-10-19,8239747,8020195,219552,4747592
2020-10-20,8302318,8081818,220500,4786670
2020-10-21,8363743,8142081,221662,4818727
2020-10-22,8443959,8221417,222542,4868361
2020-10-23,8526091,8302595,223496,4927168
2020-10-24,8604190,8379722,224468,4973066
2020-10-25,8664567,8439647,224920,5016769
2020-10-26,8729037,8503558,225479,5043103
2020-10-27,8808014,8581538,226476,5093872
2020-10-28,8896402,8668886,227516,5150746
2020-10-29,8989081,8760571,228510,5206235
2020-10-30,9089580,8859998,229582,5281546
2020-10-31,9176352,8945807,230545,5333329
2020-11-01,9254490,9023436,231054,5392857
2020-11-02,9338428,9106645,231783,5431664
2020-11-03,9465330,9231923,233407,5526793
2020-11-04,9567399,9332911,234488,5589384
2020-11-05,9697431,9461729,235702,5679978
2020-11-06,9826558,9589673,236885,5778882
2020-11-07,9953780,9715769,238011,5864304
2020-11-08,10073148,9834561,238587,5953070
2020-11-09,10192673,9953283,239390,6024438
2020-11-10,10331774,10090920,240854,6129047
2020-11-11,10481333,10239016,242317,6241841
2020-11-12,10640976,10397420,243556,6346164
2020-11-13,10819737,10574988,244749,6479842
2020-11-14,10982694,10736545,246149,6588101
2020-11-15,11121208,10874300,246908,6699416
2020-11-16,11276945,11029163,247782,6784352
2020-11-17,11444297,11194774,249523,6901134
2020-11-18,11617713,11366257,251456,7015468
2020-11-19,11809680,11556212,253468,7145503
2020-11-20,12010765,11755295,255470,7297365
2020-11-21,12188369,11931267,257102,7401567
2020-11-22,12333604,12075426,258178,7548913
2020-11-23,12517890,12258576,259314,7624976
2020-11-24,12692858,12431368,261490,7734704
2020-11-25,12874109,12610392,263717,7774436
2020-11-26,12987020,12721903,265117,7850700
2020-11-27,13202222,12935485,266737,7988039
2020-11-28,13369711,13101563,268148,8078500
2020-11-29,13509384,13240192,269192,8175162
2020-11-30,13667915,13397314,270601,8250995
2020-12-01,13866746,13593647,273099,8367066
2020-12-02,14063762,13787790,275972,8465662
2020-12-03,14283185,14004307,278878,8600289
2020-12-04,14518319,14236814,281505,8766425
2020-12-05,14738242,14454341,283901,8878315
2020-12-06,14916373,14631050,285323,9006606
2020-12-07,15112614,14825661,286953,9111104
2020-12-08,15340113,15050559,289554,9263644
2020-12-09,15555848,15263335,292513,9373439
2020-12-10,15791625,15496199,295426,9511152
2020-12-11,16028527,15729769,298758,9594455
2020-12-12,16251283,15950020,301263,9703415
2020-12-13,16441925,16139094,302831,9841012
2020-12-14,16652286,16347758,304528,16347758
2020-12-15,16879507,16572081,307426,16572081
2020-12-16,17113650,16802558,311092,16802558
2020-12-17,17352824,17038319,314505,17038319
2020-12-18,17599264,17281804,317460,17281804
2020-12-19,17804289,17484092,320197,17484092
2020-12-20,17990458,17668560,321898,17668560
2020-12-21,18187883,17864159,323724,17864159
2020-12-22,18393673,18066650,327023,18066650
2020-12-23,18614460,18284134,330326,18284134
2020-12-24,18826055,18492868,333187,18492868
2020-12-25,18951579,18616889,334690,18616889
2020-12-26,19169547,18832946,336601,18832946
2020-12-27,19305730,18967662,338068,18967662
2020-12-28,19480363,19140395,339968,19140395
2020-12-29,19687204,19343698,343506,19343698
2020-12-30,19905952,19558566,347386,19558566
2020-12-31,20219878,19869274,350604,19869274
2021-01-01,20397398,20044554,352844,20044554
2021-01-02,20670022,20314586,355436,20314586
2021-01-03,20873235,20516398,356837,20516398
2021-01-04,21059968,20701115,358853,20701115
2021-01-05,21292110,20929681,362429,20929681
2021-01-06,21551825,21185526,366299,21185526
2021-01-07,21836888,21466596,370292,21466596
2021-01-08,22139748,21765228,374520,21765228
2021-01-09,22403252,22025573,377679,22025573
2021-01-10,22613198,22233429,379769,22233429
2021-01-11,22817700,22436080,381620,22436080
2021-01-12,23040116,22654147,385969,22654147
2021-01-13,23268791,22878854,389937,22878854
2021-01-14,23503715,23109998,393717,23109998
2021-01-15,23748051,23350521,397530,23350521
2021-01-16,23965033,23563953,401080,23563953
2021-01-17,24141198,23738103,403095,23738103
2021-01-18,24282482,23877804,404678,23877804
2021-01-19,24439496,24032444,407052,24032444
2021-01-20,24627164,24215707,411457,24215707
2021-01-21,24819191,24403671,415520,24403671
2021-01-22,25010547,24591261,419286,24591261
2021-01-23,25187886,24765077,422809,24765077
2021-01-24,25327681,24903043,424638,24903043
