date,confirmed,recovered,deaths,active
2020-01-22,0,0,0,0
2020-01-23,0,0,0,0
2020-01-24,0,0,0,0
2020-01-25,0,0,0,0
2020-01-26,0,0,0,0
2020-01-27,0,0,0,0
2020-01-28,0,0,0,0
2020-01-29,4,4,0,4
2020-01-30,4,4,0,4
2020-01-31,4,4,0,4
2020-02-01,4,4,0,4
2020-02-02,5,5,0,5
2020-02-03,5,5,0,5
2020-02-04,5,5,0,5
2020-02-05,5,5,0,5
2020-02-06,5,5,0,5
2020-02-07,5,5,0,5
2020-02-08,7,7,0,7
2020-02-09,7,7,0,7
2020-02-10,8,8,0,8
2020-02-11,8,8,0,8
2020-02-12,8,8,0,7
2020-02-13,8,8,0,7
2020-02-14,8,8,0,7
2020-02-15,8,8,0,5
2020-02-16,9,9,0,5
2020-02-17,9,9,0,5
2020-02-18,9,9,0,5
2020-02-19,9,9,0,5
2020-02-20,9,9,0,5
2020-02-21,9,9,0,5
2020-02-22,13,13,0,9
2020-02-23,13,13,0,9
2020-02-24,13,13,0,9
2020-02-25,13,13,0,9
2020-02-26,13,13,0,9
2020-02-27,13,13,0,9
2020-02-28,19,19,0,14
2020-02-29,21,21,0,16
2020-03-01,21,21,0,16
2020-03-02,21,21,0,16
2020-03-03,27,27,0,22
2020-03-04,27,27,0,22
2020-03-05,29,29,0,24
2020-03-06,29,29,0,24
2020-03-07,45,45,0,38
2020-03-08,45,45,0,38
2020-03-09,45,45,0,38
2020-03-10,74,74,0,62
2020-03-11,74,74,0,57
2020-03-12,85,85,0,68
2020-03-13,85,85,0,68
2020-03-14,85,85,0,68
2020-03-15,98,98,0,75
2020-03-16,98,98,0,75
2020-03-17,98,98,0,75
2020-03-18,113,113,0,87
2020-03-19,140,140,0,109
2020-03-20,140,138,2,107
2020-03-21,153,151,2,113
2020-03-22,153,151,2,113
2020-03-23,198,196,2,158
2020-03-24,248,246,2,201
2020-03-25,333,331,2,279
2020-03-26,333,331,2,279
2020-03-27,405,403,2,351
2020-03-28,468,466,2,414
2020-03-29,570,567,3,509
2020-03-30,611,606,5,545
2020-03-31,664,658,6,597
2020-04-01,814,806,8,745
2020-04-02,1024,1016,8,920
2020-04-03,1264,1255,9,1147
