date,confirmed,recovered,deaths,active
2020-01-22,0,0,0,0
2020-01-23,0,0,0,0
2020-01-24,0,0,0,0
2020-01-25,0,0,0,0
2020-01-26,0,0,0,0
2020-01-27,0,0,0,0
2020-01-28,0,0,0,0
2020-01-29,0,0,0,0
2020-01-30,0,0,1,1
2020-01-31,2,1,1,1
2020-02-01,2,1,1,1
2020-02-02,2,1,2,0
2020-02-03,8,6,2,6
2020-02-04,8,6,2,6
2020-02-05,9,7,2,7
2020-02-06,9,7,2,7
2020-02-07,9,7,2,7
2020-02-08,13,11,2,11
2020-02-09,14,12,2,12
2020-02-10,14,12,2,12
2020-02-11,15,13,2,13
2020-02-12,16,14,2,13
2020-02-13,17,15,2,14
2020-02-14,18,16,2,15
2020-02-15,18,16,2,15
2020-02-16,18,16,2,8
2020-02-17,19,17,2,9
2020-02-18,19,17,2,9
2020-02-19,20,18,2,10
2020-02-20,22,20,2,12
2020-02-21,23,21,2,13
2020-02-22,23,20,3,12
2020-02-23,28,25,3,17
2020-02-24,30,27,3,19
2020-02-25,34,31,3,23
2020-02-26,37,34,3,26
2020-02-27,44,41,3,33
2020-02-28,56,53,3,45
2020-02-29,61,58,3,50
2020-03-01,94,91,3,83
2020-03-02,134,130,4,122
2020-03-03,189,185,4,177
2020-03-04,246,241,5,233
2020-03-05,295,288,7,280
2020-03-06,374,365,9,357
2020-03-07,429,420,9,402
2020-03-08,483,472,11,454
2020-03-09,630,614,16,596
2020-03-10,888,869,19,850
2020-03-11,1299,1273,26,1254
2020-03-12,1788,1749,39,1730
2020-03-13,2268,2213,55,2194
2020-03-14,2632,2556,76,2537
2020-03-15,3074,2967,107,2948
2020-03-16,3686,3527,159,3506
2020-03-17,4456,4239,217,4186
2020-03-18,5462,5171,291,5103
2020-03-19,6523,6153,370,6085
2020-03-20,7778,7290,488,7222
2020-03-21,8975,8343,632,8275
2020-03-22,10398,9584,814,9517
2020-03-23,12747,11725,1022,11658
2020-03-24,15139,13854,1285,13714
2020-03-25,17847,16225,1622,16085
2020-03-26,20958,18923,2035,18773
2020-03-27,24203,21704,2499,21553
2020-03-28,27055,24040,3015,23889
2020-03-29,29949,26348,3601,26197
2020-03-30,34251,29937,4314,29766
