date,confirmed,recovered,deaths,active
2020-01-22,0,0,0,0
2020-01-23,2,2,0,2
2020-01-24,2,2,0,2
2020-01-25,2,2,0,2
2020-01-26,2,2,0,2
2020-01-27,2,2,0,2
2020-01-28,2,2,0,2
2020-01-29,2,2,0,2
2020-01-30,2,2,0,2
2020-01-31,2,2,0,2
2020-02-01,6,6,0,5
2020-02-02,6,6,0,5
2020-02-03,8,8,0,7
2020-02-04,8,8,0,7
2020-02-05,8,8,0,7
2020-02-06,10,10,0,9
2020-02-07,10,10,0,9
2020-02-08,13,13,0,12
2020-02-09,13,13,0,12
2020-02-10,14,14,0,13
2020-02-11,15,15,0,9
2020-02-12,15,15,0,9
2020-02-13,16,16,0,9
2020-02-14,16,16,0,9
2020-02-15,16,16,0,9
2020-02-16,16,16,0,9
2020-02-17,16,16,0,9
2020-02-18,16,16,0,9
2020-02-19,16,16,0,9
2020-02-20,16,16,0,9
2020-02-21,16,16,0,2
2020-02-22,16,16,0,2
2020-02-23,16,16,0,2
2020-02-24,16,16,0,2
2020-02-25,16,16,0,0
2020-02-26,16,16,0,0
2020-02-27,16,16,0,0
2020-02-28,16,16,0,0
2020-02-29,16,16,0,0
2020-03-01,16,16,0,0
2020-03-02,16,16,0,0
2020-03-03,16,16,0,0
2020-03-04,16,16,0,0
2020-03-05,16,16,0,0
2020-03-06,16,16,0,0
2020-03-07,18,18,0,2
2020-03-08,30,30,0,14
2020-03-09,30,30,0,14
2020-03-10,31,31,0,15
2020-03-11,38,38,0,22
2020-03-12,39,39,0,23
2020-03-13,47,47,0,31
2020-03-14,53,53,0,37
2020-03-15,56,56,0,40
2020-03-16,61,61,0,45
2020-03-17,66,66,0,50
2020-03-18,75,75,0,59
2020-03-19,85,85,0,69
2020-03-20,91,91,0,75
2020-03-21,94,94,0,77
2020-03-22,113,113,0,96
2020-03-23,123,123,0,106
2020-03-24,134,134,0,117
2020-03-25,141,141,0,124
2020-03-26,153,153,0,133
2020-03-27,163,163,0,143
2020-03-28,174,174,0,153
2020-03-29,188,188,0,163
2020-03-30,203,203,0,148
2020-03-31,212,212,0,154
2020-04-01,218,218,0,155
2020-04-02,233,233,0,158
2020-04-03,237,237,0,152
2020-04-04,240,240,0,150
2020-04-05,241,241,0,151
2020-04-06,245,245,0,150
2020-04-07,249,249,0,126
2020-04-08,251,251,0,125
2020-04-09,255,255,0,127
2020-04-10,257,257,0,113
2020-04-11,258,258,0,114
2020-04-12,262,262,0,118
2020-04-13,265,265,0,119
2020-04-14,266,266,0,97
2020-04-15,267,267,0,96
2020-04-16,268,268,0,91
2020-04-17,268,268,0,70
2020-04-18,268,268,0,67
2020-04-19,268,268,0,66
2020-04-20,268,268,0,54
2020-04-21,268,268,0,52
2020-04-22,268,268,0,45
2020-04-23,268,268,0,44
2020-04-24,270,270,0,50
2020-04-25,270,270,0,45
2020-04-26,270,270,0,45
2020-04-27,270,270,0,45
2020-04-28,270,270,0,48
2020-04-29,270,270,0,48
2020-04-30,270,270,0,51
2020-05-01,270,270,0,51
2020-05-02,270,270,0,51
2020-05-03,271,271,0,52
2020-05-04,271,271,0,52
2020-05-05,271,271,0,39
2020-05-06,271,271,0,39
2020-05-07,288,288,0,55
2020-05-08,288,288,0,47
2020-05-09,288,288,0,47
2020-05-10,288,288,0,47
2020-05-11,288,288,0,39
2020-05-12,288,288,0,36
2020-05-13,288,288,0,36
2020-05-14,312,312,0,52
2020-05-15,314,314,0,54
2020-05-16,318,318,0,58
2020-05-17,320,320,0,60
2020-05-18,324,324,0,61
2020-05-19,324,324,0,61
2020-05-20,324,324,0,61
2020-05-21,324,324,0,58
2020-05-22,324,324,0,57
2020-05-23,325,325,0,58
2020-05-24,325,325,0,58
2020-05-25,326,326,0,54
2020-05-26,327,327,0,55
2020-05-27,327,327,0,49
2020-05-28,327,327,0,49
2020-05-29,328,328,0,49
2020-05-30,328,328,0,49
2020-05-31,328,328,0,49
2020-06-01,328,328,0,35
2020-06-02,328,328,0,30
2020-06-03,328,328,0,26
2020-06-04,328,328,0,26
2020-06-05,328,328,0,21
2020-06-06,329,329,0,22
2020-06-07,331,331,0,24
2020-06-08,332,332,0,16
2020-06-09,332,332,0,16
2020-06-10,332,332,0,12
2020-06-11,332,332,0,11
2020-06-12,333,333,0,10
2020-06-13,334,334,0,11
2020-06-14,334,334,0,11
2020-06-15,334,334,0,11
2020-06-16,334,334,0,9
2020-06-17,335,335,0,10
2020-06-18,342,342,0,17
2020-06-19,349,349,0,23
2020-06-20,349,349,0,22
2020-06-21,349,349,0,22
2020-06-22,349,349,0,21
2020-06-23,349,349,0,20
2020-06-24,352,352,0,23
2020-06-25,352,352,0,23
2020-06-26,353,353,0,23
2020-06-27,355,355,0,25
2020-06-28,355,355,0,25
2020-06-29,355,355,0,20
2020-06-30,355,355,0,20
2020-07-01,355,355,0,19
2020-07-02,355,355,0,15
2020-07-03,355,355,0,15
2020-07-04,355,355,0,15
2020-07-05,355,355,0,15
2020-07-06,369,369,0,28
2020-07-07,369,369,0,27
2020-07-08,369,369,0,22
2020-07-09,369,369,0,22
2020-07-10,370,370,0,20
2020-07-11,370,370,0,20
2020-07-12,372,372,0,22
2020-07-13,373,373,0,21
2020-07-14,373,373,0,21
2020-07-15,381,381,0,28
2020-07-16,381,381,0,25
2020-07-17,382,382,0,26
2020-07-18,382,382,0,25
2020-07-19,383,383,0,26
2020-07-20,384,384,0,24
2020-07-21,401,401,0,36
2020-07-22,408,408,0,43
2020-07-23,412,412,0,47
2020-07-24,415,415,0,50
2020-07-25,417,417,0,52
2020-07-26,420,420,0,55
2020-07-27,431,431,0,66
2020-07-28,446,446,0,77
2020-07-29,459,459,0,90
2020-07-30,509,509,0,136
2020-07-31,558,555,3,182
2020-08-01,590,587,3,214
2020-08-02,621,615,6,242
2020-08-03,652,645,7,271
2020-08-04,672,664,8,286
2020-08-05,717,708,9,327
2020-08-06,750,740,10,348
2020-08-07,789,779,10,384
2020-08-08,812,802,10,407
2020-08-09,841,828,13,433
2020-08-10,847,832,15,433
2020-08-11,866,850,16,399
2020-08-12,883,865,18,456
2020-08-13,911,890,21,465
2020-08-14,930,908,22,471
2020-08-15,951,927,24,480
2020-08-16,964,940,24,484
2020-08-17,983,958,25,491
2020-08-18,989,963,26,437
2020-08-19,994,969,25,436
2020-08-20,1007,982,25,440
2020-08-21,1009,984,25,439
2020-08-22,1014,988,26,425
2020-08-23,1016,989,27,421
2020-08-24,1022,995,27,408
2020-08-25,1029,1002,27,410
2020-08-26,1034,1004,30,372
2020-08-27,1036,1006,30,369
2020-08-28,1038,1008,30,345
2020-08-29,1040,1008,32,331
2020-08-30,1040,1008,32,313
2020-08-31,1044,1010,34,303
2020-09-01,1044,1010,34,275
2020-09-02,1046,1012,34,266
2020-09-03,1046,1011,35,256
2020-09-04,1049,1014,35,242
2020-09-05,1049,1014,35,209
2020-09-06,1049,1014,35,199
2020-09-07,1049,1014,35,161
2020-09-08,1054,1019,35,151
2020-09-09,1059,1024,35,134
2020-09-10,1059,1024,35,131
2020-09-11,1060,1025,35,123
2020-09-12,1060,1025,35,115
2020-09-13,1063,1028,35,110
2020-09-14,1063,1028,35,102
2020-09-15,1063,1028,35,97
2020-09-16,1063,1028,35,92
2020-09-17,1066,1031,35,91
2020-09-18,1068,1033,35,92
2020-09-19,1068,1033,35,91
2020-09-20,1068,1033,35,91
2020-09-21,1068,1033,35,86
2020-09-22,1068,1033,35,76
2020-09-23,1069,1034,35,43
2020-09-24,1069,1034,35,43
2020-09-25,1069,1034,35,35
2020-09-26,1069,1034,35,35
2020-09-27,1074,1039,35,40
2020-09-28,1077,1042,35,43
2020-09-29,1094,1059,35,52
2020-09-30,1094,1059,35,49
2020-10-01,1095,1060,35,50
2020-10-02,1096,1061,35,41
2020-10-03,1096,1061,35,41
2020-10-04,1096,1061,35,41
2020-10-05,1097,1062,35,40
2020-10-06,1098,1063,35,40
2020-10-07,1099,1064,35,41
2020-10-08,1100,1065,35,42
2020-10-09,1105,1070,35,46
2020-10-10,1107,1072,35,48
2020-10-11,1109,1074,35,50
2020-10-12,1110,1075,35,50
2020-10-13,1113,1078,35,53
2020-10-14,1122,1087,35,58
2020-10-15,1124,1089,35,59
2020-10-16,1124,1089,35,58
2020-10-17,1126,1091,35,60
2020-10-18,1134,1099,35,68
2020-10-19,1140,1105,35,59
2020-10-20,1141,1106,35,60
2020-10-21,1144,1109,35,63
2020-10-22,1148,1113,35,64
2020-10-23,1148,1113,35,64
2020-10-24,1160,1125,35,74
2020-10-25,1168,1133,35,76
2020-10-26,1169,1134,35,73
2020-10-27,1172,1137,35,75
2020-10-28,1173,1138,35,76
2020-10-29,1177,1142,35,80
2020-10-30,1177,1142,35,80
2020-10-31,1180,1145,35,83
2020-11-01,1180,1145,35,82
2020-11-02,1192,1157,35,92
2020-11-03,1202,1167,35,98
2020-11-04,1203,1168,35,99
2020-11-05,1207,1172,35,103
2020-11-06,1212,1177,35,107
2020-11-07,1213,1178,35,108
2020-11-08,1213,1178,35,108
2020-11-09,1215,1180,35,93
2020-11-10,1226,1191,35,104
2020-11-11,1252,1217,35,130
2020-11-12,1253,1218,35,125
2020-11-13,1256,1221,35,120
2020-11-14,1265,1230,35,127
2020-11-15,1281,1246,35,143
2020-11-16,1283,1248,35,124
2020-11-17,1288,1253,35,129
2020-11-18,1300,1265,35,141
2020-11-19,1304,1269,35,127
2020-11-20,1305,1270,35,128
2020-11-21,1306,1271,35,129
