date,confirmed,recovered,deaths,active
2020-01-22,0,0,0,0
2020-01-23,0,0,0,0
2020-01-24,0,0,0,0
2020-01-25,0,0,0,0
2020-01-26,0,0,0,0
2020-01-27,0,0,0,0
2020-01-28,0,0,0,0
2020-01-29,0,0,0,0
2020-01-30,0,0,0,0
2020-01-31,0,0,0,0
2020-02-01,0,0,0,0
2020-02-02,0,0,0,0
2020-02-03,0,0,0,0
2020-02-04,0,0,0,0
2020-02-05,0,0,0,0
2020-02-06,0,0,0,0
2020-02-07,0,0,0,0
2020-02-08,0,0,0,0
2020-02-09,0,0,0,0
2020-02-10,0,0,0,0
2020-02-11,0,0,0,0
2020-02-12,0,0,0,0
2020-02-13,0,0,0,0
2020-02-14,0,0,0,0
2020-02-15,0,0,0,0
2020-02-16,0,0,0,0
2020-02-17,0,0,0,0
2020-02-18,0,0,0,0
2020-02-19,0,0,0,0
2020-02-20,0,0,0,0
2020-02-21,0,0,0,0
2020-02-22,0,0,0,0
2020-02-23,0,0,0,0
2020-02-24,0,0,0,0
2020-02-25,0,0,0,0
2020-02-26,0,0,0,0
2020-02-27,0,0,0,0
2020-02-28,0,0,0,0
2020-02-29,0,0,0,0
2020-03-01,0,0,0,0
2020-03-02,1,0,0,1
2020-03-03,0,0,0,0
2020-03-04,0,0,0,0
2020-03-05,0,0,0,0
2020-03-06,0,0,0,0
2020-03-07,0,0,0,0
2020-03-08,0,0,0,0
2020-03-09,0,0,0,0
2020-03-10,0,0,0,0
2020-03-11,0,0,0,0
2020-03-12,0,0,0,-1
2020-03-13,0,-1,0,1
2020-03-14,0,0,0,-1
2020-03-15,0,0,0,0
2020-03-16,1,0,0,1
2020-03-17,37,0,0,37
2020-03-18,0,0,0,0
2020-03-19,14,0,0,14
2020-03-20,22,0,0,22
2020-03-21,13,0,0,13
2020-03-22,25,0,1,24
2020-03-23,20,0,0,20
2020-03-24,31,0,0,31
2020-03-25,24,0,0,24
2020-03-26,36,0,2,34
2020-03-27,43,0,0,43
2020-03-28,41,0,0,41
2020-03-29,26,0,3,23
2020-03-30,36,9,2,25
2020-03-31,6,0,4,2
2020-04-01,14,0,2,12
2020-04-02,38,0,1,37
2020-04-03,11,6,1,4
