date,confirmed,recovered,deaths,active
2020-01-22,548,28,17,503
2020-01-23,95,2,1,92
2020-01-24,277,6,8,263
2020-01-25,486,3,16,467
2020-01-26,669,10,14,645
2020-01-27,802,9,26,767
2020-01-28,2632,43,49,2540
2020-01-29,578,19,2,557
2020-01-30,2054,15,38,2001
2020-01-31,1661,79,42,1540
2020-02-01,2089,61,46,1982
2020-02-02,4739,188,102,4449
2020-02-03,3086,151,64,2871
2020-02-04,3991,229,66,3696
2020-02-05,3733,272,72,3389
2020-02-06,3147,362,70,2715
2020-02-07,3523,522,85,2916
2020-02-08,2704,597,87,2020
2020-02-09,3015,623,100,2292
2020-02-10,2525,699,107,1719
2020-02-11,2032,718,100,1214
2020-02-12,373,368,5,-78
2020-02-13,15136,1135,252,13749
2020-02-14,6463,1760,152,4551
2020-02-15,2055,1321,142,592
2020-02-16,2100,1457,103,540
2020-02-17,1921,1707,98,116
2020-02-18,1777,1638,139,-106
2020-02-19,408,295,113,-1461
2020-02-20,458,336,122,-1716
2020-02-21,473,473,0,-217
2020-02-22,1451,1246,205,-2749
2020-02-23,21,19,2,-469
2020-02-24,219,69,150,-1759
2020-02-25,513,443,70,-2218
2020-02-26,412,360,52,-2048
2020-02-27,434,405,29,-2441
2020-02-28,328,284,44,-3115
2020-02-29,428,381,47,-2610
2020-03-01,576,541,35,-2301
2020-03-02,204,162,42,-2530
2020-03-03,125,92,33,-2504
2020-03-04,125,89,36,-2462
2020-03-05,151,119,32,-2172
2020-03-06,153,124,29,-1528
2020-03-07,80,52,28,-1543
2020-03-08,53,25,28,-1824
2020-03-09,37,14,23,-1402
2020-03-10,27,11,16,-1366
2020-03-11,34,12,22,-1451
2020-03-12,11,0,11,-1257
2020-03-13,13,5,8,-1290
2020-03-14,32,19,13,-1445
2020-03-15,26,15,11,-1342
2020-03-16,30,15,15,-878
2020-03-17,25,12,13,-876
2020-03-18,44,33,11,-924
2020-03-19,54,46,8,-734
2020-03-20,94,90,4,-641
2020-03-21,55,48,7,-543
2020-03-22,130,115,15,-390
2020-03-23,58,56,2,-396
2020-03-24,94,87,7,-379
2020-03-25,71,67,4,-426
2020-03-26,123,114,9,-294
2020-03-27,91,86,5,-453
2020-03-28,92,89,3,-291
2020-03-29,94,88,6,-394
2020-03-30,81,76,5,-265
