date,confirmed,recovered,deaths,active
2020-01-22,0,0,0,0
2020-01-23,0,0,0,0
2020-01-24,0,0,0,0
2020-01-25,0,0,0,0
2020-01-26,0,0,0,0
2020-01-27,0,0,0,0
2020-01-28,0,0,0,0
2020-01-29,0,0,0,0
2020-01-30,0,0,0,0
2020-01-31,0,0,0,0
2020-02-01,0,0,0,0
2020-02-02,0,0,0,0
2020-02-03,0,0,0,0
2020-02-04,0,0,0,0
2020-02-05,0,0,0,0
2020-02-06,0,0,0,0
2020-02-07,0,0,0,0
2020-02-08,0,0,0,0
2020-02-09,0,0,0,0
2020-02-10,0,0,0,0
2020-02-11,0,0,0,0
2020-02-12,0,0,0,0
2020-02-13,0,0,0,0
2020-02-14,0,0,0,0
2020-02-15,0,0,0,0
2020-02-16,0,0,0,0
2020-02-17,0,0,0,0
2020-02-18,0,0,0,0
2020-02-19,0,0,0,0
2020-02-20,0,0,0,0
2020-02-21,0,0,0,0
2020-02-22,0,0,0,0
2020-02-23,0,0,0,0
2020-02-24,0,0,0,0
2020-02-25,0,0,0,0
2020-02-26,0,0,0,0
2020-02-27,0,0,0,0
2020-02-28,1,0,0,1
2020-02-29,0,0,0,0
2020-03-01,2,0,0,2
2020-03-02,3,0,0,3
2020-03-03,5,0,0,5
2020-03-04,15,0,0,15
2020-03-05,8,0,0,8
2020-03-06,9,0,0,9
2020-03-07,7,0,0,7
2020-03-08,0,0,0,0
2020-03-09,8,0,0,8
2020-03-10,11,1,0,10
2020-03-11,16,0,0,16
2020-03-12,18,0,0,18
2020-03-13,31,0,0,31
2020-03-14,22,0,0,22
2020-03-15,15,7,5,3
2020-03-16,9,-13,-5,22
2020-03-17,40,0,1,39
2020-03-18,30,5,0,25
2020-03-19,80,0,0,80
2020-03-20,79,-1,-1,80
2020-03-21,64,17,1,46
2020-03-22,95,14,0,81
2020-03-23,20,0,0,20
2020-03-24,60,15,1,44
2020-03-25,89,5,0,84
2020-03-26,65,26,0,39
2020-03-27,88,15,0,73
2020-03-28,73,17,0,56
2020-03-29,57,21,0,36
2020-03-30,66,22,0,44
2020-03-31,49,41,0,8
2020-04-01,85,27,0,58
2020-04-02,99,59,2,38
2020-04-03,45,25,0,20
