date,confirmed,recovered,deaths,active
2020-01-22,0,0,0,0
2020-01-23,0,0,0,0
2020-01-24,0,0,0,0
2020-01-25,4,0,0,4
2020-01-26,0,0,0,0
2020-01-27,0,0,0,0
2020-01-28,0,0,0,0
2020-01-29,3,0,0,3
2020-01-30,1,0,0,1
2020-01-31,0,0,0,0
2020-02-01,0,0,0,0
2020-02-02,0,0,0,0
2020-02-03,0,0,0,0
2020-02-04,2,0,0,2
2020-02-05,2,1,0,1
2020-02-06,2,0,0,2
2020-02-07,1,0,0,1
2020-02-08,1,1,0,0
2020-02-09,1,1,0,0
2020-02-10,1,0,0,1
2020-02-11,0,0,0,0
2020-02-12,0,0,0,0
2020-02-13,0,0,0,0
2020-02-14,1,1,0,-3
2020-02-15,3,1,0,2
2020-02-16,0,0,0,0
2020-02-17,0,0,0,-3
2020-02-18,0,0,0,-2
2020-02-19,0,0,0,-4
2020-02-20,0,0,0,0
2020-02-21,0,0,0,0
2020-02-22,0,0,0,-1
2020-02-23,0,0,0,0
2020-02-24,0,0,0,-2
2020-02-25,0,0,0,0
2020-02-26,0,0,0,0
2020-02-27,1,1,0,-1
2020-02-28,2,0,0,2
2020-02-29,4,0,0,4
2020-03-01,0,0,0,0
2020-03-02,0,0,0,0
2020-03-03,7,0,0,7
2020-03-04,14,1,0,13
2020-03-05,5,0,0,5
2020-03-06,28,0,0,28
2020-03-07,10,1,0,9
2020-03-08,6,1,0,5
2020-03-09,18,1,0,17
2020-03-10,12,0,0,12
2020-03-11,20,1,0,19
2020-03-12,9,6,0,3
2020-03-13,39,0,0,39
2020-03-14,41,4,0,37
2020-03-15,190,5,0,185
2020-03-16,125,0,0,125
2020-03-17,120,7,2,111
2020-03-18,117,11,0,106
2020-03-19,110,15,0,95
2020-03-20,130,12,1,117
2020-03-21,153,27,4,122
2020-03-22,123,25,4,94
2020-03-23,212,20,5,187
2020-03-24,106,24,2,80
2020-03-25,172,16,3,153
2020-03-26,235,16,5,214
2020-03-27,130,44,2,84
2020-03-28,159,61,6,92
2020-03-29,150,68,5,77
2020-03-30,156,90,4,62
2020-03-31,140,58,5,77
2020-04-01,142,108,2,32
2020-04-02,208,122,2,84
2020-04-03,217,60,5,152
