date,confirmed,recovered,deaths,active
2020-01-22,0,0,0,0
2020-01-23,0,0,0,0
2020-01-24,0,0,0,0
2020-01-25,0,0,0,0
2020-01-26,0,0,0,0
2020-01-27,0,0,0,0
2020-01-28,0,0,0,0
2020-01-29,0,0,0,0
2020-01-30,0,0,0,0
2020-01-31,0,0,0,0
2020-02-01,0,0,0,0
2020-02-02,0,0,0,0
2020-02-03,0,0,0,0
2020-02-04,0,0,0,0
2020-02-05,0,0,0,0
2020-02-06,0,0,0,0
2020-02-07,0,0,0,0
2020-02-08,0,0,0,0
2020-02-09,0,0,0,0
2020-02-10,0,0,0,0
2020-02-11,0,0,0,0
2020-02-12,0,0,0,0
2020-02-13,0,0,0,0
2020-02-14,0,0,0,0
2020-02-15,0,0,0,0
2020-02-16,0,0,0,0
2020-02-17,0,0,0,0
2020-02-18,0,0,0,0
2020-02-19,0,0,0,0
2020-02-20,0,0,0,0
2020-02-21,0,0,0,0
2020-02-22,0,0,0,0
2020-02-23,0,0,0,0
2020-02-24,0,0,0,0
2020-02-25,0,0,0,0
2020-02-26,0,0,0,0
2020-02-27,0,0,0,0
2020-02-28,0,0,0,0
2020-02-29,0,0,0,0
2020-03-01,0,0,0,0
2020-03-02,0,0,0,0
2020-03-03,0,0,0,0
2020-03-04,0,0,0,0
2020-03-05,2,0,0,2
2020-03-06,5,0,0,5
2020-03-07,0,0,0,0
2020-03-08,9,0,0,9
2020-03-09,0,0,0,0
2020-03-10,15,0,0,15
2020-03-11,26,0,0,26
2020-03-12,32,0,0,32
2020-03-13,52,0,0,52
2020-03-14,40,0,1,39
2020-03-15,38,0,0,38
2020-03-16,34,0,0,34
2020-03-17,22,0,0,22
2020-03-18,0,0,0,0
2020-03-19,11,0,0,11
2020-03-20,55,0,0,55
2020-03-21,42,0,0,42
2020-03-22,31,0,1,30
2020-03-23,28,0,1,27
2020-03-24,38,0,1,37
2020-03-25,48,10,1,37
2020-03-26,34,0,1,33
2020-03-27,70,0,3,67
2020-03-28,52,0,0,52
2020-03-29,46,0,2,44
2020-03-30,26,0,0,26
2020-03-31,46,0,4,42
2020-04-01,39,0,0,39
2020-04-02,56,54,2,-6
2020-04-03,37,0,3,34
