date,confirmed,recovered,deaths,active
22/01/2020,0,0,0,0
23/01/2020,0,0,0,0
24/01/2020,0,0,0,0
25/01/2020,0,0,0,0
26/01/2020,0,0,0,0
27/01/2020,0,0,0,0
28/01/2020,0,0,0,0
29/01/2020,0,0,0,0
30/01/2020,0,0,0,0
31/01/2020,0,0,0,0
01/02/2020,1,0,0,1
02/02/2020,0,0,0,0
03/02/2020,0,0,0,0
04/02/2020,0,0,0,0
05/02/2020,0,0,0,0
06/02/2020,0,0,0,0
07/02/2020,0,0,0,0
08/02/2020,0,0,0,0
09/02/2020,1,0,0,1
10/02/2020,0,0,0,0
11/02/2020,0,0,0,0
12/02/2020,0,0,0,0
13/02/2020,0,0,0,0
14/02/2020,0,0,0,0
15/02/2020,0,0,0,-2
16/02/2020,0,0,0,0
17/02/2020,0,0,0,0
18/02/2020,0,0,0,0
19/02/2020,0,0,0,0
20/02/2020,0,0,0,0
21/02/2020,0,0,0,0
22/02/2020,0,0,0,0
23/02/2020,0,0,0,0
24/02/2020,0,0,0,0
25/02/2020,4,0,0,4
26/02/2020,7,0,0,7
27/02/2020,2,0,0,2
28/02/2020,17,0,0,17
29/02/2020,13,0,0,13
01/03/2020,39,0,0,39
02/03/2020,36,0,0,36
03/03/2020,45,0,1,44
04/03/2020,57,0,1,56
05/03/2020,37,0,1,36
06/03/2020,141,0,2,139
07/03/2020,100,28,5,67
08/03/2020,173,0,7,166
09/03/2020,400,2,11,387
10/03/2020,622,0,7,615
11/03/2020,582,151,19,412
12/03/2020,0,-1,1,-1
13/03/2020,2955,10,78,2867
14/03/2020,1159,324,62,773
15/03/2020,1407,0,94,1313
16/03/2020,2144,13,53,2078
17/03/2020,1806,498,191,1117
18/03/2020,2162,53,90,2019
19/03/2020,4053,26,207,3820
20/03/2020,2447,481,213,1753
21/03/2020,4964,537,332,4095
22/03/2020,3394,450,397,2547
23/03/2020,6368,0,539,5829
24/03/2020,4749,1219,497,3033
25/03/2020,9630,1573,839,7218
26/03/2020,8271,1648,718,5905
27/03/2020,7933,2342,773,4818
28/03/2020,7516,2928,844,3744
29/03/2020,6875,2424,821,3630
30/03/2020,7846,2071,913,4862
31/03/2020,7967,2479,748,4740
01/04/2020,8195,3388,923,3884
02/04/2020,7947,4096,961,2890
03/04/2020,7134,3770,850,2514
04/04/2020,6969,3706,749,2514
05/04/2020,5478,3861,694,923
06/04/2020,5029,2357,700,1972
07/04/2020,5267,2771,704,1792
08/04/2020,6278,4813,747,718
09/04/2020,5002,4144,655,203
10/04/2020,5051,3503,634,914
11/04/2020,4754,3441,525,788
12/04/2020,3804,3201,603,-81
13/04/2020,3268,2336,547,385
14/04/2020,2442,2142,300,-635
15/04/2020,5103,3349,652,1102
16/04/2020,7304,3944,607,2753
17/04/2020,5891,0,687,5204
18/04/2020,887,0,41,846
