date,confirmed,recovered,deaths,active
2020-01-22,0,0,0,0
2020-01-23,2,0,0,2
2020-01-24,3,0,0,3
2020-01-25,3,0,0,3
2020-01-26,3,0,0,3
2020-01-27,3,0,0,3
2020-01-28,4,0,0,4
2020-01-29,4,0,0,4
2020-01-30,4,0,0,4
2020-01-31,4,0,0,4
2020-02-01,4,0,0,4
2020-02-02,4,0,0,4
2020-02-03,4,0,0,4
2020-02-04,5,0,0,5
2020-02-05,6,0,0,6
2020-02-06,6,0,0,6
2020-02-07,8,0,0,8
2020-02-08,8,0,0,8
2020-02-09,8,0,0,8
2020-02-10,9,0,0,9
2020-02-11,9,0,0,9
2020-02-12,9,1,0,8
2020-02-13,9,1,0,8
2020-02-14,9,1,0,8
2020-02-15,9,1,0,8
2020-02-16,9,1,0,8
2020-02-17,10,1,0,9
2020-02-18,10,1,0,9
2020-02-19,10,1,0,9
2020-02-20,11,1,0,10
2020-02-21,13,3,0,10
2020-02-22,14,3,0,11
2020-02-23,15,3,0,12
2020-02-24,16,3,0,13
2020-02-25,19,3,0,16
2020-02-26,20,3,0,17
2020-02-27,22,6,0,16
2020-02-28,28,6,0,22
2020-02-29,33,6,0,27
2020-03-01,38,6,0,32
2020-03-02,45,6,0,39
2020-03-03,51,6,0,45
2020-03-04,59,6,0,53
2020-03-05,71,6,0,65
2020-03-06,90,6,0,84
2020-03-07,98,8,0,90
2020-03-08,120,8,0,112
2020-03-09,144,8,1,135
2020-03-10,165,8,1,156
2020-03-11,228,8,1,219
2020-03-12,289,8,1,280
2020-03-13,386,8,1,377
2020-03-14,453,8,1,444
2020-03-15,549,8,1,540
2020-03-16,700,9,4,687
2020-03-17,854,9,6,839
2020-03-18,1097,9,11,1077
2020-03-19,1349,9,12,1328
2020-03-20,1692,9,15,1668
2020-03-21,2195,10,18,2167
2020-03-22,2652,10,22,2620
2020-03-23,3298,10,29,3259
2020-03-24,3997,110,34,3853
2020-03-25,4570,183,47,4340
2020-03-26,5511,184,59,5268
2020-03-27,6380,256,66,6058
2020-03-28,7310,466,83,6761
2020-03-29,8246,466,98,7682
2020-03-30,9478,466,117,8895
2020-03-31,10711,1592,152,8967
2020-04-01,12023,1324,175,10524
2020-04-02,13742,1735,224,11783
2020-04-03,15074,2175,277,12622
2020-04-04,16410,2577,360,13473
2020-04-05,17599,3012,435,14152
2020-04-06,19100,3256,503,15341
2020-04-07,20488,3791,581,16116
2020-04-08,21724,4154,670,16900
2020-04-09,23104,5162,773,17169
2020-04-10,24248,5855,867,17526
2020-04-11,25624,6589,986,18049
2020-04-12,26966,7123,1095,18748
2020-04-13,28763,7758,1225,19780
2020-04-14,30452,8210,1361,20881
2020-04-15,32199,8966,1515,21718
2020-04-16,33965,9698,1651,22616
2020-04-17,36091,10545,1798,23748
2020-04-18,37617,10964,1937,24716
2020-04-19,39317,11847,2107,25363
2020-04-20,41029,12543,2251,26235
2020-04-21,42619,13188,2412,27019
2020-04-22,44465,14454,2576,27435
2020-04-23,46274,14761,2757,28756
2020-04-24,47914,15149,2931,29834
2020-04-25,49496,16013,3112,30371
2020-04-26,50707,16883,3249,30575
2020-04-27,52363,18268,3428,30667
2020-04-28,53886,19231,3635,31020
2020-04-29,55575,20327,3843,31405
2020-04-30,57214,21424,4055,31735
2020-05-01,59025,22764,4236,32025
2020-05-02,60381,23814,4412,32155
2020-05-03,61640,24921,4558,32161
2020-05-04,63016,26030,4764,32222
2020-05-05,64411,27006,4936,32469
2020-05-06,65927,28184,5108,32635
2020-05-07,67198,29260,5256,32682
2020-05-08,68398,30239,5414,32745
2020-05-09,69544,31262,5576,32706
2020-05-10,70582,32109,5704,32769
2020-05-11,71606,33007,5836,32763
2020-05-12,72723,34055,5979,32689
2020-05-13,73950,35177,6091,32682
2020-05-14,75060,36104,6213,32743
2020-05-15,76331,36908,6337,33086
2020-05-16,77486,37832,6452,33202
2020-05-17,78694,38563,6542,33589
2020-05-18,79780,39251,6637,33892
2020-05-19,80782,40069,6714,33999
2020-05-20,82038,40793,6832,34413
2020-05-21,83153,41731,6933,34489
2020-05-22,84243,42608,7036,34599
2020-05-23,85150,43318,7129,34703
2020-05-24,86103,43998,7218,34887
2020-05-25,87067,44651,7312,35104
2020-05-26,87834,45352,7400,35082
2020-05-27,88719,46248,7497,34974
2020-05-28,89506,46961,7614,34931
2020-05-29,90575,47905,7714,34956
2020-05-30,91337,48517,7772,35048
2020-05-31,92067,49213,7828,35026
2020-06-01,92863,50091,7875,34897
2020-06-02,93490,50725,7926,34839
2020-06-03,94172,51506,7982,34684
2020-06-04,94754,52184,8047,34523
2020-06-05,95281,53074,8092,34115
2020-06-06,95805,54087,8152,33566
2020-06-07,96217,54675,8193,33349
2020-06-08,96668,55343,8239,33086
2020-06-09,97102,56117,8275,32710
2020-06-10,97592,57215,8305,32072
2020-06-11,98004,58131,8337,31536
2020-06-12,98465,59034,8367,31064
2020-06-13,98806,59851,8395,30560
2020-06-14,99108,60668,8418,30022
2020-06-15,99485,61466,8445,29574
2020-06-16,99844,61899,8464,29481
2020-06-17,100232,63280,8485,28467
2020-06-18,100638,63782,8495,28361
2020-06-19,101026,64318,8519,28189
2020-06-20,101341,64826,8554,27961
2020-06-21,101649,65249,8575,27825
2020-06-22,102004,65721,8589,27694
2020-06-23,102322,66135,8613,27574
2020-06-24,102642,66533,8641,27468
2020-06-25,102936,66869,8661,27406
2020-06-26,103263,67182,8668,27413
2020-06-27,103665,67445,8680,27540
2020-06-28,103978,67689,8690,27599
2020-06-29,104274,68698,8707,26869
2020-06-30,104608,69120,8722,26766
2020-07-01,104830,69397,8732,26701
2020-07-02,105179,69872,8749,26558
2020-07-03,105497,70232,8755,26510
2020-07-04,105725,70507,8764,26454
2020-07-05,105882,70772,8769,26341
2020-07-06,106234,71141,8782,26311
2020-07-07,106547,71418,8790,26339
2020-07-08,106868,71805,8807,26256
2020-07-09,107202,72095,8818,26289
2020-07-10,107550,72466,8829,26255
2020-07-11,107790,72784,8838,26168
2020-07-12,108004,72954,8842,26208
2020-07-13,108546,73381,8850,26315
2020-07-14,108972,73713,8854,26405
2020-07-15,109378,74067,8868,26443
2020-07-16,109860,74433,8879,26548
2020-07-17,110389,98281,8892,3216
2020-07-18,110773,98436,8896,3441
2020-07-19,111026,98564,8900,3562
2020-07-20,111821,98975,8904,3942
2020-07-21,112281,99248,8909,4124
2020-07-22,112663,99501,8914,4248
2020-07-23,113399,99937,8922,4540
2020-07-24,113836,100504,8928,4404
2020-07-25,114172,100765,8931,4476
2020-07-26,114479,100969,8935,4575
2020-07-27,115110,101447,8948,4715
2020-07-28,115487,101686,8957,4844
2020-07-29,115988,101992,8962,5034
2020-07-30,116434,102344,8975,5115
