date,confirmed,recovered,deaths,active
2020-01-22,0,0,0,0
2020-01-23,0,0,0,0
2020-01-24,0,0,0,0
2020-01-25,0,0,0,0
2020-01-26,0,0,0,0
2020-01-27,0,0,0,0
2020-01-28,0,0,0,0
2020-01-29,1,0,0,1
2020-01-30,1,0,0,1
2020-01-31,1,0,0,1
2020-02-01,1,0,0,1
2020-02-02,1,0,0,1
2020-02-03,1,0,0,1
2020-02-04,1,0,0,1
2020-02-05,1,0,0,1
2020-02-06,1,0,0,1
2020-02-07,1,0,0,1
2020-02-08,1,0,0,1
2020-02-09,1,0,0,1
2020-02-10,1,0,0,1
2020-02-11,2,0,0,2
2020-02-12,2,1,0,1
2020-02-13,2,1,0,1
2020-02-14,2,1,0,1
2020-02-15,2,1,0,1
2020-02-16,2,1,0,1
2020-02-17,2,1,0,1
2020-02-18,2,1,0,1
2020-02-19,2,1,0,1
2020-02-20,2,1,0,1
2020-02-21,2,1,0,1
2020-02-22,2,1,0,1
2020-02-23,3,1,0,2
2020-02-24,3,1,0,2
2020-02-25,3,1,0,2
2020-02-26,4,1,0,3
2020-02-27,4,1,0,3
2020-02-28,5,1,0,4
2020-02-29,8,1,0,7
2020-03-01,9,1,0,8
2020-03-02,10,1,0,9
2020-03-03,10,1,0,9
2020-03-04,14,1,0,13
2020-03-05,20,1,0,19
2020-03-06,21,1,0,20
2020-03-07,28,1,1,26
2020-03-08,35,1,1,33
2020-03-09,44,1,1,42
2020-03-10,61,1,1,59
2020-03-11,115,1,1,113
2020-03-12,191,1,1,189
2020-03-13,251,1,1,249
2020-03-14,279,1,2,276
2020-03-15,308,10,3,295
2020-03-16,361,10,3,348
2020-03-17,413,10,4,399
2020-03-18,460,10,6,444
2020-03-19,550,10,6,534
2020-03-20,649,10,7,632
2020-03-21,736,10,8,718
2020-03-22,823,10,10,803
2020-03-23,901,10,11,880
2020-03-24,985,10,15,960
2020-03-25,1084,10,16,1058
2020-03-26,1188,10,21,1157
2020-03-27,1301,10,25,1266
2020-03-28,1396,10,27,1359
2020-03-29,1473,10,31,1432
2020-03-30,1543,10,41,1492
2020-03-31,1672,10,51,1611
2020-04-01,1797,10,58,1729
2020-04-02,1946,300,62,1584
