date,confirmed,recovered,deaths,active
2020-01-22,0,0,0,0
2020-01-23,0,0,0,0
2020-01-24,0,0,0,0
2020-01-25,0,0,0,0
2020-01-26,0,0,0,0
2020-01-27,0,0,0,0
2020-01-28,0,0,0,0
2020-01-29,0,0,0,0
2020-01-30,0,0,0,0
2020-01-31,0,0,0,0
2020-02-01,0,0,0,0
2020-02-02,0,0,0,0
2020-02-03,0,0,0,0
2020-02-04,0,0,0,0
2020-02-05,0,0,0,0
2020-02-06,0,0,0,0
2020-02-07,0,0,0,0
2020-02-08,0,0,0,0
2020-02-09,0,0,0,0
2020-02-10,0,0,0,0
2020-02-11,0,0,0,0
2020-02-12,0,0,0,0
2020-02-13,0,0,0,0
2020-02-14,0,0,0,0
2020-02-15,0,0,0,0
2020-02-16,0,0,0,0
2020-02-17,0,0,0,0
2020-02-18,0,0,0,0
2020-02-19,0,0,0,0
2020-02-20,0,0,0,0
2020-02-21,0,0,0,0
2020-02-22,0,0,0,0
2020-02-23,0,0,0,0
2020-02-24,0,0,0,0
2020-02-25,0,0,0,0
2020-02-26,0,0,0,0
2020-02-27,0,0,0,0
2020-02-28,0,0,0,0
2020-02-29,0,0,0,0
2020-03-01,0,0,0,0
2020-03-02,0,0,0,0
2020-03-03,0,0,0,0
2020-03-04,0,0,0,0
2020-03-05,0,0,0,0
2020-03-06,1,0,1,0
2020-03-07,1,0,1,0
2020-03-08,6,0,2,4
2020-03-09,7,0,2,5
2020-03-10,11,0,2,9
2020-03-11,11,0,2,9
2020-03-12,15,0,3,12
2020-03-13,28,0,3,25
2020-03-14,38,0,3,35
2020-03-15,43,0,5,38
2020-03-16,86,0,5,81
2020-03-17,117,1,9,107
2020-03-18,145,1,15,129
2020-03-19,234,1,20,213
2020-03-20,234,1,26,207
2020-03-21,318,1,30,287
2020-03-22,363,1,34,328
2020-03-23,395,1,39,355
2020-03-24,416,1,45,370
2020-03-25,480,1,57,422
2020-03-26,580,14,63,503
2020-03-27,635,16,71,548
2020-03-28,671,16,86,569
2020-03-29,852,16,95,741
2020-03-30,950,53,113,784
2020-03-31,1065,394,138,533
2020-04-01,1323,394,161,768
2020-04-02,1414,537,183,694
2020-04-03,1595,537,209,849
