date,confirmed,recovered,deaths,active
2020-01-22,0,0,0,0
2020-01-23,0,0,0,0
2020-01-24,0,0,0,0
2020-01-25,0,0,0,0
2020-01-26,0,0,0,0
2020-01-27,0,0,0,0
2020-01-28,0,0,0,0
2020-01-29,1,0,0,1
2020-01-30,0,0,0,0
2020-01-31,0,0,0,0
2020-02-01,0,0,0,0
2020-02-02,0,0,0,0
2020-02-03,0,0,0,0
2020-02-04,0,0,0,0
2020-02-05,0,0,0,0
2020-02-06,0,0,0,0
2020-02-07,0,0,0,0
2020-02-08,0,0,0,0
2020-02-09,0,0,0,0
2020-02-10,0,0,0,0
2020-02-11,1,0,0,1
2020-02-12,0,1,0,-1
2020-02-13,0,0,0,0
2020-02-14,0,0,0,0
2020-02-15,0,0,0,0
2020-02-16,0,0,0,0
2020-02-17,0,0,0,0
2020-02-18,0,0,0,0
2020-02-19,0,0,0,0
2020-02-20,0,0,0,0
2020-02-21,0,0,0,0
2020-02-22,0,0,0,0
2020-02-23,1,0,0,1
2020-02-24,0,0,0,0
2020-02-25,0,0,0,0
2020-02-26,1,0,0,1
2020-02-27,0,0,0,0
2020-02-28,1,0,0,1
2020-02-29,3,0,0,3
2020-03-01,1,0,0,1
2020-03-02,1,0,0,1
2020-03-03,0,0,0,0
2020-03-04,4,0,0,4
2020-03-05,6,0,0,6
2020-03-06,1,0,0,1
2020-03-07,7,0,1,6
2020-03-08,7,0,0,7
2020-03-09,9,0,0,9
2020-03-10,17,0,0,17
2020-03-11,54,0,0,54
2020-03-12,76,0,0,76
2020-03-13,60,0,0,60
2020-03-14,28,0,1,27
2020-03-15,29,9,1,19
2020-03-16,53,0,0,53
2020-03-17,52,0,1,51
2020-03-18,47,0,2,45
2020-03-19,90,0,0,90
2020-03-20,99,0,1,98
2020-03-21,87,0,1,86
2020-03-22,87,0,2,85
2020-03-23,78,0,1,77
2020-03-24,84,0,4,80
2020-03-25,99,0,1,98
2020-03-26,104,0,5,99
2020-03-27,113,0,4,109
2020-03-28,95,0,2,93
2020-03-29,77,0,4,73
2020-03-30,70,0,10,60
2020-03-31,129,0,10,119
2020-04-01,125,0,7,118
2020-04-02,149,290,4,-145
2020-04-03,161,0,6,155
