date,confirmed,recovered,deaths,active
2020-01-22,0,0,0,0
2020-01-23,0,0,0,0
2020-01-24,0,0,0,0
2020-01-25,0,0,0,0
2020-01-26,0,0,0,0
2020-01-27,0,0,0,0
2020-01-28,0,0,0,0
2020-01-29,0,0,0,0
2020-01-30,0,0,0,0
2020-01-31,2,0,0,2
2020-02-01,0,0,0,0
2020-02-02,0,0,0,0
2020-02-03,0,0,0,0
2020-02-04,0,0,0,0
2020-02-05,0,0,0,0
2020-02-06,0,0,0,0
2020-02-07,0,0,0,0
2020-02-08,0,0,0,0
2020-02-09,0,0,0,0
2020-02-10,0,0,0,0
2020-02-11,0,0,0,0
2020-02-12,0,2,0,-2
2020-02-13,0,0,0,0
2020-02-14,0,0,0,0
2020-02-15,0,0,0,0
2020-02-16,0,0,0,0
2020-02-17,0,0,0,0
2020-02-18,0,0,0,0
2020-02-19,0,0,0,0
2020-02-20,0,0,0,0
2020-02-21,0,0,0,0
2020-02-22,0,0,0,0
2020-02-23,0,0,0,0
2020-02-24,0,0,0,0
2020-02-25,0,0,0,0
2020-02-26,0,0,0,0
2020-02-27,0,0,0,0
2020-02-28,0,0,0,0
2020-02-29,0,0,0,0
2020-03-01,0,0,0,0
2020-03-02,1,0,0,1
2020-03-03,0,0,0,0
2020-03-04,0,0,0,0
2020-03-05,1,0,0,1
2020-03-06,9,0,0,9
2020-03-07,0,0,0,0
2020-03-08,4,1,0,3
2020-03-09,0,0,0,0
2020-03-10,3,0,0,3
2020-03-11,0,0,0,0
2020-03-12,8,0,0,8
2020-03-13,17,0,0,17
2020-03-14,14,5,0,9
2020-03-15,4,0,0,4
2020-03-16,27,0,0,27
2020-03-17,24,0,0,24
2020-03-18,33,0,0,33
2020-03-19,52,1,1,50
2020-03-20,54,0,0,54
2020-03-21,53,3,0,50
2020-03-22,61,4,0,57
2020-03-23,71,0,0,71
2020-03-24,57,6,0,51
2020-03-25,163,7,2,154
2020-03-26,182,9,0,173
2020-03-27,196,7,1,188
2020-03-28,228,4,0,224
2020-03-29,270,15,4,251
2020-03-30,302,2,1,299
2020-03-31,501,55,8,438
2020-04-01,440,69,7,364
2020-04-02,771,45,6,720
2020-04-03,601,46,4,551
