date,confirmed,recovered,deaths,active
2020-01-22,557,30,17,510
2020-01-23,100,2,1,97
2020-01-24,287,7,8,272
2020-01-25,493,3,16,474
2020-01-26,683,14,14,655
2020-01-27,809,9,26,774
2020-01-28,2651,43,49,2559
2020-01-29,589,19,2,568
2020-01-30,2068,18,39,2011
2020-01-31,1690,80,42,1568
2020-02-01,2111,62,46,2003
2020-02-02,4749,189,104,4456
2020-02-03,3100,151,64,2885
2020-02-04,4012,230,66,3716
2020-02-05,3745,273,72,3400
2020-02-06,3162,363,70,2729
2020-02-07,3533,523,85,2925
2020-02-08,2731,601,87,2043
2020-02-09,3028,630,100,2298
2020-02-10,2538,702,107,1729
2020-02-11,2043,735,100,1208
2020-02-12,378,467,5,-94
2020-02-13,15152,1143,253,13756
2020-02-14,6485,1767,152,4566
2020-02-15,2076,1336,143,597
2020-02-16,2113,1470,104,539
2020-02-17,1936,1720,98,118
2020-02-18,1794,1765,140,-111
2020-02-19,421,1770,115,-1464
2020-02-20,548,2058,123,-1633
2020-02-21,630,713,4,-87
2020-02-22,1762,3998,208,-2444
2020-02-23,325,506,10,-191
2020-02-24,568,1832,160,-1424
2020-02-25,854,2678,80,-1904
2020-02-26,958,2471,60,-1573
2020-02-27,1344,2894,43,-1593
2020-02-28,1424,3432,57,-2065
2020-02-29,1871,3071,70,-1270
2020-03-01,2379,2936,54,-611
2020-03-02,1980,2884,90,-994
2020-03-03,2611,2622,74,-85
2020-03-04,2344,2943,96,-695
2020-03-05,2740,2626,95,19
2020-03-06,3984,2038,114,1832
2020-03-07,4137,2494,104,1539
2020-03-08,3798,2337,242,1219
2020-03-09,4295,1800,194,2301
2020-03-10,4759,1907,275,2577
2020-03-11,7476,2312,351,4813
2020-03-12,6756,1329,321,5106
2020-03-13,13194,1927,503,10764
2020-03-14,10885,2367,426,8092
2020-03-15,11230,3409,671,7150
2020-03-16,14559,2055,711,11793
2020-03-17,15171,2744,851,11576
2020-03-18,17552,2487,956,14109
2020-03-19,27086,1641,1142,24303
2020-03-20,29529,2445,1574,25510
2020-03-21,32424,4247,1807,26370
2020-03-22,34201,6217,1828,26156
2020-03-23,42553,488,2095,39970
2020-03-24,41855,9619,2424,29812
2020-03-25,51479,5517,2971,42991
2020-03-26,60798,8362,3253,49183
2020-03-27,63913,8784,3639,51490
2020-03-28,69578,8511,4049,57018
2020-03-29,56511,9450,3819,43242
2020-03-30,65008,15336,4370,45302
2020-03-31,78430,13590,5168,59672
2020-04-01,86344,15267,6641,64436
2020-04-02,82434,17123,6253,59058
2020-04-03,84207,15422,6502,62283
2020-04-04,60112,20406,6359,33347
2020-04-05,71710,13829,5921,51960
2020-04-06,74720,16705,6427,51588
2020-04-07,68918,23261,8515,37142
2020-04-08,82155,28873,7218,46064
2020-04-09,87141,25247,8154,53740
2020-04-10,86416,21737,7740,56939
2020-04-11,75492,26236,6982,42274
2020-04-12,118546,19377,6514,92655
2020-04-13,71752,27256,6513,37983
2020-04-14,84618,25049,7355,52214
2020-04-15,78246,36536,8765,32945
2020-04-16,94431,30873,7710,55848
2020-04-17,87854,26170,8885,52799
2020-04-18,78215,23861,6429,47925
2020-04-19,76292,31774,6101,38417
2020-04-20,76429,22169,6511,47749
2020-04-21,76043,34781,7193,34069
2020-04-22,82031,30080,7276,44675
2020-04-23,82691,28719,7270,46702
2020-04-24,83519,50005,6837,26677
2020-04-25,83148,27752,6050,49346
2020-04-26,70764,28809,4815,37140
2020-04-27,70946,27883,5444,37619
2020-04-28,75808,33174,6628,36006
2020-04-29,77292,42043,6980,28269
2020-04-30,83633,65096,6251,12286
2020-05-01,88917,38135,5587,45195
2020-05-02,78230,40624,6046,31560
2020-05-03,73939,32495,4273,37171
2020-05-04,77551,34041,4843,38667
2020-05-05,79567,36451,6139,36977
2020-05-06,90345,46032,6756,37557
2020-05-07,89018,39482,5864,43672
2020-05-08,90385,36385,5947,48053
2020-05-09,84274,53378,4913,25983
2020-05-10,75150,33759,4336,37055
2020-05-11,76068,46882,4076,25110
2020-05-12,85202,37040,5728,42434
2020-05-13,84247,55838,5432,22977
2020-05-14,95441,39704,5740,49997
2020-05-15,95681,48069,5746,41866
2020-05-16,93819,56404,4538,32877
2020-05-17,78129,40985,3875,33269
2020-05-18,89121,52888,4395,31838
