date,confirmed,recovered,deaths,active
2020-01-22,557,540,17,510
2020-01-23,657,639,18,607
2020-01-24,944,918,26,879
2020-01-25,1437,1395,42,1353
2020-01-26,2120,2064,56,2008
2020-01-27,2929,2847,82,2782
2020-01-28,5580,5449,131,5341
2020-01-29,6169,6036,133,5909
2020-01-30,8237,8065,172,7920
2020-01-31,9927,9713,214,9488
2020-02-01,12038,11778,260,11491
2020-02-02,16787,16423,364,15947
2020-02-03,19887,19459,428,18832
2020-02-04,23899,23405,494,22548
2020-02-05,27644,27078,566,25948
2020-02-06,30806,30170,636,28677
2020-02-07,34339,33618,721,31602
2020-02-08,37070,36262,808,33645
2020-02-09,40098,39190,908,35943
2020-02-10,42636,41621,1015,37672
2020-02-11,44679,43564,1115,38880
2020-02-12,45057,43937,1120,38786
2020-02-13,60209,58836,1373,52542
2020-02-14,66694,65169,1525,57108
2020-02-15,68770,67102,1668,57705
2020-02-16,70883,69111,1772,58244
2020-02-17,72819,70949,1870,58362
2020-02-18,74613,72603,2010,58251
2020-02-19,75034,72909,2125,56787
2020-02-20,75582,73334,2248,55154
2020-02-21,76212,73960,2252,55067
2020-02-22,77974,75514,2460,52623
2020-02-23,78299,75829,2470,52432
2020-02-24,78867,76237,2630,51008
2020-02-25,79721,77011,2710,49104
2020-02-26,80679,77909,2770,47531
2020-02-27,82023,79210,2813,45938
2020-02-28,83447,80577,2870,43873
2020-02-29,85318,82378,2940,42603
2020-03-01,87697,84703,2994,41992
2020-03-02,89677,86593,3084,40998
2020-03-03,92288,89130,3158,40913
2020-03-04,94632,91378,3254,40218
2020-03-05,97372,94023,3349,40237
2020-03-06,101356,97893,3463,42069
2020-03-07,105493,101926,3567,43608
2020-03-08,109291,105482,3809,44827
2020-03-09,113586,109583,4003,47128
2020-03-10,118345,114067,4278,49705
2020-03-11,125821,121192,4629,54518
2020-03-12,132577,127627,4950,59624
2020-03-13,145771,140318,5453,70388
2020-03-14,156656,150777,5879,78480
2020-03-15,167886,161336,6550,85630
2020-03-16,182445,175184,7261,97423
2020-03-17,197616,189504,8112,108999
2020-03-18,215168,206100,9068,123108
2020-03-19,242254,232044,10210,147411
2020-03-20,271783,259999,11784,172921
2020-03-21,304207,290616,13591,199291
2020-03-22,338408,322989,15419,225447
2020-03-23,380961,363447,17514,265417
2020-03-24,422816,402878,19938,295229
2020-03-25,474295,451386,22909,338220
2020-03-26,535093,508931,26162,387403
2020-03-27,599006,569205,29801,438893
2020-03-28,668584,634734,33850,495911
2020-03-29,725095,687426,37669,539153
2020-03-30,790103,748064,42039,584455
2020-03-31,868533,821326,47207,644127
2020-04-01,954877,901029,53848,708563
2020-04-02,1037311,977210,60101,767621
2020-04-03,1121518,1054915,66603,829904
2020-04-04,1181630,1108668,72962,863251
2020-04-05,1253340,1174457,78883,915211
2020-04-06,1328060,1242750,85310,966799
2020-04-07,1396978,1303153,93825,1003941
2020-04-08,1479133,1378090,101043,1050005
2020-04-09,1566274,1457077,109197,1103745
